0,1,2
Réveille Coffee Co.,200 Columbus Ave,great unique touch. I’ve had more expensive for much lower quality. Coffee was very good as well. They had clean bathrooms and super friendly service. The one thing is that they have more of bar/window seating so might be hard to seat a big party. I definitely want to come back to try the rest of the menu!
Réveille Coffee Co.,200 Columbus Ave,"From a specialty coffee perspective, this place is horrid. Coffee tastes a combination of improperly extracted (water with sharp bitter) and poorly roasted. The milk was simply poured into the cortado that I ordered rather than being delicately blended. Quite possibly the first cup in SF I contemplated pouring out into a planter. I see no difference between this shop and Starbucks. Note: I personally cannot drink Starbucks."
Réveille Coffee Co.,200 Columbus Ave,"01/08/2023  Went there around 10am! Ordered iced coffee, Mocha ☕️, avocado toast, and breakfast muffin.  Our order came in a few minutes 4-7 minutes even though it was crowded!  Everything was soooo delicious and yummy!  For the ice coffee, I wish they had creamers like vanilla or caramel instead of only half-n-half. But still was good 👍🏻  Overall, it was good experience and highly recommend it if you like to sit by the window and see the life out there ❣️"
Réveille Coffee Co.,200 Columbus Ave,"Cappuccino is amazing! We are visiting this place almost every day! Also, avocado toast is just from different planet! Amazing!"
Réveille Coffee Co.,200 Columbus Ave,A cute little coffee at the corner. They have nice coffee and nice interior design that matches the area vibe. Great place to have a coffee break while walking around with friends.
Réveille Coffee Co.,200 Columbus Ave,"I normally don’t get food at coffeeshops since often they reheat a pre-made sandwich, but this place has an actual kitchen and makes everything to order. Great spot in north beach for a more “modern” coffeeshop.  The house made hot sauce is awesome too, make sure to ask for it with your breakfast 🙏🏽"
Réveille Coffee Co.,200 Columbus Ave,"Found this coffee joint on google and let me tell you it was amazing. Sitting here waiting for my food felt like I was in Europe so many foreigners come and go. This is why I love SF cause of the hippie culture and European tourists. I ordered a platter potatoes, eggs, bacon and sourdough toast. It was just the perfect amount and the coffee was delicious. Great staff and their cook is a beast. The home made green salsa is crack! Recommend."
Réveille Coffee Co.,200 Columbus Ave,"Great, warm, and fast service. Small but mighty menu. I loved the breakfast sandwich!"
Réveille Coffee Co.,200 Columbus Ave,We came here for snacks but somehow the shelf was almost empty but 2 pieces of bread which was a disappointment. Had a mocha ☕️ but wasn’t that great. The location was great. Better luck next time?
Réveille Coffee Co.,200 Columbus Ave,"Delicious food and tasty coffee but unfortunately everything was served in plastic/disposable containers. Seems weird in this day and age when we know the impacts of plastic waste and disposable coffee cups, and also made it harder to eat because the plastic fork kept breaking!"
Réveille Coffee Co.,200 Columbus Ave,"Their matcha latte is 🎯 airy and well-lit with windowed-walls, great for feeling a part of the neighborhood while enjoying a cafe vibe. …"
Réveille Coffee Co.,200 Columbus Ave,I really enjoyed the modern and clean atmosphere and friendly service but my latte and flat white were a bit weak and could be hotter. Unisex restroom through the back requires a code.
Réveille Coffee Co.,200 Columbus Ave,"amazing coffee, food, location, service.  their avocado toast w a poached egg is exceptional.  and breakfast sandwiches are out of control 🔥 good seating options outside and in."
