0,1,2
Saint Frank Coffee,2340 Polk St,"very aesthetic cafe and look wise it is perfect. coffee is not my favorite, tastes exactly like blue bottle coffee which i know a lot of people like. However, I would definitely return for their lavender matcha latte with oatmilk— it was amazing. staff was also super friendly"
Saint Frank Coffee,2340 Polk St,"We were looking for a nice coffee place to sit down and read. This was the perfect place. The filter coffee (medium roast) was delicious and they gave it to us in a mug. I appreciate places that are eco-friendly. The atmosphere is also very nice and minimalist. The baristas are very friendly. The prices are average, filter coffee is $4. I tried the chocolate croissant and it was just ok. I think it would taste better if they heated it up. Overall, it was a nice experience."
Saint Frank Coffee,2340 Polk St,"place had really good vibes, a nice spot to grab a drink and just chill on a sunday morning. however, i didn’t like the macadamia nut milk at all. it made my flat white taste bitter and want to try it with whole milk next time to give a proper review of the cafe.  pastries are from craftsman & wolves. the chocolate croissant was tasty but lacked that slight crunchy croissant texture i enjoy  update 2/24/23: flat white with whole milk was delicious"
Saint Frank Coffee,2340 Polk St,"Coffee is always top notch. Good selection of single-origins, and a fantastic Espresso Tonic. Friendly service every time. Not cheap, but for high end specialty coffee, worth every penny."
Saint Frank Coffee,2340 Polk St,Coffee flight was a cool experience! This is a real deal coffee shop where the true taste of coffee is celebrated! If you’re looking for a latte with different syrup flavors you won’t find it here! Very knowledgeable and friendly staff. We walked to Lombard street after enjoying our coffee
Saint Frank Coffee,2340 Polk St,Such a cute and aesthetic cafe. Has amazing iced chai. One of my favorites as you can really taste the spices but it’s not overpowering.
Saint Frank Coffee,2340 Polk St,All the other coffee places on Polk on Sunday were pretty quiet so we were lured by the long line to go into Saint Frank. The 2 front counter staff were unfriendly and had bad attitude when we asked a couple simple questions placing our order. The hot coffee and other drink orders were nothing special at all the cold/ iced drinks actually very bad. We quickly pushed through the crowd and will never go back. Overrated mess. I’m sure the other places on Polk are better. Even Starbucks a block away is 100% better than the drinks we could barely drink at Saint Frank.
Saint Frank Coffee,2340 Polk St,"Some of the best coffee I’ve ever had! The iced mocha was delicious, highly recommend. Super friendly staff, quick and efficient service with a very bright, airy atmosphere."
Saint Frank Coffee,2340 Polk St,"One of the best coffees in SF! Went there during a long weekend, the store was super busy. However, the staff are efficient and we got our coffee in 2mins.  Tried their cappuccino and Pour over. Pour-over is a bit expensive and has long wait but it’s totally worth it. You can feel the smoothness and all hints of flavors, if you are a coffee lover, you should try their pour-over. The cappuccino had well balanced flavor and  had a buttery finish. Totally loved it!  It’s definitely worth trying their coffee, if you are in the city."
Saint Frank Coffee,2340 Polk St,"It's hard to find good coffee in San Francisco. There are many small coffee shops, many of them claim to serve specialty coffee. But at least in my opinion, this is only a label in order to charge a premium for pretty standard coffee. Saint Frank is different. You can discuss with the baristas there, they know their craft. You can chose from several beans, but I decided to go with a recommendation by the barista. My pour over was served with a small card describing the origin and the characteristics of the coffee I am about to enjoy. And I wasn't disappointed: the coffee was great, intense taste, very clean, fruity but not too much. Also the cappuccino my girlfriend had was good. A bit too much milk, but still good. I'll definitely come back next time I'm in SF."
Saint Frank Coffee,2340 Polk St,"Awesome coffee experience... Well worth the wait in line - which went super quickly dispite being long enough to start outside. In a city over saturated with coffee shops, this one is the real deal... first and most important, the coffee was excellent... my husband's mocha was just the right chocolate, just the right sweet and the milk texture was spot on for a mocha... and my latte was textbook perfect, but elevated - I can't describe just how right the milk texture was, but bravo! So glad to have had a great cup of coffee on this trip to San Francisco, and will be back next time we pass through and will be recommending Saint Frank Coffee as a must try in SF!"
