0,1,2
San Francisco Coffee Roasting Company,1192 North Highland Avenue Northeast,"Great spot for a quick bite or a remote work sesh.  Atmosphere: urban retro warehouse vibes, plenty of 2-/3-top tables, a few tables outside in front and on back patio.  Workable: yes- 6/10. Not too noisy, but not super quiet either. Small tables great for solo work. Moderate number of outlets.  Food/Drink: in addition to the classic coffee/tea- breakfast/lunch sandwiches, bakery items, & seasonal drinks. Forager Breakfast Burrito was yum✔️  Price: mid-range? Didn’t try their drinks so can’t speak there, but the burrito was worth it.  Parking: free lot across the street"
San Francisco Coffee Roasting Company,1192 North Highland Avenue Northeast,Work and friends take me to many coffee shops in Atlanta and so I was here on a stormy Friday morning recently. The whole vine was warm and welcoming and the two rooms make it more cozy. ***More coffee places need to offer affordable specials like this.***  I was not a huge fan of the spinach ricotta quiche thus only 4* on the food because it lacked much taste. Next time will choose a different one.
San Francisco Coffee Roasting Company,1192 North Highland Avenue Northeast,"loved working here today! everyone was super friendly, the back corner was perfect to zone in. very laid back, casual environment with really yummy coffee. get there early to get a spot by an outlet!"
San Francisco Coffee Roasting Company,1192 North Highland Avenue Northeast,"I've always liked coming here. The staff is friendly, drinks are tasty, WiFi works, and the vibe is perfect for just a out anything. Last time I came a man made inappropriate comments towards me and the employee at the counter was stood up for me instead of letting it pass or pretending he didn't hear. Will forever be my favorite neighborhood coffee shop."
San Francisco Coffee Roasting Company,1192 North Highland Avenue Northeast,"Just a wonderful environment. Since the moment I walked in, I knew I could get some of my morning work done here. The staff are wonderful. I had a sandwich, I believe it was something with turkey sausage and tasted really good.. took me about an hour or more to eat all of it because I didn't want the taste to escape. Also, if you're in the mood for that wake me up dark roast, highly recommended. I enjoyed getting work done at this venue, and I will certainly revisit. Just an FYI, Lisa is a gem"
San Francisco Coffee Roasting Company,1192 North Highland Avenue Northeast,"Went for the first time yesterday and the barista was welcoming and so personable. Got a large, iced maple latte and it didn't disappoint. Definitely has all the workings to be a favorite neighborhood coffeehouse with some strong work-away-from-home vibes."
San Francisco Coffee Roasting Company,1192 North Highland Avenue Northeast,"Solid second-wave coffee. Very dark and over extracted, but not super flavorful besides bitter."
San Francisco Coffee Roasting Company,1192 North Highland Avenue Northeast,"I've been here a couple times now and it's always a great experience. Their espresso tastes great, and both hot lattes I've gotten had lovely latte art on them. This visit, I got a recommendation from the barista for a vanilla lavender latte and it was incredible. The breakfast sandwich I had was also tasty, and I was especially impressed with the quality of the bacon. To top it off, the atmosphere was great, although it can be difficult to find a seat sometimes.  This shop is on the pricey side, but that's pretty typical for a local coffee shop in this area. I've also found that their wifi can be a bit spotty. Overall though, a great visit!"
San Francisco Coffee Roasting Company,1192 North Highland Avenue Northeast,"Owning my own eye care practice, customer service is paramount to the overall experience. In fact, my practice was built on it, and has thrived over the years because of it. I’m often surprised at the lack of customer svc and bad attitudes of the personnel in coffee shops, and wonder if it’s due to apathy, poor hiring practices or the manager’s disposition. In contrast, San Francisco Coffee Roasting Company is a rare gem, where without exception, the team is warm and friendly and make patrons feel at ease and at home. The experience is so consistent that I was compelled to pull aside and compliment the manager, Lisa, on the contrast here versus other coffee shop options. She’s intentional about who she hires and it’s obvious she only keeps those that are aligned with high customer service values on board. So far I’ve met John, Olivia, Kyle and others that have demonstrated excellence, and I couldn’t be happier I’ve found my spot to work, connect and sip delicious coffee and enjoy yummy vittles!"
San Francisco Coffee Roasting Company,1192 North Highland Avenue Northeast,Man working there with glasses was EXTREMELY rude! I asked a few questions about a drink and he shut me down then made fun of me. He said it was too much work to make a coffee I didn’t know about.  He then got snippy with the staff working the cash register. He is the definition of a coffee snob. Awful service from him about something not that deep! I suggest going down the road to another coffee shop.
San Francisco Coffee Roasting Company,1192 North Highland Avenue Northeast,"Very nice atmosphere. Great for reading, working or just having a good coffee with friends! There id parking across the street and a lot of other things to do within walking distance. Absolutely worth a visit in ATL!"
San Francisco Coffee Roasting Company,1192 North Highland Avenue Northeast,Good stuff. Long wait for simple latte -- and grinds in the bottom of the cup -- but I think it's just from ramping up again and personnel shortages. Cozy and popular in the neighborhood. I'll try again another time.
San Francisco Coffee Roasting Company,1192 North Highland Avenue Northeast,"The atmosphere is very nice with music playing in the background and generally a small crowd of people working or chatting. The coffee is pretty good, the espresso is a little more bitter than I prefer but was still very good, the coffee cake was also excellent and has a nice oat crumb covering which is an interesting texture to add to a generally more plain dish. San Francisco is definitely worth going to if your in the Highlands, there is plenty of parking behind the building, the line stays very short, and the baristas are very nice and efficient."
San Francisco Coffee Roasting Company,1192 North Highland Avenue Northeast,"The cold brew was great, the atmosphere is so friendly and peaceful, and there's plenty of parking in the back. Also got to chat with the owners Doug and Tanya while I was there and they were wonderful as well.  I stopped in when I was in Atlanta for a conference and will definitely be back next time I'm in the area!"
San Francisco Coffee Roasting Company,1192 North Highland Avenue Northeast,I recently visited San Francisco Coffee and I was very pleased with my experience. The coffee was amazing and I could tell that it was locally owned. The atmosphere was really nice and there were plenty of seating options. They also had specialty coffee drinks that were really good. The service was polite and the prices were good. I definitely recommend San Francisco Coffee.
San Francisco Coffee Roasting Company,1192 North Highland Avenue Northeast,"Always the best coffee in Atlanta! Please, please open a store in or near Brookhaven. It will stay packed!"
San Francisco Coffee Roasting Company,1192 North Highland Avenue Northeast,"A lot of parking directly across the street and some street parking. A bench outdoors and two European styled small patio table and chairs. When I went, all the indoor dining was closed."
