0,1,2
Scullery,687 Geary St,"Super cute little breakfast nook! Wish there was more seating, but loved the decor, especially the ruler lampshades! Food was great."
Scullery,687 Geary St,"Cozy corner cafe with maybe 10 seats but coffee is very good, and avocado toast has high quality ingredients. The staff is also very friendly and thoughtful (the barista was pouring coffee into an insulated cup for another customer and made sure it was not precariously placed so the customer wouldn’t knock it over standing back up after petting my dog) ❤️"
Scullery,687 Geary St,10/10 experience. I can only hope a cafe of this high quality means good things for this area. It is worth going out of your way for an exceptional cup of coffee. The salty PB and spicy strawberry jam was perfect. I cannot believe people go to Starbucks when places like this exist.
Scullery,687 Geary St,"Friendly service, some seating available inside. Salmon toast and matcha latte were good, I really liked the iced mocha. I recommend this place and would come back!"
Scullery,687 Geary St,"Iv been to a lot of coffee shops, this one is great. The price, taste, service and value is fantastic. Beats some of the other (much more expensive) shops around. Check it out"
Scullery,687 Geary St,"A small and friendly cafe located in the heart of the Tenderloin. Their toast is thick and very chewy and their wide variety of toppings make it worth stopping by again. Their cream cheese toast was a fantastic combination of sweet and sour with just a hint of saltiness. Not the biggest fan of their version of Vietnamese Iced Coffee. There are plenty of other places around the Tenderloin where you can get it better and cheaper. If you go, stick to the more traditional options - I've heard their iced mochas are fantastic!"
Scullery,687 Geary St,Great place to get some breakfast. Quick service and pretty good tasting coffee and toast
Scullery,687 Geary St,"Fantastic coffee and food; tasty yet simple menu. Friendly staff. Very clean and modern. I've had the avocado on tasty sourdough for 3 days now, the avocados are creamy and perfect. Coffee to die for. We are so going to miss this place now we are heading back home to NZ."
Scullery,687 Geary St,"Really amazing coffee, although I didn’t get a regular coffee and went with the burnt caramel latte. They have a Vietnamese shakerato that I would love to try. Small space though with no indoor seating and two tables outside."
Scullery,687 Geary St,I loved the hole in the wall coffee shop! I tried their specialty “Nola Kola” - a chicory cold brew with milk.  I also tried their spicy PB&J - a thick slice of multigrain toast with peanut butter and their jelly with a kick.  It seemed to be full of locals (with dogs) when I stopped in. Great menu and ambiance.
Scullery,687 Geary St,"Nice little coffee shop. Very friendly staff and great service as well. Coffee was pretty good. Seating area is very small, customers mostly do to go orders. Avocado toast looked very tasty. I did not get a chance to eat, will surely try next time. Place does get busy in the morning."
Scullery,687 Geary St,"Great use of space, easy to find, and absolutely amazing coffee. Was very happy with the quality of the coffee and the food. An entire toast menu just speaks to my soul :)"
Scullery,687 Geary St,Best coffee in town. Super friendly staff and great breakfast menu. Very much recommended
Scullery,687 Geary St,Coffee here is excellent. Service was very friendly and speedy.
Scullery,687 Geary St,Cute small cafe. I ordered burnt caramel latte and pesto egg and they were delicious. I really like how green the place is. The staff were friendly
Scullery,687 Geary St,"I love this little spot. The coffee and food is great, so it's no wonder they get busy in the morning. I highly recommend it!"
Scullery,687 Geary St,"Such amazing and good coffee here; they are very talented at what they’re doing behind the counter. Small tiny space: only two outdoor tables and none inside, so this is a good place to grab and go."
Scullery,687 Geary St,"Very nice and quick service, the food and coffee were amazing. The only thing I didn't like was the neighbourhood and the folk around the cafe. Felt unsafe"
Scullery,687 Geary St,"Famtastic boutique coffee shop. Super friendly staff who know how to make good coffee. Also great for a bite to eat with several breakfast options including delicious avacado on toast and Welsh rarebit. Very highly recommended and will make this our local while staying in SFO. If you like your coffee, you'll be doing yourself a diservice by not coming here."
Scullery,687 Geary St,"First time visiting this place after excellent reviews, and I am hooked. This is a little-known breakfast nook that makes excellent hot chocolate, seasonal goodies, and flaky breads with meat. Although the space is compact, the meal and drink options make me want to consider waking up earlier some weekends and have this meal over Starbucks when I go to San Francisco. And its proximity to frequent bus lines is a bonus."
Scullery,687 Geary St,Went next door to get fresh ripe avocado for my toast. Taste was amazing!
Scullery,687 Geary St,"This place is the best.  Great coffee, great toasts and pastries.   Their Welsh Rarebit was sooo good, we had to order another one, even after we were full.  It’s the best!!! Get it with ham and ‘spicy tomato chutney’ (aka ‘ghost pepper tomato’)."
Scullery,687 Geary St,"Cute little spot for great coffee and toast! They use midwife and the baker bread, have a variety of options for toppings and it’s all fairly priced for SF. It’s small so not much space to sit but great for takeaway."
Scullery,687 Geary St,"Wow, just their toast with a huge amount of avocado was enough for my lunch! It was VERY GOOD. Coffee was also excellent. My daughter got the cinnamon toast and it brought me ""back in time"" to when my mom would make it."
Scullery,687 Geary St,Well when I woke up I was craving a decent coffee and a decent breakfast.... walking down the road..I stumbled upon this Lil gem! I had the green eggs and ham..pictured...and my fiancée had avocado toast w egg..she devoured b4 the pic! Also a latte I found fantastic!!!! A MUST go! Support them small shops!!!! They need it and r worth it!!!!!!
Scullery,687 Geary St,Small magical coffee shop! The coffee is very good (oat milk cappucino) and the sevice was good! Avocado toast was maybe the best i had!! Good prices as well
Scullery,687 Geary St,"Scullery was a great find in the SF Tenderloin area. Quick service and friendly staff with delicious coffee offerings. If you get a chance to get the maple apple bacon scone, grab one with your coffee, you won’t be disappointed. Really enjoyed stopping by Scullery, we were looking for a place that had some espresso offerings since we were staying in the area. Scullery is a hidden gem in SF."
Scullery,687 Geary St,"You ever open a bag of your favorite coffee and take a deep whiff? That comforting feeling you get right then? That's what this place is like, every time. Not only will you get the best coffee you've ever had (with a lovable bear foam art) but you should also grab some avocado 🥑 toast because it was something I'll be craving for the rest of my life. I had the tomato edition, and it was topped with this sweet/savory/acidic tomato relish that complimented the fatty avocado perfectly. Mmmm."
Scullery,687 Geary St,"Before I tasted my latte, I already love this place.  It’s so cute and cozy. Super friendly staff. And yeah, the latte is delicious."
Scullery,687 Geary St,Amazing toast. I got the egg pesto and it was delish. Friendly and fast service. The only suggestion I have is other bread options would be nice. Although I enjoy the bread it was served on. My coffee was also top notch. Thanks!
Scullery,687 Geary St,Best coffee in San Fran! Avocado toast is delicious and Cortado (standard comes with double shot) was amazing. Bonus for the cute bear 🥰🥰 …
Scullery,687 Geary St,Really lovely coffee shop with amazing avocado toast and espresso. Recommend their ABJ toast with one of their spicy jams! A little spendy for everyday lattes but they also have delicious brewed coffee that does the trick.
Scullery,687 Geary St,Unassuming gem in SF. Small walk up with amazing locally roasted coffee and great toasts. Highly recommend !
Scullery,687 Geary St,Best local coffee in the area. Highly recommend this spot for a pick and go. They offer artisan special coffees with a touch of art
Scullery,687 Geary St,"Small coffee spot with friendly staff. The coffee is great but they charge an outrageous amount of money for speciality toasts that don't even look that great. Probably saw what other places like the Mill on Divisadero do and thought they could do the same, but it just doesn't land at all and you feel cheated."
Scullery,687 Geary St,"Cute little place that’s next to my hotel. It’s small, only a few counter seats. Atmosphere is relaxing. Just that they drizzle extra oil on avo toast that’s a bit too much for me. Toast is great, has seeds and taste chewy"
Scullery,687 Geary St,Small takeaway coffee shop that features locally roasted specialty coffee and fantastic toasts! Avocado toast with egg is a hit and everything from their batch brewed coffee to their more extravagant drinks like the Vietnamese shakerato and the burnt caramel latte are just what you want.  It is takeaway only though so don’t plan to stay too long…
Scullery,687 Geary St,Found this place during my stay close by - the place is cozy and I was a big fan of the little benches in the front (especially as a visitor to the city). The toast and chai were yummy - would definitely recommend!
Scullery,687 Geary St,"Friendly service, great coffee and a confident boast that the avocado toast is “The Best” which I’m happy to report it was and just what a jet lagged Brit needed to start his day 🙏🏼 …"
Scullery,687 Geary St,Top notch avo toast and a full coffee menu to match serving sight glass beans.
Scullery,687 Geary St,"To be honest, I didn't really like the coffee and the baristas were not particularly friendly. I absolutely loved the logo though!"
Scullery,687 Geary St,"Great atmosphere, and also making a perfect iced latte."
Scullery,687 Geary St,"This was such a find! I had coffee and avocado on toast, made fresh and lots of avo, just right for breakie. The price was good as well."
Scullery,687 Geary St,"Awesome little coffee shop... great coffee, great breakfast options and great gluten free bread... worth a visit."
Scullery,687 Geary St,Perfect mocha and cute latte art! Great way to start the day exploring San Francisco ☕🎉 …
Scullery,687 Geary St,The coffee is on point - it’s right around the corner from our hotel. Burnt caramel tastes as good as any creme brûlée I’ve had. Plus spicy pbj!
Scullery,687 Geary St,So obsessed with this place. I went here each morning I was staying here and got the TL drink. Definitely recommend! Get the toast too! The pumpkin butter was great!
Scullery,687 Geary St,"If you junst need half-decent coffee on the run it's probably ok. But it's not a cafe, it's just a Tiny hole in the wall with no place to open a computeror sit comfortably- seating is 3 stools, no place to work, paper cups only, out of almost all pastries (I got an inedibly stale coffee cake). Evidently they have a to-go business involving boxed goods that is consuming most of their effort."
Scullery,687 Geary St,Very good quality coffee with friendly staff.
