0,1,2
Sextant Coffee Roasters,1415 Folsom St,"Tried a mocha along with an almond croissant it tasted good. They have a nice selection of pastries! The ambience is perfect for a quick catch up with a friend, to work, or to unwind with a book! The outdoor area is great! There's street parking available."
Sextant Coffee Roasters,1415 Folsom St,"One of the best espressos I've had in the City and probably anywhere, actually. I had the Maiden Voyage Yirgacheffe, which was rich and unique with its heavy berry and floral notes. I also bought the Black Lion to take home and turns out I like it even more. Definitely give this place a try if you enjoy coffee and want to spoil yourself with something different."
Sextant Coffee Roasters,1415 Folsom St,"Solid coffee with great gluten free pastries!  I recently hosted an event and I bought a large container of coffee. Their service was super fast and they had it ready in 15 min.  They have a variety of Asian flavored desserts as well as the usually croissants and cookies. They also have a few gluten free options, I recommend the banana walnut cookie"
Sextant Coffee Roasters,1415 Folsom St,"Hard to get good coffee in SF, and this place is no exception. Don't come here if you want light roast delight. Sextant Roasters knows a good deal about coffee, but not the folks who serve the brew here. It was a challenge to get tasting notes. They only offer one medium roast as espresso… and that one turned out to be bitter… Milk alternatives are normally here - but not today. They ran out.. too bad. the backyard is nice though. Overall... Don't bother to come."
Sextant Coffee Roasters,1415 Folsom St,"Spacious coffee shop with your standard load out of coffee/espresso drinks. I had the drip coffee, which today was the Connoisseur blend. It was served at perfect drinking temperature (I feel like typically places will serve it hotter than drinkable).  Connoisseur - blend from columbian beans. Had sour notes+aftertaste and a bit zesty. Slightest hint of cherry. Did not taste the apple or honey cocoa as suggested in the flavor profile."
Sextant Coffee Roasters,1415 Folsom St,"Great quality of third-wave roaster and coffee shop directly working with farmers across Ethiopia, Kenya, and Colombia. My favorite coffee here are Americano and Cappuccino. Their pastries from local shops are really good too."
Sextant Coffee Roasters,1415 Folsom St,Really good coffee and probably one of the best Kouign-amann I never tried . The only downside of this coffee place is that they don’t have outlet near the seating area
Sextant Coffee Roasters,1415 Folsom St,Very unique roasting and tastes very good.  I believe it's because their source of the bean with onsite roast makes the coffee fresh.  They also have a back yard area for customers to sit and enjoy their coffee.  Their cold brew is a must to try.
Sextant Coffee Roasters,1415 Folsom St,"This coffee shop will receive my five-star rating. Everything went smoothly and without any issues. They always gave it their all and have a high level of customer satisfaction. Without a doubt, I would highly recommend this location! Thank you all so much for your generous assistance. Excellent work!"
Sextant Coffee Roasters,1415 Folsom St,Recently moved to the neighborhood and stopped by this place after hearing good things. I can say it lives up to its good reputation. The cold brew was one of the best I’ve had in the city and Amber & Isobel were super friendly and welcoming.
Sextant Coffee Roasters,1415 Folsom St,"My favorite cafe in the neighborhood, and possibly in the city as well.  Love the light-filled space and the brick walls, but I think the best part is the patio in the back.  Very friendly staff, and what tops the experience?  They give out **amazing** 🐶 treats 🐾"
Sextant Coffee Roasters,1415 Folsom St,"Despite the grey exterior, this is a relaxing spot with earthy vibes inside. Great place to sit down and do some work. Good coffee and croissant too."
Sextant Coffee Roasters,1415 Folsom St,"Brilliant independent coffee roastery in San Francisco - worth the hype! I had heard good things about Sextant and it definitely lived up to expectations.  Great range of brewing methods,  delicious Ethiopian pour-over, and really helpful and knowledgeable staff."
