0,1,2
Sightglass Coffee,270 7th St,We got Vanilla paste lattes which tasted good. We also got their pastries and avocado toast. They just tasted okay mainly because they were not warmed up in spite of asking. The service was not really good - the guy at the counter was very rude. Atmosphere of the cafe itself is unique and nice. Wish the service was better.
Sightglass Coffee,270 7th St,"Lovely baristas, great environment to work at but no wifi i think. Has two floors, plenty of seating options. Great coffee! I had the everything croissant with cheese filling. Lovely. Definitely will go back."
Sightglass Coffee,270 7th St,"Good coffee, but the waiter at the register was not helpful at all. My coffee was cold last time, I asked it hotter. She was arrogant and told me that's how they do it as the water kettle can only boil the water to certain temperature (really!) without even considering a barista could have made a mistake, like using little older water. Anyways, coffee is good and different coffee options are available as pour over."
Sightglass Coffee,270 7th St,"Immaculate vibes, great coffee. Whole place has a minimalistic rustic farmhouse feel. Coffee is freshly brewed all the time and taste great.  Good place for working/homework/chilling. But they don’t have Wi-Fi so be prepared to use your own hotspot if you need it."
Sightglass Coffee,270 7th St,"3.5 stars. super cute industrial vibe, great for studying, and would come here to get some work done. personally the coffee was too sour/strong for me but my mom loved it. it was also pretty pricey and they don’t warm up pastries (mini chocolate croissant was disappointing) very clean bathrooms!"
Sightglass Coffee,270 7th St,The coffee is okay and the pastries are from neighbor bakehouse. Don’t think they bake anything in-house. Avo toasts aren’t available Monday-Thursday.  Def come here for the vibe more than anything else! Wish they had wifi though.
Sightglass Coffee,270 7th St,"My favorite location in the city. This is where they roast their beans. The inside is huge, plenty of seating downstairs and upstairs.  We were pleasantly greeted with a display case overflowing with pastries. Pastries are from Neighbor Bakehouse and another bakery (not listed).  We enjoyed perfectly made flat white and latte.  Plus they were one of the only cafes opened at 7am."
Sightglass Coffee,270 7th St,"Sightglass Coffee is truly a coffee lover's paradise. I visited this place with high expectations, and it did not disappoint. I ordered a latte, and the barista who made it was truly amazing. He was friendly, attentive, and very knowledgeable about coffee. I could tell that he was passionate about what he does, and it showed in the quality of his work.  The latte itself was fantastic. The coffee was rich, smooth, and had a delicious nutty flavor that was perfectly balanced by the creamy milk. But what really made it stand out was the latte art. The barista made a special design, and it was truly a work of art. The attention to detail was incredible, and it was clear that he put a lot of care and thought into his craft.  The atmosphere of the cafe was also fantastic. It was cozy, comfortable, and had a great vibe that made me feel right at home. The interior was beautifully designed, with lots of natural light and warm wood accents that gave it a rustic feel. The seating was comfortable, and there was plenty of space to relax and enjoy your coffee.  Overall, I would highly recommend Sightglass Coffee to anyone who loves coffee. The baristas are friendly and talented, the coffee is top-notch, and the atmosphere is unbeatable. It's the perfect place to relax and unwind, and I can't wait to go back again soon."
Sightglass Coffee,270 7th St,"Open Café which is incorporated in their own coffee roastery. You can sit and enjoy your coffee on the upper floor while looking at the cafe and the working roastery. The architecture is very open in inviting. Found this place by chance, worth the stop! You can also get cookies and little pastries besides your coffee. Coffee is on the pricy side though even for San Francisco."
Sightglass Coffee,270 7th St,Great coffee with a nice seating area. Enjoyed the Vanilla Paste Latte and the latte art was on point with my latte. We also got the Masala Chai but felt it was a bit muted and without a really strong flavor.
Sightglass Coffee,270 7th St,Amazing. The building is gorgeous. Very unique coffee shop. Awesome seeing the live coffee roasting take place.  I ordered a cappuccino and I enjoyed. Very rich coffee flavor. Didn’t taste like pure milk as other coffee shops tend to make. 👍🏽
