0,1,2
Simple Pleasures Cafe,3434 Balboa St,"Simple Pleasures is a mainstay in the Outer Richmond. The roast their own coffee, their vanilla iced lattes are my personal favorite, baked goods are so good, the space is great so you can chill or work, they have an outdoor parklette, and they serve beer later in the day. I love this place."
Simple Pleasures Cafe,3434 Balboa St,"Quintessential San Francisco locals spot in the outer Richmond. Great coffee, hot chocolate with whipped cream and they have beer and wine as well as a parklet and outdoor seating."
Simple Pleasures Cafe,3434 Balboa St,"Cute little, pet-friendly cafe. Very weak mocha and latte though. The veggie and flavored cream cheese pumpernickel bagel was decent. Everything bagel is even better."
Simple Pleasures Cafe,3434 Balboa St,"Come for the coziness, not the cappuccino.  As others have said, this is a great cafe, incredibly cozy and with friendly staff.  That said, they are really bad at making cappuccino. I'd recommend Coffee Movement or Home Coffee Roasters for that."
Simple Pleasures Cafe,3434 Balboa St,Truly Simple Pleasures. Great coffee. Relaxed neighborhood atmosphere. I also tried the bagel+egg sandwich=not the best. Eggs were a bit sulfery from being old and added ham one thin slice for $3 ?? Still 5 STARS because it was just a great place. Simple and Pleasurable.
Simple Pleasures Cafe,3434 Balboa St,This cozy cafe is a community favorite and is always busy. There is both indoor and outdoor seating bit I prefer to sit inside since Balboa is windy most of the time. Their hot sandwiches are really good and unique. I definitely did not expect the jalapeno in there. The dutch crunch is best enjoyed when the bread is still crunchy. Their pastries are also really good though they are kind of pricey. Wish they put the names and prices of their pastries up front.
Simple Pleasures Cafe,3434 Balboa St,"I've been coming here on a weekly basis for more than 20 years now. Ever since I was in high school. Simple Pleasures Cafe is the epitome of the local coffee shop. They roast their own coffee beans two doors down from the cafe so it is always incredibly fresh and delicious. They also serve amazing food, which includes sandwiches, soups, salads and pastries. I have eaten pretty much everything on the menu and it's all very good, but I am particularly fond of their chicken panini sandwiches, breakfast bagels, and egg salad. I most frequently order the mocha with soy, but if I'm in a hurry, the regular coffee (and iced coffee) is fantastic as well. The regular coffee there has strong notes of chocolate with subtle undertones of caramel. It's very satisfying and always puts me in a good mood. I've known many baristas come and go over the years and they've all been wonderful human beings. The ones I've known the longest who still work there are legitimately some my favorite baristas ever. They're always very friendly, generous and helpful. The owners are also amazing people. They're some of the kindest people I've ever known and are so appreciative of all their customers. They've maintained the cafe with the same decor and vibe since they opened decades ago. It is a fixture of the neighborhood and it genuinely feels like a home away from home."
Simple Pleasures Cafe,3434 Balboa St,"This coffee shop always has such good vibes. Good coffee, friendly workers, and places to sit and look around at everything on the wall. We enjoy our time here when we come!"
Simple Pleasures Cafe,3434 Balboa St,Quaint cozy local neighborhood coffee shop. Espresso machine. Hearty breakfast sandwiches and burritos. Wine and beer. Great outdoor seating area and indoor couches. Games to play with friends!!!
Simple Pleasures Cafe,3434 Balboa St,Coffee here is great! Food could be better
Simple Pleasures Cafe,3434 Balboa St,Stopped by for a coffee break after a quick hike at Lands' End nearby. Decent coffee and mocha. It's a cool place with perhaps an older crowd who look to be regulars in the neighborhood. Two thumbs up for open outdoor seating by the side walk.
Simple Pleasures Cafe,3434 Balboa St,"Great for hanging out with friends, working or chill afternoon by yourself. They're offering all kinds of coffee and hot beverages (love their chai latte btw!), beer, wine, sangria, anything you might want to drink. I'm not really familiar with the food over there but I loved the cookie. Don't expect something fancy but the place has good vibes!"
Simple Pleasures Cafe,3434 Balboa St,"This place is a gem. Best chai latte in town. If you like to support family owned, local, legacy establishments then this is the place to patron. The owners are lovely people with huge hearts. The staff is a diverse group of hard working individuals. This is my place to study, sit outside and people watch, or chat on the couch and make a new friend. It spans generations and is as cozy as a cafe could get. If you have lived in SF your entire life, or are new to town you always feel like a local at simple pleasures."
