0,1,2
Snowbird Coffee,1352 9th Ave A,"Cute coffee shop with inventive espresso drinks! I got the Cafecito (cortado, but the shot is pulled with brown sugar mixed in the espresso) and it was a unique and delicious flavor. Barista was kind and helped explain all of their drinks. Good pastries too!  Will be back if I’m in the area again!"
Snowbird Coffee,1352 9th Ave A,"Very good coffee at a pretty regular price. So far, I think it’s the best coffee spot in the neighborhood. The cashiers are always nice and the service is fast; I only wish there was more room to line up and wait for your order."
Snowbird Coffee,1352 9th Ave A,"Delicious coffee! I ordered an oat cappuccino and totally loved the texture and flavor of the coffee.  Their coffee is velvety, smooth and balanced. Prices are comparable to local coffee shops in SF area.  Highly recommend this place for a great cup of coffee!"
Snowbird Coffee,1352 9th Ave A,Perfect balanced Ethiopian pour over. Very good pricing-half the cost of what I pay in the DC area!
Snowbird Coffee,1352 9th Ave A,"Excellent, impressive coffee. Neat atmosphere too."
Snowbird Coffee,1352 9th Ave A,"Live this small cozy coffee shop where I can be productive too. Great selection of espresso drinks. Great skills! In a great neighborhood where you can hover around for other snacks, pastries and Golden Gate Park"
Snowbird Coffee,1352 9th Ave A,"Minimal little coffee shop with a modern feel. Quick service, no frills. The mocha was barely sweet, which I appreciate, but it had no foam."
Snowbird Coffee,1352 9th Ave A,"This coffee shop is definitely a gem in the Inner Sunset area. They have a somewhat small selection of drinks, but the ones they do make they make extremely well! I'm personally not a big coffee drinker, but I was still able to find a go-to drink in their matcha latte (sweetened). Their blue interior, while a bit small, is perfect if you're looking for a little cubby hole to take a break or to get some work done. I'll usually bring friends here when we want to grab a warm drink and sit down a chat of a bit."
Snowbird Coffee,1352 9th Ave A,"In a city full of third wave coffee shop now, it’s honestly so easy to screw up a simple cup of coffee…. But the cup I had here was incredible. Ordered an oat milk cortado, and it was probably the yummiest coffee I had in a while - smooth, perfect temperature, and all around so enjoyable. Drank it with a tartine chocolate croissant and it was HEAVENLY!"
Snowbird Coffee,1352 9th Ave A,Great coffee in the inner sunset Locally owned and operated! Friendly service
Snowbird Coffee,1352 9th Ave A,Definitely a most visit type of place. The coffee is really good. The service is amazing super friendly.  Definitely a great experience for my first visit.
Snowbird Coffee,1352 9th Ave A,"Cozy, rustic atmosphere, Snowbird Coffee is a great place to sit and relax. I got the Spaniard, which I found to be quite good. The condensed milk that they use in it added to the creaminessand sweetness of the latte. This is added to the list of cafes that I like to visit whenever I am in the area."
Snowbird Coffee,1352 9th Ave A,Best coffee in the Inner Sunset. Hard to get table because of the people on their laptops but there's usually a seat somewhere. Good selection of beans and drinks.
Snowbird Coffee,1352 9th Ave A,They were so kind and helpful and got my drink made fast but somehow also delicious and beautiful.
Snowbird Coffee,1352 9th Ave A,good coffee. the Spaniard (latte with condensed milk) was good
Snowbird Coffee,1352 9th Ave A,"Good coffee, but be warned! If you get the 16oz ""Batch brew"" (aka drip/house coffee), and order it for ""here,"" you actually only get about 8oz of coffee! You pay the same price as the 16oz to-go cup, but it comes in a small coffee mug and you will be charged $1.00 for refills. Would have preferred to know this ahead of time, as we were enjoying the atmosphere and didn't want to produce waste by using a to-go cup we don't need. Expecting 16oz of coffee and only getting about 8oz was very disappointing!"
Snowbird Coffee,1352 9th Ave A,"Got the mocha... But it tasted like a Milk-a, and if that's not clear, it tasted like plain milk."
Snowbird Coffee,1352 9th Ave A,Fantastic place to duck in and grab a great cup of coffee if you're walking around Golden Gate Park.
Snowbird Coffee,1352 9th Ave A,"Was in the area and needed a pick me up. Sad to say, but shakerato is not common where I live. So decided to try it to see what the deal was. Easy to drink and refreshing on a warm sunny day. Nice looking place, standing room only inside."
Snowbird Coffee,1352 9th Ave A,Friendly staff. They have only 1 medium blend for most of coffees. I expected a good blend of coffee and milk but have gotten something like a cup of milk. The barista was super nice remake my coffee but still it wasn't great. Maybe just an espresso would taste much better. Unfortunately I cannot know. It's not a terrible place but neither it is exceptional. Just another coffee shop in SF.
Snowbird Coffee,1352 9th Ave A,"Delicious pour over coffee options, quick service, nice space. Baked goods seem to run out early on Sundays so go early if you're looking for those."
Snowbird Coffee,1352 9th Ave A,"Great coffee with lots of specialty offerings, great neighborhood too iam around in."
Snowbird Coffee,1352 9th Ave A,A neighborhood classic! No longer has seating indoors but still a nice spot to meet for coffee.
Snowbird Coffee,1352 9th Ave A,"Great quality, highly recommend the chai latte!"
Snowbird Coffee,1352 9th Ave A,"Coffee was decent but somewhat bitter. Interior was clean, but a bit crammed. Wooden benches and bolted down tables were uncomfortable. Staff was courteous and friendly."
Snowbird Coffee,1352 9th Ave A,"I love chai tea lattes. I find that most chai aren't spicy enough for my liking. The taste is usually too muted and I find myself wanting more from the drink. However, the chai at Snowbird is AMAZING!! I didn't have much expectation as I was just coming out of physical therapy with my mom. I wanted something to drink, so I ordered the chai. My first sip surprised me!! In a good way! It is spicy, flavorful, and made my tastebuds danced!! I'll definitely be back again! Thank you for making such awesome chai!!"
Snowbird Coffee,1352 9th Ave A,"Not a bad experience, but the staff could have been slightly more helpful/welcoming. Only 2 customers in front of me and still waited a while. Ok, I did order a pour over! I'll be back again."
Snowbird Coffee,1352 9th Ave A,"Nice coffee, nice bun, but no tables - so no place to sit & work"
Snowbird Coffee,1352 9th Ave A,"A nice atmosphere and decor, pleasant music. Counter service was mediocre and my espresso was served well after it was pulled.  Drip coffee was yummy. Not the fantastic espresso destination I'd expected."
Snowbird Coffee,1352 9th Ave A,Good cafe. I took a macchiato and it and it got a flavor to the cafe that I like.  If you are around the area it is earth the visit.
Snowbird Coffee,1352 9th Ave A,COFFEE ICE CUBES IN MY COLD BREW!!! Next. Level. Really cool vibe in here. Highly recommend!
Snowbird Coffee,1352 9th Ave A,Every young person knows what a “cool coffee shop” means. Snowbird is the cool coffee shop of Inner Sunset
Snowbird Coffee,1352 9th Ave A,"Love Snowbird! I'm a regular customer and have been coming here for the past 6 years. The owners are awesome and care about their community. Snowbird has been a staple of the neighborhood since they've been around - not to mention good coffee, good service, and their goat cheese pretzel is bomb."
Snowbird Coffee,1352 9th Ave A,Waste of money. This place is ridiculously overpriced for what it is. It's one of those hipster coffee shops selling off image versus quality. Some workers seem to have an attitude the few times I've been. I also saw an incident when they first opened where a worker disrespected a customer which was shocking to see in what's supposed to be a customer oriented business. There are much better places for coffee in the inner sunset.
Snowbird Coffee,1352 9th Ave A,"Best Latte in the inner sunset! The staff seem generally interested in knowing your name and order. Proper coffee takes time. Don't be alarmed by the line, it means it's good. Great place to run into neighbors and also pick up a pastry."
Snowbird Coffee,1352 9th Ave A,"Small, quaint coffee spot in the Sunset district with terrific quality espresso served here. One of the many small local coffee shops that is worth the time to try as they also have their own signature drinks as well. Would highly recommend stopping by here if you're in the area!"
Snowbird Coffee,1352 9th Ave A,"Snowbird is a great, cozy little spot with amazing coffee. They have your standard lattes, cappuccinos, and more, but also serve special drinks like the Spaniard and my personal favorite, the Shakerato.  Snowbird has changed since the pandemic with it only being take-out nowadays. No longer does anyone need to jockey over outlets and seating!"
Snowbird Coffee,1352 9th Ave A,"Snowbird is a chill, casual multi-roaster coffee spot that offers plenty of seating room and decent coffee and baked goods. I swing by on a rainy day and got the Spaniard, which is a Spanish latte meaning it has condensed milk that makes it a little sweeter than your average latte. Sure was tasty, but wish it we're a few degrees hotter than served. Pretty cool spot to hang out at as there's seats in the front and back."
Snowbird Coffee,1352 9th Ave A,"Coffee is totally a subjective and personal preference, but Snowbird is the only spot in SF where I actually fantasize about my next cappuccino. The pastries are also really good, although I cannot remember which bakery they use.  The place is cramped and cozy, with low ceilings and not a ton of seating; on weekends it can get quite loud sometimes.  But highly recommended. There is WiFi as well, which you will need because there’s no cell reception for some weird reason."
Snowbird Coffee,1352 9th Ave A,"Snowbirds is one of my favorite SF cafes and have some of the best baristas around. I'm very particular with my coffee and these guys roast and make incredible, balanced espresso and fantastic pourovers.  Not to mention, the staff is incredibly friendly and they make it feel like coming home. The vibe is great too, with good seating options and perfect ambience.  Snowbirds truly is a gem and I'm so happy that we have them in the Inner Sunset!"
