0,1,2
Starbucks,1700 Owens St,"The facility is cozy with a fairly ambient atmosphere ideal for a good quiet place to work and study, or simply charge your phone at the wireless charging station while you sip your coffee."
Starbucks,1700 Owens St,"Deceiving ... all the outlets have no power!  Brand new Starbucks great location across Kaiser Permanente, service is not great; people behind the counter are not knowledgeable and borderline rude.  Cold brew coffee here is very weak and not up to the usual Starbucks quality.  Thank goodness the egg bites are still good! Only one restroom, it is not well-kept.  Expect a line to order, this place is bustling as there is not much places near here to have coffee and tables while you wait for appointment at Kaiser."
Starbucks,1700 Owens St,"I like that they open at 5 am. Store is clean this early in the morning. The staff were nice and polite. No lines and got my order right away.  Edit 5 months later: Jolene and Curtis know my order by now. Again, great staff and service."
Starbucks,1700 Owens St,This place doesn’t have fancy space but every staff is very professional and accurate. Sarah is especially nice!
Starbucks,1700 Owens St,The whole staff is wonderful. They are so kind and humble especially Curtis. He always remember everyone's face and order. He is remarkable. We need someone like him in every Starbucks. I wish all the starbucks had a staff like one on Owens...great energy! God bless them all.  Today I didn't see Curtis nor the middle eastern girl who are shooting kind. Today I didn't like the energy of the staff. Bring them 2 back
Starbucks,1700 Owens St,"Well maintained store, awesome staff. I don't usually come here often, but it's nice to stop by before or after a doctor's appointment if you're in quick need of some caffeine or a small snack. 😊"
Starbucks,1700 Owens St,Says it’s a drive through but it’s not. Suggest you take that off.
Starbucks,1700 Owens St,"This place is awesome, staff are very friendly, they know yr name just after a few visits. They know yr drink and food preferences off top. It's a sexy kinda place to sit around and feel cozy. Sip coffee or read, study, or just come for the fun staff. This place is close to my job too. I look forward to going by there everyday. I have the app too it's great to see what's new to drink or eat. Stop by you wont be disappointed by the ambience and friendly staff.  Sip and Relax.🤗🤗"
Starbucks,1700 Owens St,"The staff is on point! Fast, friendly, efficient. Location is great, safe from Karen mobiles that don't care to look before exiting the Starbucks drive thru, as there is no drive thru here."
Starbucks,1700 Owens St,"I love Starbucks. However, this location has absolutely not access by car and no parking is available nearby. You can't even pull over for 5 minutes to run in and grab a pick up order. Only order here if you are in walking distance."
Starbucks,1700 Owens St,Really clean store. Nice employees.  I love the outdoor seating due to the chairs having back support. I used my 400 star reward and got a free coffee mug today.  It's small but air conditioned.
Starbucks,1700 Owens St,"This is my go-to Starbucks as it's so close to my work.  I'm usually in and out because they're really fast fulfilling my mobile orders, and I really appreciate that.  I knocked off a star because their coffee (and I get the grande dark roast everytime)is NOT hot.  I thought it was because I made the mistake of ordering my coffee early (through the app).  So I adjusted my ordering next time and submitted it when I was already walking, and it's about a 3 minute walk from my office.  It's still the same result. I just don't get it."
Starbucks,1700 Owens St,I don’t know how they manage to mess up my order 3 days in a row but they do. They are more interested in chit chatting than helping the customer. Unsweetened black tea should not be a hard concept but it really is at this location. Wrong size and or sweetener 3 days in a row. Also messed up a food order.
