0,1,2
Starbucks,425 Battery St,Slowest Starbucks in history and not because they’re busy.  Customer service is friendly but it’s the only Starbucks I ever wait at and am the 2nd to only one in there.  Go two blocks away to the corner of Cal & Battery if you don’t want to be late to work or spend your entire break waiting for coffee.  Clean though.
Starbucks,425 Battery St,"Starbucks is so famous everywhere and I just love to sit and sip coffee and take a bite of their regular pastry. I love the mug which comes with your name engraved but the coca nitrogen is not something different- its same like plain cold coffee, water and ice. Nothing awesome about it."
Starbucks,425 Battery St,"Very clean and comfortable, the place to go to get coffee food and more"
Starbucks,425 Battery St,Kerry is awesome! He made my day!!! 🍵 …
Starbucks,425 Battery St,"Poor customer service, very disorganized teenage staff. I like Starbucks, they're generally well run with eager to please staff. This one is unpleasant, the staff seems more focused on gossip than saying ""hello."" A lot of attitude"
Starbucks,425 Battery St,Something a bit grim about this particular place...
Starbucks,425 Battery St,Jo makes 5 star drinks! Must go to this Starbucks.
Starbucks,425 Battery St,Went here few times already! Love the nice stuff! Coffee always hit the spot for me too - thank you baristas :)
Starbucks,425 Battery St,Good coffee! But expensive…
Starbucks,425 Battery St,"Oscar a barista at this shop decided a 62 year old writer was not welcome at his shop. I was a fraud, e would bang on the restroom door every time I used it. Used a bogus patron of the week contest to try to provoke me and laughing at me it was so funny. Oscar used friends to start a confrontation. Slanderous lies meant to damage. Sadly this lack of common good behavior is very  normal at all San Francisco coffee shops and Starbucks is no different. Adolescent  behavior or worse. This nation of cowards are about to get what they deserve."
Starbucks,425 Battery St,Free coffee on your birthday if you download app. Helpful and Curtious staff. Delicious coffee. I loved the dark roast and pour over.
Starbucks,425 Battery St,Good kids behind the counter for sure.  Plus my Caramel frap was perfect. 👍 today SB! …
Starbucks,425 Battery St,"Has lots of outlets, and a bathroom with a code"
Starbucks,425 Battery St,"Great location. Very spacious, staff is friendly, drinks were made comparable to other locations"
Starbucks,425 Battery St,On top of it. Edit: this team is the real deal. I watched two people bang out orders during a Sunday slam. They make it look easy too.
Starbucks,425 Battery St,"Still one of my go to places for a good cup of coffee, Frappuccino, or a good slice of lemon cake!"
Starbucks,425 Battery St,"Don't tell anyone but this Starbucks might be one one of the best in the City. There is an area that has seats, tables, outlets, air conditioning and the staff is very kind and helpful. A gem."
Starbucks,425 Battery St,Mel is amazing! She brings the biggest smile to my face! Love love love it here!
Starbucks,425 Battery St,"Made my heavy cream latte *perfectly*. Usually, people over foam it, and I wind up with a cappuccino."
Starbucks,425 Battery St,It was terrible without being able to sit at any table!  you can not go there!
Starbucks,425 Battery St,Staff was nice but coffee was not good compared to other Starbucks.
Starbucks,425 Battery St,Staff is nice but my order wasn't correct. I did not order a cold chai lay
Starbucks,425 Battery St,Great coffee strong wifi and friendly staff.  Decent amount of seating for a Starbucks.
Starbucks,425 Battery St,"Not a great Starbucks to sit and talk , but good for a quick grab and go."
Starbucks,425 Battery St,"The place you want to go to become deaf, music way too high. 2 stars because the wifi is good ..."
Starbucks,425 Battery St,"As always, the best. Right in the middle of where required. Open all time in case of holidays too. Great help."
Starbucks,425 Battery St,Why this place was closed on Saturday morning around 8am?
Starbucks,425 Battery St,Nice staff. Quick service.
Starbucks,425 Battery St,"Friendly barista, no line, and I used my rewards points. What else can one wish for?"
Starbucks,425 Battery St,Came at Tuesday. Seating is not much but can still find seats.
Starbucks,425 Battery St,Great coffee! Lovely and cordial staff
Starbucks,425 Battery St,Less wait time and friendly service. Highly recommended
Starbucks,425 Battery St,"Nice Starbucks, but it's kind of cramped and didn't have much in the way of seating."
