0,1,2
Starbucks,865 Market Street San Francisco Centre,"I ventured to this coffee haven in search of a much-needed pick-me-up, and boy, did I hit the jackpot with the Iced Caramel Macchiato - QUAD style! With each sip, I felt an invigorating rush of energy that filled me with the motivation to tackle the day ahead. Although I may not have worked all day, I can confidently say that this coffee creation was a game-changer. Kudos to the talented team who crafted this masterpiece - you truly outdid yourselves!"
Starbucks,865 Market Street San Francisco Centre,"Made an order through the mobile app for only a banana loaf . It was not taken out the plastic nor heated up. It was an online order which means they had time to heat it up. Just because I was not there in person to put in the order, it does not mean they could be lazy. Only until I left I realized it was cold in the plastic, really disappointing."
Starbucks,865 Market Street San Francisco Centre,"today i ordered an iced drink but the guy made it a hot drink, another guy took my drink inside for a while and gave it back to me. from the drink appearance i saw i believe they just poured the drink from the hot drinks cup to the iced drinks cup. it is...disgusting. can't you make a new one? But what's more disgusting is i even saw the first guy later picked up an iced drinks cup from the garbage can, peeled the order label and re-sticked it to a hot drinks cup. --BASIC SANITY ISSUE. would never order in here again. store manager please re-train your baristas!!!"
Starbucks,865 Market Street San Francisco Centre,"The folks working here on 30 May Tue 1715hrs esp Danielle were amazing. They went the extra mile to accommodate customers needs and wants, worked in harmony together and just exuded positive vibes all round.  Please do all you can to pat them on their backs as they are deserving of praise. I'm not even from the city but a tourist from Singapore.  Blue skies to the team and hope to see them soon."
Starbucks,865 Market Street San Francisco Centre,Coffee isn't the only thing this chain makes. I've personally never had a better tasting grilled cheese sandwich that is sure to make you rethink your diet. I never have any issues at any of the Starbucks I've visited. Take a second look at the full menu of your nearest location and see if there's anything you've missed out on.
Starbucks,865 Market Street San Francisco Centre,Terrible. Been there three times and they messed up my order three times. This last time they even overcharged me and when I pointed it out the woman at cash register got mad and tried to say it was my fault. I recommend the Pete's Coffee 100 feet down the street.
Starbucks,865 Market Street San Francisco Centre,"I recently visited Starbucks and had an amazing experience! The baristas were friendly, welcoming, and attentive. They were knowledgeable about their coffee and helped me pick out the perfect drink to suit my taste. I was impressed by the cleanliness of the store, and the overall atmosphere was cozy and inviting. The quality of the coffee was exceptional, and my drink was made to perfection. I also appreciated the variety of food options available, which were both tasty and satisfying. The convenience of the mobile ordering and pickup option was a huge plus and made the entire experience hassle-free. Overall, I would highly recommend Starbucks to anyone looking for a high-quality coffee and a great customer experience. Five stars!"
Starbucks,865 Market Street San Francisco Centre,It’s great like almost every Starbucks. Thank you!
Starbucks,865 Market Street San Francisco Centre,"Underground!! Great service early in the morning when you need that coffee and breakfast! Note that to find this store, you have to take the escalator down from street level towards BART."
Starbucks,865 Market Street San Francisco Centre,"I visited this store earlier and ordered a Venti Frappucino, but I guess the cashier didn't hear me clearly and keyed in a Grande. I just paid blindly and when I was served my order, I was given a Grande. I queried and checked and realised it was my error but the barista offered to make me a Venti as it was what I originally wanted. I didn't take up his offer as it was my own error in not checking but this is truly a 5 star service attitude.  Thanks!"
