0,1,2
Tarragon Cafe,200 Fillmore St,"Today i visited this cafe for the first time and i absolutely LOVED it ! I randomly drove by it while looking for a cafe to stop and hang out with my kids while waiting for my husband to get off work. The staff members are super nice, the place is really cute and hip, their coffee and pastries that i ordered were amazing, the whole place is neat and clean , with lots of seating.  They have a large variety of menu options. It’s located in a cute area of San Francisco. The vibe there is great and the music they played was just a cherry on top (jazz). I can’t wait to come back here again and again! The only thing i would suggest is maybe adding a changing table in the restroom, i came with my baby and wished they had a place for me to change the baby. Oh also maybe add a little kids corner or books at least or color pages and crayons to keep my kids busy so i can sip my coffee in peace 🙈😅"
Tarragon Cafe,200 Fillmore St,"Hands down Tarragon is the best spot in the Lower Haight. Breakfast, lunch, and (on Fri/Sat) dinner — and it’s all incredible. Highly recommend the Italian panini and Taco Friday!"
Tarragon Cafe,200 Fillmore St,"My favorite Café in the city. The food is exquisite and is prepared by the Chef owner Mario whose passion for cooking is demonstrated by all the wonderful offerings. The margarita pizza is a hidden gem with its crispy thin crust and delicious homemade sauce is truly addictive. The salmon toast is probably the best I have ever had with its homemade tzatziki sauce. The atmosphere of the cafe is so friendly and welcoming.  I came back and had the salmon toast and it was so delicious. I also tried the various soups of the day, a Thai coconut vegetarian soup with kale and garbanzos and a potato kale soup were exquisite. It is worth coming here for the soup alone. The frittatas are the best I have ever had; I could eat them everyday.  The newest additions to the menu are amazing. One of favorites is the croissant bread pudding. It is glorious."
Tarragon Cafe,200 Fillmore St,"SOLID 5 out of 5! My favorite dish was pork belly banh mi. Trust me, this is THE best banh mi that I have ever had in my life. The bread was crispy on the outside and soft on the inside, and the pork was cooked beautifully (sous vide)! Cilantro did a really great job at bringing out the flavor of pork meat as well. Clam chouder soup is really creamy and flavorful, which was just perfect to warm up my body in the morning on a rainy day. The granola farfait was also great. The fruits were sweet and fresh! My fiancé and I finished all the dishes because they were so good and no, we don’t regret spending $70+ (incl. 3 cups of coffee and tips) at this place. I would definitely come to this place again if I ever get to have a chance to visit SF in the future!"
Tarragon Cafe,200 Fillmore St,"Awesome place for breakfast, so good that I came back almost every morning. The breakfast Sando is really great, filling and with plenty of savors. The team is nice, and I felt welcomed every day."
Tarragon Cafe,200 Fillmore St,"So good I went there twice in two days! I’d been long overdue to check out Tarragon since I only live a block away—but I’m so glad I did. This is a lovely spot for breakfast and lunch, and they even play live music on some weekends. This is the type of food that you can tell is made with great care: the owner himself is in the kitchen putting your food together. My first visit I tried the chicken panini, which was delicious, and the next morning I went for the ham breakfast sandwich, which was even better. Ingredients are high quality, the bread is great, the vibes are cozy, local and welcoming—and it sits on a great corner for sitting outside in the sunlight. Next time I think I’ll try the carrot cake!"
Tarragon Cafe,200 Fillmore St,"The cafe sits under a gorgeous yellow house with green lining ; the sun finds its way to light up the spacious interior and sets it up for conviviality between friends and neighbors, strangers and passersby; comfortable chairs;  beautifully stenciled menu;  the vegetarian frittata has layers of texture and depth. Instead of being jam packed on a street with many other business , it is more an organic part of a  neighborhood."
Tarragon Cafe,200 Fillmore St,"Best staff ever  - in our few days visiting they helped guide us to some great spots and we were in a first name basis!  Food is delicious, go for eggs special or frittata or the danishes!  Feels like you’re getting breakfast in your own home (but you’re not making or cleaning).  Decorated great too!  Can’t say enough great things about this place."
Tarragon Cafe,200 Fillmore St,"Mario is an absolute master in the kitchen, and a very kind owner. We ate too quick to snap a picture but holy heck is the food here amazing. Will definitely make this my new neighborhood lunch spot."
Tarragon Cafe,200 Fillmore St,"Lovely staff and amazing food.  We had avocado toast, breakfast sando and croissant bread pudding….. I can’t rave enough about chef Mario’s food….. DELICIOUS!!!!  We stopped in every morning on our way to explore San Francisco.  I’m going to miss that breakfast sando.  Great location in lower Haight…hope to visit again one day.  Thank you for enriching our San Fran experience."
