0,1,2
The Coffee Movement,1030 Washington St,Sometimes it's not just about the coffee. I had a hot chocolate and it was delicious! Very grown up and sophisticated taste. The owner Brian was delightful which added to the charm! He cattered our office and was super fantastic! Talk to him about his custom coffee cart he made which was some neat engineering. 😀
The Coffee Movement,1030 Washington St,"Really high quality coffee that blows me away every time. A bit of a random area for a third wave coffee shop, but a huge hit for sure. It can be fun to stand outside and watch the trolleys go by with a drink! It has recently been spotlighted in some viral tiktoks so expect lines these days."
The Coffee Movement,1030 Washington St,"Coffee Movement has grown to become my favorite coffee shop in San Francisco. Coming here has become a weekly ritual during which I treat myself by slowing down to appreciate a nice cup of coffee. The seasonal drinks are always so delicious and carefully crafted, and the Oat Milk Mocha with half the choc ganache has been my go-to. The staff is kind and very chill. I love this place and highly recommend!"
The Coffee Movement,1030 Washington St,"We stopped by for a coffee in the afternoon. We ordered a macchiato, two ice coffees with different beans, and a cappucino. The interior is very spartan, but nice. The coffee menu is displayed by the counter. There are a few seats inside, and you can also stand and sit outside the cafe.  The staff was not very friendly and we were told to squeeze into a corner by the counter to order, so as to not block the entrance… the place was empty… In general, the person who took the orders was behaving as if he was running a boot camp, not a cafe. Very odd experience.  The coffees were all mediocre. The beans were extremely bitter, almost sour, to the point that not even adding oat milk or regular milk would help. We ordered four different coffees, and none of us finished their coffee - it was simply too sour.  We enjoy trying new cafes wherever we travel, in fact it’s a quest to find the perfect coffee. This was a strange experience, and with the many good cafes in SF, we certainly won‘t come back to this Coffee Movement.  Ambience: 3/5 Staff: 1/5 Coffee: 2/5 Price/quality: 2/5 (average price, poor quality)"
The Coffee Movement,1030 Washington St,Great small coffee shop that serves excellent crafted cappuccinos and lattes. The coffee had a wonderful taste with a hint of sweetness and earthiness at the end. The start to finish process showcases the Baristas amazing level of care and attention to detail.
The Coffee Movement,1030 Washington St,Artisanal coffee shop with dedication to their craft.  Very tasty espresso pour (Bolivia and Colombia) and my Costa Rica coffee was well crafted too.  I found them completely by accident
The Coffee Movement,1030 Washington St,"Just amazing, there is a reason there is a (small) queue out the front of this super clean espresso temple. Been in SF all week and been drinking brewed or pour over, this was special!! Great work team!!"
The Coffee Movement,1030 Washington St,"Something of a coffee mecca, was extremely impressed with the quality and taste of the brewed coffee and espresso I received.  Would highly recommend to any third wave coffee enthusiast and/or weird coffee person™.  Minimum seating (plan on consuming your beverages outside) and the staff seemed a bit stiff (for reference, my visits were in April/May 2022) - but they do what they do very well.  Don't be surprised by a line out the door."
The Coffee Movement,1030 Washington St,"I've heard from multiple sources that the Coffee Movement is the best coffee place in San Francisco  I'm inclined to agree  The coffee itself is great. So is the staff. They've always been kind, patient with my questions, and you can tell they are passionate about doing things right. The pasties are good (I think they get them from the same place Réveille gets theirs from). I've latched onto the (vegan) mixed berry muffin.  It can get crowded fast so I tend to go right when they open  You can see the Transamerica Pyramid and Bay Bridge from there. It's on a couple of cable car lines. So it's particularly San Francisco-y.  They have for here glasses and dishes  They have me excited to try their single origin coffees next times I go. Without any sort of upselling on their part, which I appreciate.  Go!"
The Coffee Movement,1030 Washington St,"Hands down the best espresso I got in the US so far. Good spot, right next to the cable car line Powell & Hyde. The place is nice and clean  and there are only spots outside available, but thats usually fine.  View down Washington Street all the way to Oakland bridge."
The Coffee Movement,1030 Washington St,"The perfect counter to the narratives about San Francisco.  A cheery, clean, friendly, location a couple blocks from the bustling tourist attractions this shop has incredible coffee prepared by folks who are able to make that ""new shop"" experience easy on you.  Walk up the bar, have your options explained, the questions answered, and watch your drinks made. Service is fast, and organized well.  I make a point of tasting espresso plain from any shop I try, more than just a pass/fail test it can tell you a lot about the idea behind what they're serving. That CM has multiple options for espresso demonstrates the commitment they have to coffee itself. I had an espresso tonic with their ""normal"" blend and the Dak by itself. The espresso on its own was delicious, if you're not an espresso fan that might sound weird, but I feel it compares well with other fine consumables that people claim are an aquired taste. This is the kind of place where the Italian movie character who decries American espresso would find their happiness. Balanced and without any off flavors, they are doing things right.  The espresso tonic is a personal favorite, and I love their version."
The Coffee Movement,1030 Washington St,"It seems like this is one of the nicest coffee shops in San Francisco. Great espresso, cappucino with dusted dark chocolate was sensational. I recommend you enjoying it there and they will make it in a real coffee cup. Enjoy the movement! It matters.."
The Coffee Movement,1030 Washington St,"Awesome place! Bryan and all the staff is great, best coffee and croissants! Really come check them out as the general ambient here is awesome, the coffee they serve is top notch and just the human quality is for sure one of the best in town!"
The Coffee Movement,1030 Washington St,"Cute little place for great coffee!  This is a small place and only two people are allowed in at a time. Hence, during weekend you will see a long line outside the store. Service is quick, so wait is not long. However, be prepared to wait for 10-15 mins in line during weekends.  The interior of the store is aesthetically pleasing with a minimalistic design. Staff are warm and friendly and the place is impeccable.  There are some spots to sit down on the sidewalk to enjoy your coffee. When it comes to coffee, I tried their cocoa cappuccino, it’s amazing. It has balanced flavor with subtle hints of cocoa and good level of creaminess.  Definitely a place to visit for coffee lovers!"
The Coffee Movement,1030 Washington St,the coffee movement is the cutest lil coffee shop! there isn't much room inside but there's an outdoor standing area in front of the store. i went a lil before noon and it wasn't too busy!  i got the orange cream latte which was a seasonal drink and i wasn't too impressed tbh :( i couldn't really taste the orange cream flavor. points for the cute and simple design of the shop tho! tbh it's a great place to grab n go so id probably visit their second location and try a diff drink!  what i got: - orange cream latte  ig: @whatsviveating
The Coffee Movement,1030 Washington St,"Cute little coffee shop that knows its crafts. Do expect a long line during weekend as they only allow two people in each time. Besides that, the coffee is amazing and I’d say worth the wait.  They also provided some outdoor seatings and water bowl for the 4 legged friends :)"
