0,1,2
The Mill,736 Divisadero St,"We had Avocado Toast and lemon ricotta toast. It is self-service. When we arrived at 9 AM, there was a long queue. The wait was fortunately not long. My toast was ok, a bit too hard for me and definitely not worth the price. The tables were not clean. Cheap knife that hardly cut through the hard crust of my toast. My latte was good."
The Mill,736 Divisadero St,"Took a pizza cooking class here today. It was a lot of fun. Great environment and people, and we learned a few things about cooking pizza along the way. Had some expresso and enjoyed the coffee shop before the class. The bread here is amazing. They mill their own fluor and bake their own bread daily. Will definitely be back."
The Mill,736 Divisadero St,"This is a really nice place to meet up with friends for breakfast or brunch. It has a nice vibe. They do various different “Toasts.” Which is fun.  Everything has a really healthy taste and vibe. You can also buy fresh bread.  I tried the Smoked Trout Toast. Their in-house crème fraîche is really yummy, and the toast presentation was good. The dish was good - I just felt like it could have been better.  I also had a hot chocolate, however, it tasted more like a hot cocoa."
The Mill,736 Divisadero St,"Wonderful service, delicious, freshly brewed coffee and garlic toast with an egg 🍳 simply placed in the middle, yum!! Add to that pleasant conversations with strangers who love their pets, your family, or friends and well you found yourself a perfect little breakfast joint. #enjoy and when you bite into that toast or drink that oh so yummy coffee don’t forget to stop and thank me 🤭☺️"
The Mill,736 Divisadero St,Great artisnal bakery with a delicious selection of toast & toppings for brunch. The loafs of bread are divine and feature a special bread of the week.
The Mill,736 Divisadero St,I really enjoyed my visit. The place smells like freshly made bread with many selections such as sourdough and rye bread. The service is also fairly fast depending on the time. When I went it was very busy due to a public holiday.
The Mill,736 Divisadero St,"great brunch spot with light meals and known for their toast. the lines, although long on weekends, go by pretty quickly but seating is hard to come by. would go again but not the top of my list.  they use neighbor bakehouse pastries and four barrel coffee!  smoked trout toast: layers of flavor in each ingredient, toast is a little too hard though. would recommend!"
The Mill,736 Divisadero St,A bit crowded for a Sunday morning! The line went out of the door. But their coffee was really good. I also liked the avocado toast.
The Mill,736 Divisadero St,I love coming to the mill. It is spacious and stylish and a great spot to watch people. The coffee is phenomenal. The bread is even better although quite pricey. ♥️this spot.
The Mill,736 Divisadero St,"We visited The Mill for brunch and had a positive experience. It wasn’t too busy, so we were able to find a table by the window after we placed our order. We ordered a coffee and latte with an avocado mash toast and a cinnamon sugar toast. Both of the toasts were delicious. The bread was thick and tasted great. The staff was friendly and the inside of the store was clean. I would love to visit again and try some of the other items."
The Mill,736 Divisadero St,I was here last in the Before Times. I felt like changing things up and checking it out again.  It's as fantastic as I remember it. I had the avocado mash toast and it was absolutely delicious. I love the atmosphere. There's a parklet outside and they have for here mugs and dishes.  I made it a point to go early because I know it gets really busy and it was already filling up
The Mill,736 Divisadero St,You cant go wrong with this place!Definitely recommend Avocado Mash served over a nice thick slice of toast drizzled with what looked like EVOO and a light sprinkle of salt. It was delicious. We gambled with willing to missing our flight in order to stop by here and have another the next day (we made it SFO on time). Their Cinnamon sugar toast was good too. I usually like my coffee with milk and sugar but glad I didn't add anything to my Latte. It was rich and smooth! This is a MUST VISIT place and its right around the corner from The Painted Ladies.
The Mill,736 Divisadero St,"A baker recommended this place to me - not for the ambiance, or coffee, or pastries (all of which are stellar). But for the quality of the bread which is absolutely top tier.  You can buy slices at the Mill, but the best way to experience it by far is to buy a loaf to take home (recommend the standard Country loaf or Seed Feast). You can garnish it with quality butter, jam, avocados, lox, almond butter, etc. You’ll get a ton of bang for your buck and the quality is unbelievable. Josey Baker is a legend among bread bakers and it makes sense why."
The Mill,736 Divisadero St,"Amazing bread, toasts are all to die for, awesome espresso drinks. Can be a bit of a wait and battle for a seat but makes for an overall enjoyable and social experience. I got a cortado with oat and it was perfection!"
The Mill,736 Divisadero St,"The Mill is a very cute local coffee shop. I really liked the atmosphere on envibe app and decided to check it out! It is quite small cafe near Alamo Square park, but it feels like all the locals go there. Would recommend to check it out on weekend morning!:)"
The Mill,736 Divisadero St,"Great vibe, really great breads from Josey the bread baker and lots of pastries from Neighbor Bakehouse.  The staff taking orders are always friendly.  We did bring our own coffee mugs, and the person taking our order was super nice about it and even gave an generous pour.  I’m recently gluten free and was pleasantly surprised to find out all the toast combos can be made on GF bread. I was a bit disappointed once I picked up my order to see that the GF bread options was quite a bit smaller than the standard bread options for all toasts. Wakes up to the pick up counter area and saw the contrast between my slice and several others.  It’s great to have a GF option and I appreciate it being available. That slice was super fresh but very dense, lots of nuts and seeds and while it was soft felt more like a seed thick cracker, than a slice of traditional the mill, soft, fluffy bread.  I’ll definitely be back and want to try the ricotta toast but will probably try a different GF options next time."
The Mill,736 Divisadero St,My daughter took me to The Mill a few days ago. We went back today. They carry Josey Baker Bread as well as an array of delicious pastries. I'm hooked on the Plum Pistachio Crumb Cake.  They make a nice oat milk cappuccino too. The ambience of the restaurant is warm and welcoming.
The Mill,736 Divisadero St,"This breakfast place has great coffee and pastries. I loved the pistachio croissant, totally worth a try! They would run out of the bakery items though so early morning is a good time to go. They don't have a lot of seating compared to the crowd so plan accordingly. The toasts are good too but I like the bakery better"
The Mill,736 Divisadero St,"Great spot for gourmet toast and coffee on Divisadero. Eat in with the cool kids at the communal table, grab a little bistro table, or enjoy outside (Painted Ladies in Alamo Square are just a couple blocks away). You can also pick up a loaf of bread for take away."
The Mill,736 Divisadero St,This is a great spot to grab a coffee / snack and meet up with a friend. They have fresh bread and other baked goods for purchase as well as pantry items like olive oil and wines from local sellers. I highly recommend The Mill!
The Mill,736 Divisadero St,Fantastic latte and the cinnamon sugar toast is so simple but truly delicious. Love the decor and atmosphere
The Mill,736 Divisadero St,I love the simplicity of this brunch spot! It’s literally just different toast flavours and combination. I got eggs on garlic toast and it was delicious.
The Mill,736 Divisadero St,"This was the best bread I've ever had. Had the avocado toast and the cinnamon sugar toast along with an americano, all so good. The vibe is cool, really great art hung up on the walls, and the prices are good."
The Mill,736 Divisadero St,I was recommended this cafe because of their bread and it lived up to expectations! We loved the avocado toast. The bread looks huge but it's actually the perfect size because you can taste the bread itself. We also picked up an everything croissant and a seasonal pistachio and blackberry croissant and both were buttery and delicious.
The Mill,736 Divisadero St,"We visited the Mill on a Tuesday and really liked the coffee, service and the ambience! It’s really spacious and seems ideal for coffeeshop working. They also had lots of great looking bread loaves and toasts we want to come back to try."
The Mill,736 Divisadero St,"I absolutely love The Mill. Yes, the lines are long. Yes, it is worth it. Both the coffee and the toasts are totally delicious. The wonderful tartness of the sourdough-based breads is a unique delight. The coffee and espresso are smooth yet complex. Round and bold cold brew. And the staff are professional and efficient but somehow retain a degree of warmth and welcoming hospitality. Also, they are adorable. Get the raised vanilla donut and, heck, the vegan chocolate while you're at it--take those to-go, because you'll want to order the cinnamon toast, avocado toast, and egg in a hole. I love this place so much that I usually book a hotel or airbnb within walking distance when I visit the Bay. I'm obsessed."
The Mill,736 Divisadero St,Best whole wheat sourdough you’ll ever have! Also took their pizza making class which I highly recommend. Can get a bit busy in the weekends which isn’t surprising for a great spot like this.
The Mill,736 Divisadero St,"I ordered the Avocado Toast and Smoked Trout. The avocado toast was yummy, a little oily. The bread was good. The smoked trout was really good.. I wish it was served on a larger piece of toast it was small. I had to wait about 15 mins to receive my order. Overall, both were good and moderately well priced. I'd recommend stopping here for breakfast or lunch."
The Mill,736 Divisadero St,"I ordered the Americano... Espresso Coffee is OK... Good not great.  But they serve almond milk as an alternative to regular milk.  Breads look good but somewhat overpriced.  I was listening to a customer ask an associate about the taste of rye. That customer had too much time on her hands. And let's just say, the associate was not very knowledgeable. This place is cool with local works of art.  Attracts a very hipster crowd that likes to sit, enjoy coffee and with their good companions."
The Mill,736 Divisadero St,"Love the toast here. It’s famous for its bread, which means the toast is delicious but comes at a premium $$$ hot chocolate & latte are both incredible too. Go early to beat the rush lines can be around the block in peak hours."
The Mill,736 Divisadero St,Gorgeous space with amazing toast. I got the almond butter toast and it was incredible. Communal tables inside and outside. Coffee was really good too.
The Mill,736 Divisadero St,"Bar none the best bread in the city, maybe the best bread in the world. It’s just so damn good, if you haven’t tried it before, what are you waiting for?  My favorite has to be the Wonder Bread, I think it’s got to be the square shape. When the Wonder Bread’s sold out, the Country is usually my second choice.  Any of the breads that you get in store are also great."
The Mill,736 Divisadero St,Truly the best piece of bread I’ve ever had. I ordered the ricotta toast and it was perfection. The crumb texture and taste of the bread was honestly life changing. I wish I lived closer so I could buy it more often.
The Mill,736 Divisadero St,Love coming here to grab a loaf of bread for the week. Their baked goods are pretty tasty also.  The line may look long but it goes by quickly by their fast service.
The Mill,736 Divisadero St,"Fav breakfast in SF. We were lucky to find a spot in the shared table. Coffee and treats were great, the staff very friendly. Ned a Mill close to me 🤍highly recommended"
The Mill,736 Divisadero St,"Great place for toast lovers. The bread is fantastic and the options for toast are far reaching. The place is open and a bit loud however you can easily have a conversation with the person across from you. There are small tables lining the walls with ponger tables in the middle. Also a small outdoor bench section in front. The coffee is good (four barrel). I certainly enjoyed the mocha. There were few power outlets so I do not think this would be an easy place to work on a computer. Overall, great spot for some food and coffee."
The Mill,736 Divisadero St,This place is dog-friendly. A nice place to post up with a laptop for an hour and seek funding for your startup.
The Mill,736 Divisadero St,Wow! We stopped in and grabbed some toasts and Parmesan black pepper bun and blackberry pistachio croissant. The bun and croissant were insanely delicious. The bread used for the toast was super yummy.
The Mill,736 Divisadero St,"Pretty interesting place for breakfast! Their coffees are awesome! The toast style breakfast are very delicious! Portions are pretty small! You can get two different toasts to try a variety! Their breads are awesome as well! Price can be high imo. Don’t get the cinnamon toast! It is a fat toast with tons of brown sugar and cinnamon! Not a great choice! Also, the place is packed so good luck finding a place to sit lol!"
The Mill,736 Divisadero St,"Omg how did I not discover this place sooner??? Especially since my nail salon is 3 blocks away. First of all can it get better than Four Barrel Coffee AND a bakery in one? I ordered the most delicious cappuccino and they don’t use Clover brand milk! I also had the most incredible Earl Grey Olive Oil cake. My favorite thing I ordered 2 days in a row was the Almond Butter Toast on their wheat toast that it came with. Thanks to the most incredible gal that rung me up, Michelle, she told me how incredible the toast is and how fresh and warm and toasty on the outside that I couldn’t resist. She also suggested drizzling honey and she was on point. She was a gem and brightened my day. The place is usually packed especially on weekends. They are constantly making fresh bread and you can see it over the counter. They also play their music from a record player! Love love this place!"
The Mill,736 Divisadero St,"I’ve been to The Mill dozens of times for coffee, toast or pastries. I think it is one of the best coffee shops in San Francisco. The ambiance combined with the tastiness of the treats makes every visit pleasurable. I especially love the cinnamon sugar toast. This is a great place to work from for several hours or to meet a friend. I could not recommend the Mill enough. My only complaint is that it can get crowders during the day, making it difficult to find a place to sit."
The Mill,736 Divisadero St,"Great ambience and their bread and pastries looked amazing! Willing to come back to try these. I only stopped by for some coffee, but it was the worst one i’ve ever had before because of how bitter it was. If you like bitter coffee then this place is for you, otherwise would just go elsewhere. Their latte art is nice though."
The Mill,736 Divisadero St,"When I checked menu, I can't believe they charged $4- $8 for a toast. But it was really great and special, coffee was good as well. Love the decorations here."
The Mill,736 Divisadero St,"I went following a Google Maps suggestion and while for the most part it was ""ok"", I expected more from a cafe with such a long line!, which means you need to wait a while to order, even if it is for takeout. The place is beautiful, nice industrial retro style. The amount of options is more limited than I expected, very specific menu and prices are far from cheap. I ordered a muffin and it was truly delicious, but it was so small that I felt like missing some bites, specially for the price. I also got a croissant which was good, mostly because you could tell it was quite fresh, yet it was not memorable. And I got a a hot chocolate and that was disappointing, average would almost be a an understatement, they need to up their game in that field. The 4 stars are for the muffin, the -1 for the chocolate."
The Mill,736 Divisadero St,A place where a single piece of toast is delicious!
The Mill,736 Divisadero St,Just lost my mind after having egg in a hole with sage garlic butter with a side of avocado . Ooohhhh myyyy goooood🤩🤩 …
The Mill,736 Divisadero St,"The best toast you will ever have. Beautiful breads, tasty locally sourced toppings and wonderful coffee. A beautiful space it's a great place to sit and enjoy the best toast you've ever had."
The Mill,736 Divisadero St,"My friend told me I couldn't go to San Fran without going the The Mill and having one of their toasts... So I did just that, and I regret nothing!! I'm not the type of person to usually order a toast when I eat out, but this one was so gooooood. Their bread is so fresh and good. The mix of almond butter + butter + sea salt is amazingly savoury, yet so simple to recreate at home!"
The Mill,736 Divisadero St,"Bread is exceptional, but I always just grab and go. Have never stayed to eat because the noise level inside is absolutely insane, to the point where it's probably an occupational hazard for the employees."
