0,1,2
Wooly Pig,2295 3rd St,Tried multiple items in the past and everything is superb!! From the banh mi to the wooly pig. Fresh ingredients and everything is flavorful. Love the unique side options of shrimp chips or sweet potato fries.  Definitely a must try if you’re in the area.
Wooly Pig,2295 3rd St,Got the grilled pork Bahn Mi. Super super good. The staff was really nice too. Let me get a sample of the Vietnamese coffee before deciding. Great little place
Wooly Pig,2295 3rd St,"Everything here is always good, but the Curry Udon with Pork and Szechuan Fish was absolutely incredible. Well crafted dishes, good portions, good presentation, good vibes. The ginger chicken Jook also is great comfort food if you have a cold."
Wooly Pig,2295 3rd St,"Had an awesome lunch with my dad, we shared the Chinese Chicken salad and the Ginger Chicken Jook. It was perfect for a rainy day. I want to come back and try more of the menu + their cafe/drink options!"
Wooly Pig,2295 3rd St,"After picking up pastries from Neighbor BakeHouse, I needed a fantastic cappuccino. The Wooly Pig delivered a really tasty drink. The Wooly Pig was clean, pretty, had great music with a chill vibe. I loved it!"
Wooly Pig,2295 3rd St,"Must grab lunch at this Dogpatch gem! The Bahn Mi is SO good (every variety from classic to vegetarian to fried chicken). The bagel sandwich and breakfast sandwich is delicious, too (served to 11 am). Don't skip the coffee! While not a dedicated coffee shop, they serve some of the best I've had in SF. Love the oat milk lattes and the mocha. All the staff at Wooly Pig are great and the owner is a stand-up guy. Support this business!"
Wooly Pig,2295 3rd St,"Such a good Bahn Mi! Made on proper crusty French bread with deli meats and pate. Sublime. Wish I lived closer so I could eat it all the time! Love that they also sell other delicious Asian treats such as salted egg lays chips, sake, kimchi, condiments and drinks."
Wooly Pig,2295 3rd St,"Curry udon with fried chicken was amazing and surprisingly good. The soup is very flavorful, has nice greens, chicken is tender and well-seasoned, udon is very authentic. Will definitely come back again.  Good bagels too!"
Wooly Pig,2295 3rd St,"Fantastic experience! Great food, quick and easy service and fresh ingredients. I appreciated the vegetarian options and good portion sizes as well."
Wooly Pig,2295 3rd St,"Great environment with friendly customer services but prices are bit at higher end for sandwiches. My friend ordered the tri tip steak vietnamese sandwich, bit dry & tough. I had pull pork sandwich which was flavorful with lots of meat except the hot cheetos inside the sandwich. Shrimp chips were crunchy & tasty. Overall, not my favorite sandwich place. With the price of $12 - 15 per sandwich, I expect more."
Wooly Pig,2295 3rd St,"I'm afraid to tell you how good this place is because I don't want there to be a huge line like everywhere else in this neighborhood, but this place is awesome. I had the Sumee's bagel (bacon, tomato, pickled jalapeno, sauteed onions, and hummus [or cream cheese]) and it was delicious. A little pricey, but what isn't in SF these days. Definitely coming back for their lunch fare, but if you are a late-riser, its good to know breakfast is served all day."
Wooly Pig,2295 3rd St,Wonderful fried chicken sandwich! Such a chic interior and great lunch spot in Dogpatch 🥪
Wooly Pig,2295 3rd St,"First off the staff is wonderful, good people good eats. The sandwiches are not your typical Bonmi sandwiches, or typical sandwiches in general. These are very special and made with love kind of sandwiches. Coffee is great, and to top it off that there shrimp chips are to die for!! In the picture bellow that is the Wooly pig is soft and tender Pulled pork, but my go to is the bonmi cold cut. Very clean place , I never walked in disappointed or left disappointed."
Wooly Pig,2295 3rd St,"This place is sooooo[5 os] good!  Staff is friendly.  Everything I’ve tried had been phenomenal.  Chicken sammie, sweet potatoe fries, & coconut udon 🔥  Even ordered delivery and it was hot and superb.  Not everyone can achieve that!  Do yourself a favor and go here!"
Wooly Pig,2295 3rd St,"Good Bahn Mi sandwich, salad, and sweet potato fries, the sweet chili sauce on the sandwich was a bit unnecessary, and their was no daikon but the tofu and fresh herbs were tasty."
Wooly Pig,2295 3rd St,2-14-21: Ordered two bahn mi sandwiches to go. One was the tofu and the other was the grilled pork.  Both were delicious. Would definitely come back again for more goodies.
Wooly Pig,2295 3rd St,Super solid little corner shop in Dogpatch!  Good: - They have a lot of outdoor seating that's covered and super cute to sit at - Loved their asian Cubano - super tasty and good portion size - I ended up taking one half of it home - Loved the chai latte - about as sweet as a Starbucks drink so not sure how healthy it is for you haha  Bad: - More casual spot and some of the tables can be a bit dirty/not cleaned between patrons - Slower service -they were quite busy on a Sunday afternoon  Overall really enjoyed this cute spot near my place in Dogpatch and would come back to try some of the other things on their menu.
Wooly Pig,2295 3rd St,"I came by to grab lunch with a friend. We got a pork bahn mi and curry udon noodle bowl. The pork bahn mi was good and filling, though the pickled carrots could have been more tarte. The udon noodle bowl needed more flavor and wasn’t anything to rave about."
