name,rating,address,description,openclose
Capital One Café,4.3(191) · $,Coffee shop · 101 Post St,Modern coffeehouse with free WiFi,Open ⋅ Closes 6 PM
Linea Caffe,4.5(334) · $$,Coffee shop · 3417 18th St,Snug cafe offering organic coffees,Closed ⋅ Opens 7 AM Fri
Cafe Francisco,4.4(440) · $,Coffee shop · 2161 Powell St,Mediterranean & American eats plus art,Closes soon ⋅ 3 PM ⋅ Opens 9 AM Fri
Caffe Bianco,4.6(164) · $,Cafe · 39 Sutter St,Classic coffee shop with sandwiches,Closes soon ⋅ 3 PM ⋅ Opens 8:30 AM Fri
Saint Frank Coffee,"4.5(1,056) · $$",Coffee shop · 2340 Polk St,Bright & spacious local coffeehouse,Open ⋅ Closes 6 PM
BeanStalk Cafe,4.4(584) · $,Coffee shop · 724 Bush St,Intimate spot for coffee & global bites,Closes soon ⋅ 2:30 PM ⋅ Opens 8 AM Fri
Cafe Me,4.6(134) · $,Coffee shop · 500 Washington St #102,Daytime stop for coffee & sandwiches,Closed ⋅ Opens 5:30 AM Fri
Another Cafe,4.4(454) · $,Cafe · 1191 Pine St,Airy spot for coffee & panini sandwiches,Open ⋅ Closes 8 PM
Cafe de Casa,4.7(900) · $,Cafe · 2701 Leavenworth St,"Brazilian coffee, pastry & lunch shop",Closed ⋅ Opens 8 AM Fri
Caffe Trieste,"4.5(1,318) · $",Coffee shop · 601 Vallejo St.,Historic spot for coffee & live music,Open ⋅ Closes 10 PM
Red Bay Coffee Ferry Building,4.0(172),"Coffee shop · 1, Ferry Building, Shop 43",Open ⋅ Closes 6 PM,
Cafe 5,3.9(46),Cafe · 151 3rd St,Closed ⋅ Opens 11 AM Fri,
Caffe Central,4.3(634) · $$,Breakfast · 133 O'Farrell St,Gourmet roasts in a cool coffee shop,Open ⋅ Closes 6 PM
Hollywood Cafe,"4.5(2,139) · $$",Cafe · 530 North Point St,Cinema-themed cafe,Closed ⋅ Opens 8 AM Fri
Caffe Greco,"4.5(1,185) · $$",Cafe · 423 Columbus Ave,Espresso drinks & Italian sweets,Open ⋅ Closes 10 PM
Jane on Larkin,4.4(632) · $$,Coffee shop · 925 Larkin St,"Hip cafe with sandwiches, coffee & more",Open ⋅ Closes 4 PM
Beacon Coffee & Pantry,4.3(402) · $$,Coffee shop · 805 Columbus Ave,Artisanal coffee shop & specialty market,Closed ⋅ Opens 7:30 AM Fri
Mazarine Coffee,"4.5(1,511) · $$",Cafe · 720 Market St,Stylish cafe for espresso & light bites,Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri
Home Coffee Roasters,4.7(338) · $,Coffee shop · 455 Grant Ave,Open ⋅ Closes 4 PM,
Lafayette Coffee Shop,4.2(206) · $,Coffee shop · 611 Larkin St,Open ⋅ Closes 9 PM,
Scullery,4.7(345) · $,Coffee shop · 687 Geary St,"Tiny, artsy cafe for coffee & pastries",Closed ⋅ Opens 7 AM Fri
Blue Bottle Coffee,4.5(692) · $$,Coffee shop · 2 S Park St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
Fresh Brew Coffee,4.8(494) · $,Cafe · 882 Bush St,"Cozy, American-Vietnamese sandwich spot",Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri
Darren's Café,4.5(687) · $$,Cafe · 2731 Taylor St,Asian/American breakfast & lunch eats,Closed ⋅ Opens 8 AM Fri
Bluestone Lane Union Square Coffee Shop,4.2(347) · $$,Coffee shop · 685 Market St,Airy spot for coffee & all-day eats,Closed ⋅ Opens 7 AM Fri
Pat's Cafe,"4.5(1,308) · $$",Cafe · 2330 Taylor St,American eatery with a laid-back brunch,Closed ⋅ Opens 7:30 AM Fri
The Coffee Movement,4.8(724) · $,Coffee shop · 1030 Washington St,"Snug, minimalist cafe for artisan brews",Open ⋅ Closes 4 PM
Maggie's Cafe,3.1(104),Cafe · 848 Grant Ave,Open ⋅ Closes 4 PM,
Cafe Franco,4.8(43),Cafe · 240 Funston Rd,Closes soon ⋅ 3 PM ⋅ Opens 8 AM Fri,
Jackson Place Café,4.6(73) · $,Coffee shop · 633 Battery St,Breakfast & lunch kiosk with a courtyard,Closes soon ⋅ 2:30 PM ⋅ Opens 8:30 AM Tue
Sutter Street Cafe,4.7(107),Cafe · 450 Sutter St #7,Small sandwich shop with coffee & sweets,Open ⋅ Closes 4 PM
Enter The Cafe,4.4(104) · $,Cafe · 1401 Powell St,Bright corner coffee shop with ice cream,Open ⋅ Closes 7 PM
Sammy's Cafe,4.6(128) · $,Cafe · 1416 Bush St,Homey breakfast & sandwich establishment,Closes soon ⋅ 3 PM ⋅ Opens 8:30 AM Fri
Cafe La Tazita,4.3(431),Cafe · 470 Post St,No-frills breakfast & lunch venue,Closes soon ⋅ 2:30 PM ⋅ Opens 7:30 AM Fri
Mymy,"4.5(1,610) · $$",Cafe · 1500 California St,Bright corner spot for big breakfasts,Closed ⋅ Opens 9 AM Fri
Mo'z Cafe,"4.2(1,162) · $$",Cafe · 36 5th St,Neighborhood cafe known for breakfast,Closed ⋅ Opens 6 AM Fri
Cavalli Cafe,4.5(263) · $,Cafe · 1441 Stockton St,Espresso bar with Italian treats & music,Open ⋅ Closes 11 PM
Cafe Bean,4.2(100) · $,Coffee shop · 800 Sutter St,Cozy spot for espresso & light fare,Open ⋅ Closes 5 PM
Viva Cafe,4.9(80),Cafe · 601 Montgomery St,Open ⋅ Closes 5 PM,
Sammie Cafe,5.0(4),Coffee shop · 881 Post St,Closed ⋅ Opens 8 AM Fri,
Sana’a cafe,4.9(87),Coffee shop · 199 New Montgomery St,Open ⋅ Closes 10 PM,
Cafe Du Soleil,4.7(164),Cafe · 345 3rd St,Quaint French cafe & brunch spot,Closes soon ⋅ 3 PM ⋅ Opens 9 AM Fri
Duboce Park Cafe,4.3(869) · $$,Cafe · 2 Sanchez St,Coffee shop with organic eats,Open ⋅ Closes 5 PM
Fueling Station Cafe,4.6(213) · $,Cafe · 2436 Polk St,"Cafe for banh mi, waffles & coffee",Open ⋅ Closes 5 PM
First Cup Café,4.4(51),Coffee shop · 2911 Van Ness Ave,Open ⋅ Closes 4 PM,
Goody Cafe,4.4(76),"Coffee shop · Landmark Building C, 2 Marina Blvd",Open ⋅ Closes 5 PM,
The Crêpe Café,4.2(545) · $$,Cafe · 333 Jefferson St UNIT 5A,Chill spot for sweet & savory crepes,Open ⋅ Closes 9 PM
Biscoff Coffee Corner,4.3(721) · $$,Coffee shop · 213 Pier 39,Snug cafe with pastries & smoothies,Open ⋅ Closes 10 PM
Le Cafe du Soleil,4.5(539) · $,Cafe · 400 Waller St,French bistro with sidewalk seating,Open ⋅ Closes 5 PM
Cafe 450,3.4(5),Cafe · 450 Golden Gate Ave,,
Hyatt Regency Cafe,5.0(4),"Coffee shop · Hyatt Regency San Francisco, 5 Embarcadero Ctr",,
Philz Coffee,"4.5(1,222) · $$",Coffee shop · 1 Front St #100,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
All Star Cafe,4.1(260) · $,Cafe · 1500 Market St,Compact cafe for Asian fare & donuts,Open 24 hours
Cafe Encore,4.2(141) · $$,Cafe · 488 Post St,Open ⋅ Closes 7 PM,
Cafe Réveille,4.1(156),Cafe · 1998 Polk St,Open ⋅ Closes 7:30 PM,
Cumaica: Artesanos del Cafe,4.4(278) · $,Coffee shop · 1398 Mission St,Caffeine cafe with creative drinks,Closed ⋅ Opens 5:30 AM Fri
Honey Honey Cafe & Crepery,"4.3(3,370) · $$",Cafe · 599 Post St,Sweet & savory crêpe specialist,Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri
Cafe Réveille,4.4(725) · $$,Cafe · 610 Long Bridge Street,Coffee & brunch in stylish surrounds,Open ⋅ Closes 5 PM
Mercury Cafe,4.3(309) · $$,Cafe · 201 Octavia St,Light-filled space with an organic menu,Closes soon ⋅ 3 PM ⋅ Opens 7:30 AM Fri
Atlas Cafe,4.4(761) · $,Cafe · 3049 20th St,Coffee shop with unique sandwiches,Open ⋅ Closes 6 PM
Stable Cafe,4.6(834) · $$,Cafe · 2128 Folsom St,Coffeehouse in former carriage house,Closes soon ⋅ 3 PM ⋅ Opens 8 AM Fri
