name,rating,address,description,openclose
Linea Caffe,4.5(334) · $$,Coffee shop · 3417 18th St,Snug cafe offering organic coffees,Closed ⋅ Opens 7 AM Fri
Bazaar Café,4.6(263) · $,Coffee shop · 5927 California St,"Drinks, live music & global chow",Closes soon ⋅ 2:30 PM ⋅ Reopens 6:30 PM
Saint Frank Coffee,"4.5(1,056) · $$",Coffee shop · 2340 Polk St,Bright & spacious local coffeehouse,Open ⋅ Closes 6 PM
Cafe Francisco,4.4(440) · $,Coffee shop · 2161 Powell St,Mediterranean & American eats plus art,Closes soon ⋅ 3 PM ⋅ Opens 9 AM Fri
San Francisco Coffee Company,4.7(12),Coffee roasters · 70 13th St,Open ⋅ Closes 5 PM,
Home Coffee Roasters,4.7(338) · $,Coffee shop · 455 Grant Ave,Open ⋅ Closes 4 PM,
The Coffee Movement,4.8(724) · $,Coffee shop · 1030 Washington St,"Snug, minimalist cafe for artisan brews",Open ⋅ Closes 4 PM
Sextant Coffee Roasters,4.5(595) · $$,Coffee shop · 1415 Folsom St,Coffeehouse with exposed brick & beams,Open ⋅ Closes 4 PM
Caffe Trieste,"4.5(1,318) · $",Coffee shop · 601 Vallejo St.,Historic spot for coffee & live music,Open ⋅ Closes 10 PM
Coffee Bar Montgomery,4.5(113) · $,Coffee shop · 101 Montgomery St,Locally roasted coffee & cafe fare,Closes soon ⋅ 2:30 PM ⋅ Opens 7 AM Fri
Red Bay Coffee Ferry Building,4.0(172),"Coffee shop · 1, Ferry Building, Shop 43",Open ⋅ Closes 6 PM,
Grand Coffee,4.7(157) · $,Coffee shop · 2663 Mission St,"Locally sourced coffee, tea & pastries",Open ⋅ Closes 5 PM
Lady Falcon Coffee Club,4.3(87),Coffee shop · Park,Vintage coffee truck for espresso drinks,Closes soon ⋅ 3 PM ⋅ Opens 9 AM Fri
Sightglass Coffee,"4.5(2,835) · $$",Coffee shop · 270 7th St,Espresso drinks & coffee roasted on-site,Open ⋅ Closes 5 PM
Bluestone Lane Union Square Coffee Shop,4.2(347) · $$,Coffee shop · 685 Market St,Airy spot for coffee & all-day eats,Closed ⋅ Opens 7 AM Fri
Pinhole Coffee,4.7(480) · $$,Coffee shop · 231 Cortland Ave,Storefront coffeehouse with pastry,Open ⋅ Closes 5:30 PM
SPRO - Mission Dolores/Castro,4.7(247),Cafe · 500 Church St,Minimalist cafe brewing craft coffee,Open ⋅ Closes 5 PM
Mazarine Coffee,"4.5(1,511) · $$",Cafe · 720 Market St,Stylish cafe for espresso & light bites,Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri
CoffeeShop,4.7(232) · $,Coffee shop · 3139 Mission St,Locally roasted beans & sweet treats,Open ⋅ Closes 4 PM
Goody Cafe,4.4(76),"Coffee shop · Landmark Building C, 2 Marina Blvd",Open ⋅ Closes 5 PM,
Rise & Grind Coffee and Tea,4.5(370) · $,Coffee shop · 785 8th Ave,"Modern cafe for coffee, tea & pastries",Open ⋅ Closes 5 PM
Blue Bottle Coffee,4.5(692) · $$,Coffee shop · 2 S Park St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
Rise & Grind Coffee and Tea,4.5(370) · $,Coffee shop · 785 8th Ave,"Modern cafe for coffee, tea & pastries",Open ⋅ Closes 5 PM
Peet's Coffee,3.8(24) · $,Coffee shop · 155 Montgomery St #161,Coffeehouse chain also known for its tea,Open ⋅ Closes 5 PM
Muddy Waters Coffee House,4.1(292) · $,Coffee shop · 521 Valencia St,No-frills coffee shop,Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri
Caffe Greco,"4.5(1,185) · $$",Cafe · 423 Columbus Ave,Espresso drinks & Italian sweets,Open ⋅ Closes 10 PM
Blue Bottle Coffee,4.1(120) · $$,Cafe · 909 Montgomery St # 105,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
Starbucks,3.9(365) · $$,"Coffee shop · Levi's Plaza, 1255 Battery St",Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
