901 Columbus,4.3(277) · $,Cafe · 901 Columbus Ave,Casual cafe with a daily happy hour,Open ⋅ Closes 8 PM
Abanico Coffee Roasters,4.8(140) · $,Coffee shop · 2121 Mission St,Easygoing cafe for Latin American drinks,Open ⋅ Closes 4 PM
Alamo Square Cafe,4.5(219) · $$,Cafe · 711 Fillmore St,Small coffeehouse with free WiFi,Open ⋅ Closes 4 PM
All Star Cafe,4.1(260) · $,Cafe · 1500 Market St,Compact cafe for Asian fare & donuts,Open 24 hours
All Star Cafe,4.3(115),Cafe · 1306 Mission St,Open ⋅ Closes 5:45 PM,
Andytown Coffee Roasters,4.6(971) · $,Coffee shop · 3655 Lawton St,Snug coffee shop for espresso & pastries,Open ⋅ Closes 5 PM
Andytown Coffee Roasters,4.6(189) · $$,"Coffee shop · Rooftop, 181 Fremont Street, Park Level, Fremont St",Open ⋅ Closes 4 PM,
Angel Cafe & Deli,4.6(231) · $,Cafe · 700 Geary St,Simple locale for breakfast & lunch fare,Closed ⋅ Opens 6 AM Fri
Another Cafe,4.4(454) · $,Coffee shop · 1191 Pine St,Airy spot for coffee & panini sandwiches,Open ⋅ Closes 8 PM
Another Cafe,4.4(454) · $,Cafe · 1191 Pine St,Airy spot for coffee & panini sandwiches,Open ⋅ Closes 8 PM
Atlas Cafe,4.4(761) · $,Coffee shop · 3049 20th St,Coffee shop with unique sandwiches,Open ⋅ Closes 6 PM
Atlas Cafe,4.4(761) · $,Cafe · 3049 20th St,Coffee shop with unique sandwiches,Open ⋅ Closes 6 PM
Bazaar Café,4.6(263) · $,Coffee shop · 5927 California St,"Drinks, live music & global chow",Closes soon ⋅ 2:30 PM ⋅ Reopens 6:30 PM
Beacon Coffee & Pantry,4.3(402) · $$,Coffee shop · 805 Columbus Ave,Artisanal coffee shop & specialty market,Closes soon ⋅ 2 PM ⋅ Opens 7:30 AM Fri
Bean Bag Cafe,4.5(815) · $,Restaurant · 601 Divisadero St,"Coffee & light eats, sidewalk seating",Open ⋅ Closes 9 PM
BeanStalk Cafe,4.4(584) · $,Coffee shop · 724 Bush St,Intimate spot for coffee & global bites,Closes soon ⋅ 2:30 PM ⋅ Opens 8 AM Fri
Bernie's,4.5(188) · $,Cafe · 3966 24th St,Coffee & pastries in Victorian building,Closes soon ⋅ 2 PM ⋅ Opens 5:30 AM Fri
Biscoff Coffee Corner,4.3(721) · $$,Coffee shop · 213 Pier 39,Snug cafe with pastries & smoothies,Open ⋅ Closes 10 PM
Blue Bottle Coffee,4.5(692) · $$,Coffee shop · 2 S Park St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
Blue Bottle Coffee,"4.4(1,169) · $$",Coffee shop · 115 Sansome St,Hip cafe for gourmet pastries & coffee,Open ⋅ Closes 5 PM
Blue Bottle Coffee,4.6(802) · $$,Coffee shop · 315 Linden St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 6:30 PM
Blue Bottle Coffee,4.3(692) · $$,"Coffee shop · 1 Ferry Building, 7",Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 6:30 PM
Blue Bottle Coffee,4.5(257) · $$,Coffee shop · 168 2nd St,Hip cafe chain for coffee & pastries,Open ⋅ Closes 5 PM
Blue Bottle Coffee,4.3(193) · $$,Coffee shop · 705 Market St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
Blue Bottle Coffee,4.5(86) · $$,Coffee shop · 1385 4th St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
