keyword,weight
sandwich,14.3283
happy hour,8.3839
beer,7.8932
great,5.0068
coffee,4.651
cafe,4.564
beer happy,4.2217
good food,4.1511
good sandwich,3.8773
good,3.8204000000000002
happy,3.6226
place,3.4225000000000003
great place,3.3959
free wifi,3.3319
great food,2.9924
good coffee,2.8799
food great,2.5454
breakfast,2.4384
tuna sandwich,2.3135
great coffee,2.276
tasty,2.0701
cheap,2.066
cafe sandwich,2.0132
north beach,2.0065
decent,1.847
sandwich good,1.838
hour beer,1.8065
cozy,1.787
food,1.7609
delicious coffee,1.6816
cheap beer,1.6774
nice cafe,1.6707999999999998
tuna,1.6547
best cafe,1.6307
cafe good,1.6099999999999999
beer good,1.6052
loved,1.5471
quick,1.5453999999999999
service,1.5203000000000002
favorite cafe,1.5057
great cafe,1.4449
great beer,1.4149
great sandwich,1.4140000000000001
nice,1.4014
draft beer,1.3241
sandwich great,1.3178
sandwich salad,1.3122
great happy,1.3073000000000001
coffee sandwich,1.289
coffee taste,1.2664
good beer,1.2428
good price,1.1956
best,1.1935
juice,1.1666
spot breakfast,1.1598000000000002
breakfast lunch,1.1482
little cafe,1.1103
favorite,1.0936
hour,1.0907
beach,1.0607
great tea,1.0
delicious,1.0
brilliant,1.0
went experience,1.0
good biscotti,1.0
good service,1.0
delicio,1.0
decent cheap,1.0
tasty sandwich,1.0
disappoint sandwich,1.0
loved panini,1.0
friendly service,1.0
alright,1.0
visit sf,0.9799
typical cozy,0.9796
beer tap,0.9741
big wave,0.9696
cozy loved,0.9585
friendly,0.9579
perfect cozy,0.9553
great local,0.9532
helpful people,0.9494
experience,0.9481
decent sandwich,0.9448
quick drink,0.9427
food good,0.9351
cozy place,0.9337
wine,0.9281
awesome counter,0.916
nice helpful,0.9141
sf,0.9136
unfriendly staff,0.9066
orange juice,0.906
tasty coffee,0.8976
public restroom,0.8969
nap night,0.8966
beer selection,0.8916
hygiene unfriendly,0.8852
simple quick,0.885
quick many,0.8827
best tiramisu,0.8824
bad hygiene,0.8776
fun sport,0.8746
helpful,0.8746
tea,0.8731
buy coffee,0.8719
recommended tasty,0.8678
tasty food,0.8628
food coffee,0.8603
relax drink,0.8572
xold nap,0.857
tastey beer,0.8547
tasty reasonable,0.8482
choice food,0.8445
good happy,0.8439
expensive,0.8435999999999999
italy love,0.8415
casual cafe,0.8349
reasonable price,0.8339
sandwich wish,0.8231
place beer,0.8218
beer specials,0.8209
wifi friendly,0.8203
nice people,0.818
best tuna,0.8132
great big,0.8091
perfect,0.8084
hung answer,0.8078
highly recommended,0.8077
went,0.8077
honest food,0.8051
place relax,0.8006
nap,0.7958
quaint friendly,0.7952
best bltm,0.7947
ask accepted,0.7932
typical,0.792
called back,0.7916
