keyword,weight
coffee,35.0288
great,11.4903
good coffee,11.3438
great coffee,9.5066
sandwich,8.2694
cafe,8.0183
friendly staff,7.2735
place,6.4328
great place,5.6685
coffee shop,5.3092
good,4.4448
coffee food,4.0512
food,4.0283999999999995
good food,3.9772999999999996
nice coffee,3.8541
coffee good,3.7676
coffee great,3.5654
good wifi,3.4049
great sandwich,3.392
best coffee,3.3288
breakfast,3.1487
delicious,3.1183
good sandwich,3.1026
nice,2.9175
coffee friendly,2.8851
wifi,2.7794
love,2.7699
food friendly,2.7169
service good,2.4543
excellent,2.4176
coffee tea,2.4038
great cafe,2.395
great food,2.3716
friendly,2.3023
starbucks,2.2897
tea,2.2560000000000002
place coffee,2.2098
coffee delicious,2.2029
tasty coffee,2.1738999999999997
friendly service,2.1332
delicious coffee,2.0778
bicycle coffee,2.0132
good place,1.9583
tasty,1.9438
breakfast sandwich,1.8401999999999998
sandwich friendly,1.7157
breakfast croissant,1.6687
decent coffee,1.6562999999999999
cafe good,1.6554
grab coffee,1.6263
best,1.5541
croissant good,1.5503
delicious sandwich,1.5193
coffee decent,1.5158999999999998
chocolate,1.4963
amazing coffee,1.495
cool place,1.482
fav,1.4662000000000002
sandwich good,1.4584000000000001
allowed,1.4524
study,1.4413
coffee neighborhood,1.4379
great wifi,1.4276
lovely staff,1.4273
place great,1.4081000000000001
coffee breakfast,1.4078
bad,1.4072
cool cafe,1.4066999999999998
little coffee,1.4021
hot chocolate,1.3836
iced tea,1.3801
staff delicious,1.3698000000000001
veggie sandwich,1.3625
egg cheese,1.3567
coffee pastry,1.3536000000000001
garlic chicken,1.3527
spot,1.3365
food coffee,1.3348
working,1.3325
cool vibe,1.2854
awesome coffee,1.2812999999999999
better starbucks,1.2730000000000001
one coffee,1.2674
croissant sandwich,1.26
peanut butter,1.2589
love place,1.2569000000000001
food delicious,1.2379
solid coffee,1.2253
neighborhood cafe,1.2215
food nice,1.2102
music great,1.2102
cafe working,1.2079
pastry,1.1915
local coffee,1.1783000000000001
staff good,1.1711
pastry bagel,1.166
comfortable,1.1627
tuna melt,1.1404999999999998
pretty good,1.127
favorite place,1.1176
great service,1.1076000000000001
breakfast lunch,1.104
selection pastry,1.1037
coffee sandwich,1.0934
cafe simple,1.08
croissant coffee,1.0758999999999999
buttery,1.0692
iced coffee,1.0485
another cafe,1.0267
english muffin,1.0229
coffee work,1.0168
sympathic coffeehouse,1.0
hip,1.0
best food,1.0
good coffe,1.0
excellent staff,1.0
great working,1.0
dogs allowed,1.0
love joint,1.0
bad great,1.0
perfect breakfast,1.0
absolutely delicious,1.0
cubano excellent,1.0
great spot,1.0
awesome mocha,1.0
charming quiet,0.9871
great drink,0.9818
muffin croissant,0.9757
beer,0.9742
bacon egg,0.9705
place thanks,0.9639
good contraband,0.9594
funny cafe,0.952
cool,0.9466
great study,0.9442
ppl nice,0.938
thanks,0.9338
coffeehouse,0.9244
contraband fine,0.921
one hurry,0.917
another star,0.9167
fav miss,0.9151
sit outside,0.9128
quiet place,0.9062
incredible coffee,0.9042
star rating,0.9032
place work,0.8995
hurry,0.8962
use restroom,0.8921
sandwich ever,0.8872
fantastic coffee,0.8871
iced chai,0.8855
cuban sandwich,0.8838
coffee nice,0.8824
best employee,0.8821
bagel delicious,0.8807
easy coffee,0.8796
coffee cool,0.8748
coffee beer,0.8717
cubano,0.8696
bagel,0.8667
nice place,0.8646
quiet,0.8584
place nice,0.8561
best cafe,0.853
everything tasty,0.8512
great venue,0.8484
quiet breakfast,0.8463
restroom,0.8432
coffee snack,0.843
venue lovely,0.8418
tasty latte,0.8417
wifi friendly,0.8402
neighborhood,0.8396
sandwich surprisingly,0.8377
delicious food,0.8368
star,0.8341
coffee fantastic,0.8323
tuna,0.8277
blueberry muffin,0.8249
latte comfortable,0.8245
coffee place,0.8234
work,0.8231
outside nice,0.8181
nice ambiance,0.8174
food funny,0.8169
solid neighborhood,0.8164
coffee lot,0.8112
place study,0.8045
made love,0.802
rude sandwiches,0.7999
dogs,0.7992
fav place,0.7985
best tuna,0.7969
black breakfast,0.7964
working sf,0.7956
caffeinated nice,0.7917
study spot,0.7904
quiet comfortable,0.7902
coffee bagel,0.7901
best mocha,0.7898
coffe,0.785
used fav,0.7837
great breakfast,0.7823
beer panini,0.782
friendly baristas,0.7819
delicious muffin,0.7798
work internet,0.7786
coffee city,0.7782
specialty coffee,0.7774
seat relax,0.7767
tasty sandwich,0.7747
people tasty,0.7744
good music,0.7739
coffee fair,0.7733
baked good,0.7706
wish coffee,0.7703
coffee super,0.7687
friendly owner,0.7678
nice waiter,0.7666
drink,0.7654
amazing sandwich,0.7618
staff friendly,0.7612
clean comfy,0.7607
coffee ample,0.7604
awesome,0.7597
yummy nutella,0.7585
coffee option,0.7581
ambiance,0.7568
scrumptious sandwich,0.7559
pastries,0.753
delicious bagel,0.7523
miss,0.751
ambiance well,0.7509
pastry food,0.7505
coffee caffeinated,0.7503
cafe perfect,0.75
sit,0.7479
great customer,0.7469
joint,0.7447
great friendly,0.7444
tea good,0.7415
free wifi,0.7414000000000001
sandwich delicious,0.7379
tasty made,0.7368
bagel sandwich,0.7362
crowded bagel,0.7335
nice garlic,0.7317
charming,0.731
coffee everytime,0.7304
allowed use,0.7303
absolutely,0.725
cafe cramped,0.725
loved artwork,0.7249
clean efficient,0.7212
late thursday,0.72
recharging iphone,0.7196
great starbucks,0.7185
sure sit,0.7185
food love,0.7151
better coffee,0.7147
coffee alright,0.7143
outside,0.7122
grat coffee,0.7118
friendly people,0.7117
decent wifi,0.7116
city great,0.7105
pastries delicious,0.7074
favorite cafe,0.7056
mocha,0.7041
vegan sandwich,0.7015
cozy cafe,0.7012
pastry delight,0.6999
work coffee,0.6996
lovely,0.6989
mocha best,0.6988
breakfast hope,0.6984
cold brew,0.6978
bad tipping,0.6935
slow service,0.6928
sunny relaxed,0.6922
wifi upstairs,0.692
good bagel,0.691
breakfast egg,0.6906
floor nice,0.6896
careful coffee,0.6895
amazing cuban,0.6884
recommend bagel,0.6866
best caf,0.6863
atmosphere clean,0.6862
internet,0.6853
sandwiches good,0.6818
regularly consistently,0.6799
contraband,0.6798
lot seat,0.6793
lunch scrumptious,0.6793
fine,0.6787
service coffee,0.6773
quality coffee,0.6768
space great,0.6767
serving bicycle,0.6766
chocolate croissant,0.6763
consistently good,0.6758
wifi food,0.6739
cat made,0.6738
coffee one,0.6729
quick baked,0.6727
chicken sandwich,0.6705
vibe pretty,0.6697
relax,0.6697
good latte,0.6679
space cool,0.6674
done coffee,0.6663
food cafe,0.6653
large cafe,0.6651
done tea,0.6643
quality food,0.662
sandwich wine,0.6619
place one,0.6606
best breakfast,0.6573
cafe great,0.6573
pastry coffee,0.6562
roasted coffee,0.6561
breakfast decent,0.6558
friendly price,0.6558
thursday evening,0.6557
beautiful frothy,0.6551
ample sitting,0.6548
gooooooood coffee,0.6547
bagel friendly,0.6545
hot sandwich,0.6541
one,0.6532
bagel peanut,0.6523
tasteless coffee,0.652
coffee san,0.6509
food excellent,0.6487
thick buttery,0.6487
cool hangout,0.6478
food iced,0.6471
friendly barista,0.6468
always beautiful,0.6467
sized cafe,0.6451
shop nice,0.6445
cafe people,0.6443
strong coffee,0.6432
food drink,0.6429
best butter,0.6426
bad service,0.6423
seat,0.6419
panini good,0.6417
nutella croissant,0.6414
cheese bacon,0.6402
coffee simple,0.6386
internet sandwich,0.6358
caffeinated,0.6338
butter croissant,0.6338
egg bagel,0.6336
coffee refill,0.6333
pricy lunch,0.632
rating,0.6314
buttery staff,0.6304
food atmosphere,0.6304
considering coffee,0.6302
relatively inexpensive,0.6299
like cat,0.6293
cat,0.6293
get coffee,0.6287
coffee muffin,0.6285
service friendly,0.6281
chocolate love,0.6281
baked,0.6275
pleasant couple,0.6275
eye great,0.6275
coffee price,0.6273
bagel cool,0.6273
coffee reasonable,0.6271
great bakery,0.6266
refrigerator,0.6263
work appreciated,0.626
cafe favorite,0.6256
vibe coffee,0.6254
afternoon snack,0.6253
staff,0.6223
internet inconsistent,0.6221
cafe drink,0.6216
take coffee,0.6214
juice tea,0.6182
qb mcdonalds,0.6168
chicken salad,0.6166
latte delicious,0.6146
san francisco,0.6146
lovely layout,0.6142
breakfast deliciously,0.6141
another coffee,0.6138
great chai,0.6116
coffee scone,0.6109
yummy caf,0.6106
clean modern,0.6103
friendly clean,0.6096
sympathic,0.6094
cranberry chicken,0.6093
cappuccino chocolate,0.6091
food beverage,0.6079
spacious cafe,0.6078
staff great,0.6076
vibe wish,0.6074
blueberry,0.6072
comfy space,0.607
tasty food,0.6066
fast wifi,0.6065
brew tasted,0.6062
afternoon tuna,0.606
coffee tasty,0.6059
frequently coffee,0.6058
nice baristas,0.6055
solid,0.6054
walk home,0.6051
wifi strong,0.6033
dear employee,0.6031
efficient,0.6031
menu lunch,0.6031
sunday cafe,0.6028
space sunny,0.602
relaxed vibe,0.601
passionate business,0.6009
great little,0.6002
starbucks everything,0.5997
latte nice,0.5995
decent,0.5987
tourist get,0.5987
coffee get,0.5979
another,0.5978
waiting sandwich,0.5973
modern coffee,0.5972
blueberry danish,0.5951
hipstery coffee,0.5936
like blueberry,0.5935
nice smooth,0.5933
layout good,0.5932
intront cafe,0.5928
sandwich also,0.5916
awesome place,0.5916
usually crowded,0.5909
go regularly,0.5908
sandwich generous,0.5903
cake perfect,0.5902
peach iced,0.5898
cheddar blueberry,0.5895
butter,0.588
coffee surprising,0.5876
shop planet,0.5873
nice staff,0.5872
chewy buttery,0.5871
cozy clean,0.5871
sf,0.5869
snack,0.5866
caf toogoodtogo,0.5864
good atmosphere,0.5861
baristas usually,0.5851
flaky bakery,0.5844
let tourist,0.584
thursday,0.5835
place quiet,0.5833
sandwiches,0.5828
inexpensive,0.5824
shop good,0.5817
land loved,0.5814
sandwich let,0.5809
lunch afternoon,0.5806
inside cafe,0.5803
sandwich baristas,0.5803
regularly,0.5791
bagel jelly,0.5773
barista charming,0.5772
work good,0.5758
use,0.5751
delicious mocha,0.5746
delicious caffeinated,0.5744
suck asian,0.5743
great specialty,0.574
cocoa tea,0.5739
atmosphere coffee,0.5734
homey vegan,0.5725
work done,0.5719
one cafe,0.5717
tasty breakfast,0.5712
conner coffee,0.5708
cap delicious,0.569
sandwich usually,0.569
outlets wifi,0.5689
sandwich iced,0.5679
melt sandwich,0.5676
