keyword,weight
food,49.355399999999996
coffee,45.948
good,31.3136
breakfast,28.7557
great,28.6726
cafe,17.8353
friendly,16.1212
nice,15.5516
beer,15.3862
delicious,14.8014
tacos,9.9358
place,9.2232
wifi,7.7767
love,7.6530000000000005
tasty,7.2209
service,6.8687000000000005
menu,6.7775
excellent,6.4096
burger,6.1687
happy,5.9486
awesome,5.8036
brunch,5.7028
cheap,5.634399999999999
staff,5.5468
atmosphere,5.5036000000000005
best,4.97
lunch,4.5515
burgers,4.4861
burrito,4.4769
crepes,4.3259
fries,4.2691
sandwich,4.0941
amazing,3.9299
sandwiches,3.9055999999999997
cozy,3.7539
tea,3.7207
vegetarian,3.6691
salads,3.6463
neighborhood,3.5942000000000003
beers,3.2858
pancakes,3.2472
drinks,3.0606
relaxed,3.0511
smoothies,2.8827
drink,2.8018
hour,2.7998000000000003
decent,2.5733
shop,2.5225999999999997
spot,2.5144
loved,2.4912
comfortable,2.3669000000000002
seating,2.2951
burritos,2.2762000000000002
pasta,2.241
crowded,2.1792
recommend,2.0915
eat,2.0769
weekends,2.0357000000000003
favorite,1.9925
lemonade,1.9209
quality,1.8727
sf,1.8578
meal,1.817
warm,1.8027
laptop,1.7945
bean,1.7837
bad,1.7725
cheese,1.719
vibe,1.7161
cool,1.6943000000000001
francisco,1.6809
kind,1.6808
little,1.679
salmon,1.6365
local,1.6138
helpful,1.505
busy,1.474
music,1.4521000000000002
chocolate,1.4495
relaxing,1.4293
pleasant,1.4127
affordable,1.3796
hangout,1.3447
price,1.3415
casual,1.3363
friends,1.334
space,1.3232
fast,1.319
chilaquiles,1.3186
classic,1.3019
highly,1.3017
work,1.264
morning,1.252
reliable,1.2284
iced,1.2239
wine,1.2219
cheapest,1.2098
lovely,1.1811
outdoor,1.179
try,1.1768
rude,1.1644
breakfasts,1.1596
free,1.1561
experience,1.1547
absolutely,1.1521
chicken,1.146
banana,1.1452
upbeat,1.1285
honest,1.0904
taste,1.0886
super,1.0746
liked,1.0718
san,1.0617
bag,1.0436999999999999
perfect,1.0278
hot,1.0103
welcoming,1.0081
yummy,1.007
reasonable,1.0045000000000002
café,1.0009000000000001
divisadero,1.0
recommendable,1.0
rest,0.9971000000000001
long,0.9885
milk,0.9873000000000001
cappuccino,0.9848
healthy,0.9773000000000001
tasteful,0.976
enjoying,0.9671000000000001
really,0.9664999999999999
flavorful,0.9489
tables,0.9202
disappointed,0.9164
breeze,0.9059
joint,0.8877
late,0.8812
laptops,0.8751
crepe,0.8735999999999999
locals,0.8684000000000001
evenings,0.8581000000000001
eggs,0.8283
special,0.8279000000000001
fantastic,0.8187
quick,0.8121
city,0.8068
dishes,0.8056
salad,0.8029
buzzing,0.7983
bagels,0.7832
josh,0.7825
better,0.782
vibes,0.7782
courteous,0.7768999999999999
stuff,0.7763
hard,0.7745
street,0.7735
forever,0.7722
convenient,0.7701
relax,0.7667999999999999
meals,0.7618
lattes,0.7488999999999999
pretty,0.7458
latte,0.7424000000000001
server,0.7376
items,0.7324999999999999
pricey,0.7243
bacon,0.7231000000000001
veryyyu,0.7198
thanks,0.7147
smoothie,0.7141
savory,0.7136
tastes,0.7088
park,0.7019
waitresses,0.6946
cutest,0.6874
comfort,0.6832
people,0.6758
spoon,0.6702
potatoes,0.6687000000000001
sweet,0.6684
overall,0.6576
magic,0.6574
foods,0.6547000000000001
soon,0.6486
breve,0.648
pastries,0.6467
satisfied,0.6449
slow,0.6352
chill,0.6352
treats,0.6348
restaurants,0.6291
dinner,0.6287
internet,0.6269
dependable,0.6226
evertyhing,0.6219
enjoy,0.6211
choice,0.6139
greasy,0.6101
hospitable,0.6088
calamari,0.599
toast,0.5974
chilled,0.5966
owner,0.5932
dairy,0.5912
bite,0.5891
fair,0.5881
minutes,0.5875
depressing,0.5845
lavender,0.5834
falafel,0.5820000000000001
standard,0.582
eclectic,0.5784
tied,0.5776
baristas,0.5745
polite,0.5721
alamo,0.5693
jaguar,0.5689
hungry,0.5657
beanbag,0.5652
priced,0.5642
bar,0.5636
favorites,0.5628
hood,0.5622
disgusting,0.5618000000000001
cheeseburgers,0.5617
eats,0.5611
thai,0.561
popular,0.56
toilet,0.5506
beautiful,0.5475
serving,0.5464
avocado,0.5404
pride,0.5336
benedict,0.5321
average,0.5312
vegetarians,0.5296
10pm,0.5293
steak,0.5264
tight,0.5263
lively,0.5261
tough,0.523
sunshine,0.5219
large,0.5218
hip,0.5201
bagel,0.5193
definitely,0.5178
croissants,0.5121
mediocre,0.5113
check,0.5102
fine,0.5102
uncomfortable,0.5092
possible,0.5078
afternoon,0.5074
windy,0.5042
towners,0.5033
bec,0.5009
blend,0.4998
surprising,0.4955
quiet,0.4953
lacking,0.4948
cash,0.4927
airy,0.4927
outside,0.4879
impressed,0.4877
pub,0.4869
tram,0.486
spectacular,0.48529999999999995
burned,0.4829
refills,0.4802
diner,0.48
cup,0.4782
prices,0.4757
excelente,0.4728
plate,0.4716
contest,0.4705
care,0.4703
working,0.4627
cooked,0.46240000000000003
company,0.4603
huge,0.4596
divis,0.453
everybody,0.4523
nopa,0.4506
ask,0.4501
overpriced,0.4496
snack,0.4495
chocolatey,0.4493
rancheros,0.4491
tuna,0.4477
lot,0.4476
coconut,0.4453
colorful,0.4431
house,0.4402
ambience,0.4395
espresso,0.439
options,0.4376
welcome,0.4335
meat,0.43310000000000004
book,0.4315
waitress,0.4292
hamburger,0.4291
lovevthe,0.4254
ordered,0.4186
caring,0.4164
fun,0.4161
angel,0.414
cold,0.4103
option,0.41
apple,0.4093
ambiance,0.4091
bright,0.4072
quite,0.4041
taco,0.4004
homely,0.3991
inviting,0.3975
week,0.3973
caramel,0.3967
hosts,0.391
peach,0.3888
seat,0.3866
regulars,0.3858
jamaican,0.3845
counter,0.383
