keyword,weight
coffee,14.6184
coffee shop,7.8309999999999995
good coffee,4.6003
great coffee,4.3118
best coffee,4.2374
love,2.9912
starbucks,2.7742
local coffee,2.7302999999999997
great latte,2.4914
awesome,2.3555
neighborhood coffee,2.1415
friendly,1.9736
nice,1.9687000000000001
coffee great,1.9209999999999998
shop friendly,1.8505
love bernie,1.8122
cafe,1.7393999999999998
delicious coffee,1.5546000000000002
good,1.5413999999999999
great,1.5341
nice coffee,1.5268
cafe good,1.5007
hot chocolate,1.4813
cup coffee,1.4793
espresso,1.4612
iced mocha,1.4291999999999998
cozy good,1.3927
wifi,1.389
better starbucks,1.3883999999999999
cozy,1.3633
coffee delicious,1.3592
nice place,1.3592
favorite coffee,1.3195999999999999
latte,1.3151000000000002
awful espresso,1.2275
little cafe,1.2203
chocolate,1.1655
bernie cafe,1.1455
best,1.1402999999999999
coffee espresso,1.1108
place,1.0779999999999998
community coffee,1.0682
friendly baristas,1.0575
awesome service,1.0
awesome wifi,1.0
friendly coffee,0.9974000000000001
lovely neighborhood,0.9837
tasty coffee,0.968
espresso friendly,0.9444
coffee pastry,0.9351
dog friendly,0.9346
buy coffee,0.9296
drip alright,0.9269
friendly owner,0.9215
kind local,0.9179
great espresso,0.9173
great place,0.9113
welcoming dog,0.9101
coffee glad,0.9024
decaf drip,0.8883
good local,0.8853
friendly neighborhood,0.8785
awesome espresso,0.8755
awesome coffee,0.8739
charming coffee,0.8738
good pastry,0.8723
coffee free,0.8684
nice local,0.8636
spot coffee,0.8629
drip,0.8563
pastry good,0.8423
independent coffee,0.8328
latte friendly,0.8319
local feel,0.8319
crowded starbucks,0.827
vibe interior,0.827
love place,0.8171
best kind,0.8105
atmosphere friendly,0.8093
cafe love,0.8087
coffee sf,0.8055
love ever,0.7995
cozy coffee,0.796
interior elevated,0.7929
place everything,0.7914
april still,0.79
coffee definitely,0.7897
great iced,0.7865
morning small,0.7854
local vibe,0.7846
neighborhood atmosphere,0.7837
neighborhood place,0.7796
flat white,0.7706
vibe,0.7684
local imagine,0.7663
white,0.7648
everything,0.7634
neighborhood,0.7629
internet yeeeewwww,0.7593
kind,0.7588
nice lot,0.7581
thems internet,0.7569
coffee nice,0.7453
nothing fancy,0.7449
place love,0.7424
still seating,0.7419
small crowd,0.7405
early morning,0.7394
desk coffee,0.7393
local atmosphere,0.7392
excellent coffee,0.7366
espresso bernie,0.7362
excellent barista,0.7349
selection pastry,0.7343
internet,0.7335
pastry,0.7333
love pay,0.731
coffee house,0.7304
coffee good,0.7275
good cocoa,0.7274
local cafe,0.7238
cute coffee,0.722
bernie,0.721
dog,0.7191
starbucks friendly,0.7189
sugar starbucks,0.7182
coffee reliable,0.717
wonderful tasty,0.7168
coffee smooth,0.7133
mean hot,0.7131
service,0.7111
friend shown,0.7105
disappointing flat,0.7103
local,0.71
alright,0.7078
warm welcome,0.7054
coffee baked,0.7035
drink coffee,0.7034
early,0.7025
little coffee,0.6997
small,0.6992
lovely,0.6977
coffee read,0.6964
friend,0.6963
amazing cappuccino,0.6949
great customer,0.6928
excess sugar,0.6894
always warm,0.6873
bernie great,0.6867
good wifi,0.6815
cozy sidewalk,0.6805
yummy matcha,0.6789
biscottis tasty,0.6784
friendly good,0.6777
pay dollar,0.6766
true neighborhood,0.6757
baked good,0.6749
iced,0.6731
wifi nice,0.6712
dollar coin,0.6693
yeeeewwww nice,0.6675
tasty,0.6674
decaf,0.6669
coffee nothing,0.6644
amazing coffee,0.6636
work coffee,0.6617
vibe disappointing,0.6609
place great,0.6547
nothing,0.6499
nice spot,0.6475
outlets wifi,0.6464
bernie wonderful,0.6455
good quality,0.6444
free wifi,0.6415
reliable wifi,0.6388
roasted coffee,0.6381
coffee thought,0.637
takeaway still,0.6366
delicious espresso,0.6355
place buy,0.632
caring coffee,0.6306
others april,0.6302
dollar,0.6291
coffee mama,0.6248
starbucks across,0.6247
shop planet,0.6182
laptop,0.6168
produce quality,0.6153
warm cozy,0.6128
warmly coffee,0.6123
glad found,0.6115
house produce,0.6087
cappuccino bernie,0.6082
good food,0.6062
cafe warm,0.6062
delicious,0.6045
free wi,0.6025
regular name,0.6023
foods benefit,0.6006
welcome bernie,0.6004
cocoa outlets,0.599
coffee large,0.5983
valley wonderful,0.5978
charge laptop,0.5972
nicely roasted,0.5955
fast wifi,0.5944
wish coffee,0.5939
cafe history,0.5933
national treasure,0.593
buy,0.59
staff yummy,0.5897
love banana,0.5894
treasure unofficial,0.5879
sugar,0.5871
shop latte,0.5862
hot,0.583
large table,0.5824
coffee better,0.5811
bernie best,0.5798
shop chill,0.5788
muffin carrot,0.5783
tasty treat,0.5707
best staff,0.5707
matcha latte,0.569
frothy watery,0.569
bernie know,0.5689
chocolate nice,0.5686
coffee pretty,0.5675
excellent biscottis,0.5638
mushroom gorgonzola,0.5635
cafe wonderfully,0.5632
awesome place,0.5626
working desk,0.5572
enjoyed coffee,0.557
home drink,0.5567
wonderful coffee,0.5562
picky coffee,0.5557
wifi bathroom,0.5536
starbucks serf,0.5508
cappuccino poorly,0.5506
ginger muffin,0.5499
cafe serving,0.5497
bench table,0.5484
treasure,0.5474
table excellent,0.5463
perfect coffee,0.5455
starbucks next,0.5439
espresso warm,0.5434
know regular,0.5431
april,0.542
chill vibe,0.5412
coffee sometimes,0.5405
coffee cute,0.5395
neighborhood vibe,0.5391
expensive bernie,0.5374
espresso tasted,0.5357
nice staff,0.5356
iced coffee,0.5347
staff coffee,0.5343
door coffee,0.531
banana nut,0.5297
great cup,0.5292
great people,0.5277
cozy place,0.5271
coffee quick,0.5269
music wifi,0.5266
mocha,0.5263
coffee taste,0.5252
sipping coffee,0.5203
shop tasty,0.52
latte milk,0.5197
na regular,0.5194
comfy seat,0.5186
coffee hot,0.5165
tea instead,0.5153
sf,0.5153
coffee tea,0.5141
whole foods,0.5139
mama truly,0.5133
spot,0.5127
regular,0.5124
read paper,0.5123
research many,0.5114
coffee fast,0.5098
tullys coffee,0.5088
taste burnt,0.5079
get tea,0.5068
something warm,0.5055
owned coffee,0.5044
warm milk,0.5037
coffee charged,0.5019
free,0.5012
charming,0.5007
coffee always,0.4996
roast taste,0.4971
homey cafe,0.4958
class coffee,0.4906
dark roast,0.4868
sugar espresso,0.4817
cafe rainy,0.4802
mind coffee,0.48
yummy,0.4795
always treat,0.4788
variety coffee,0.4748
customer right,0.4742
baristas,0.4737
pleasant conversation,0.4714
cafe fare,0.4676
foods,0.4674
bernie kindest,0.4667
drink cafe,0.4664
neighborhood cafe,0.4661
study research,0.4615
staff warmest,0.4614
grocery shopping,0.4601
wifi coffee,0.4587
kindest soul,0.4585
delicious sf,0.4583
expensive offensive,0.4571
maple latte,0.457
coffee bench,0.4542
disappoint mushroom,0.4541
bathroom try,0.4538
great cafe,0.4512
owner true,0.4477
always expensive,0.4457
coffee bernie,0.4457
time cafe,0.4419
espresso also,0.4403
shop,0.4369
pleasant music,0.4356
mushroom,0.4354
espresso drink,0.4352
wonderful,0.4344
operates always,0.4315
bernie delicious,0.431
