keyword,weight
coffee,23.2256
bluebottlecoffee com,14.4336
support bluebottlecoffee,14.2917
email support,10.2423
bluebottlecoffee,7.3106
coffee email,6.7297
hear coffee,5.259
good coffee,4.4945
good,4.3451
delicious,3.8539
great coffee,3.8291
latte,3.7145
blue bottle,3.3893
sharing email,3.0993000000000004
delicious coffee,2.7067
matcha latte,2.5873
best coffee,2.4407
avocado toast,2.3704
taste,2.1991
bottle coffee,2.1041
coffee expensive,2.0987
coffee latte,1.9771999999999998
expensive,1.9367999999999999
clean,1.7559
coffee good,1.7066
coffee experience,1.6902
favorite coffee,1.6155
sweet latte,1.5269
quality coffee,1.5113
excellent coffee,1.4794
oat milk,1.3688
coffee great,1.3009
friendly staff,1.251
blue,1.2065
coffee delicious,1.1644999999999999
visit email,1.1584
rating love,1.1474
starbucks,1.1392
awesome,1.1248
new orleans,1.1177000000000001
ham cheese,1.1135000000000002
great,1.1087
premium coffee,1.1048
cup coffee,1.0901
review love,1.0848
coffee tasted,1.0447
coffee ever,1.0423
latte delicious,1.0
ok coffee,1.0
nn,1.0
wrong coffee,1.0
minimalistic clean,1.0
beans,1.0
awesome coffee,1.0
expensive good,1.0
excellent experience,1.0
delish,1.0
waffle,1.0
best espresso,0.9728
bad attitude,0.9689
good service,0.949
coffee busy,0.9467
delicious feel,0.9386
nice coffee,0.936
really bad,0.9343
good taste,0.9183
awesome blue,0.9173
bad,0.9153
latte good,0.914
croissant coffee,0.9107
ristetto ice,0.9042
clean good,0.8991
minimalistic,0.8969
authentic thai,0.8936
thai food,0.887
coffee patries,0.8781
latte taste,0.8612
interior need,0.8488
calm social,0.847
need improvement,0.8448
bottle,0.8438000000000001
excellent,0.8435
eat blueberry,0.8417
never tried,0.8357
blueberry scone,0.8341
fantastic surprised,0.8336
service style,0.831
coffee definitely,0.8262
coffee fine,0.8234
extraordinary coffee,0.8146
pour fantastic,0.812
feel priced,0.8085
pretty calm,0.8041
coffee lover,0.7975
coffee ordinary,0.7947
coffee well,0.7889
ice,0.7886
mediocre,0.7884
love coffee,0.7848
starbucks blue,0.7841
taste great,0.7809
milk matcha,0.775
great service,0.7669
experience,0.7663
amazing coffee,0.7537
coffee excessive,0.7535
drip coffee,0.7533
expensive chocolate,0.7531
improvement,0.7504
