keyword,weight
coffee,137.9518
great coffee,49.1606
good coffee,27.7368
best coffee,20.1274
great,15.3489
support bluebottlecoffee,14.5754
bluebottlecoffee com,13.3422
blue bottle,12.8471
good,12.0025
coffee great,9.9184
bluebottlecoffee,9.8381
coffee shop,8.8683
best,8.606
waffle,7.3683
amazing coffee,7.3603000000000005
delicious,7.1202
delicious coffee,7.0313
drip coffee,6.9056
coffee good,6.4969
iced coffee,6.4481
email support,6.2044
nice coffee,6.1846
excellent coffee,6.1259
espresso,6.0864
coffee waffle,5.9345
nice,5.7251
coffee nice,5.6783
bottle coffee,5.2128
love coffee,5.1503
tea,4.7844999999999995
cappuccino,4.7578
starbucks,4.6891
busy,4.6883
quality coffee,4.4007
coffee town,4.2659
crowded,4.1416
love,4.072
service,3.9418
coffee worth,3.8922
cafe,3.7921
cup coffee,3.7661
coffee delicious,3.7616
amazing,3.6277
review love,3.4143999999999997
friendly staff,3.3857
blue,3.3741
love hear,3.2567
san francisco,3.1421
long,3.09
tasty,3.0474
coffee place,2.9838
decent coffee,2.8425
coffee friendly,2.8251
expensive coffee,2.8186999999999998
coffee service,2.7407000000000004
great service,2.6456
coffee usually,2.5071000000000003
cold brew,2.4748
get coffee,2.4279
always,2.3554
taste,2.3417
nice place,2.2293
great espresso,2.2253
love blue,2.2195
francisco,2.2063
coffee best,2.1812
better starbucks,2.1737
delicious waffle,2.1702
ice coffee,2.1514
coffee crowded,2.0843
coffee beautiful,2.0838
coffee email,2.0616000000000003
fantastic coffee,2.0596
iced,2.0384
coffee sf,2.0147
long line,1.9954
coffee cool,1.9912999999999998
hot chocolate,1.9826
coffee served,1.9523
latte delicious,1.9258
excellent,1.9208
baristas,1.9033
rush hour,1.8995000000000002
afternoon,1.8778000000000001
expensive,1.8752
special,1.869
coffee however,1.8677000000000001
loud,1.8614000000000002
latte,1.8165
slow,1.8083
drink coffee,1.8054999999999999
enjoy coffee,1.7966
long wait,1.7949
oat milk,1.7934
quality,1.7642000000000002
business meeting,1.7641
avocado toast,1.7412999999999998
visit email,1.7376
need,1.7345
americano,1.7313999999999998
hear coffee,1.7286000000000001
coffee long,1.7254
coffee tasted,1.7138
seating coffee,1.6632
coffee bean,1.6278000000000001
blend,1.6103
coffee busy,1.6026
strong coffee,1.5843
place,1.5802
overpriced,1.5465
waffle also,1.5426
loved cappuccino,1.5387
food,1.5144000000000002
great tasting,1.5055
coffee taste,1.4961000000000002
good taste,1.4839
spacious,1.4799
clean,1.4685000000000001
shop,1.4658
kind,1.4644
hot cocoa,1.4556
one,1.4553
wifi,1.4162
service coffee,1.3918
warm,1.3905
atmosphere,1.3892
coffee always,1.3763999999999998
coffee fresh,1.3759000000000001
exceptional coffee,1.3596
coffee recommended,1.338
coffee atmosphere,1.3325
coffee get,1.3187
coffee chain,1.3071000000000002
great view,1.3043
coffee san,1.3018
coffee might,1.2883
famous coffee,1.2871000000000001
cream,1.2715999999999998
espresso drink,1.2631000000000001
sharing email,1.2614
coffee lover,1.258
orleans iced,1.2464
bottle amazing,1.2443
espresso coffee,1.2431
tasting coffee,1.2389999999999999
shop love,1.2387000000000001
new,1.2342
bitter,1.2165
coffee outstanding,1.2159
belgian waffle,1.2075
favorite coffee,1.2042000000000002
average coffee,1.1916
coffee much,1.1875
coffee pretty,1.1863000000000001
coffee even,1.1739
coffee decent,1.1671
coffee please,1.1652
smooth,1.161
coffee food,1.1543999999999999
assist thanks,1.1533
stop,1.1427
iced latte,1.1392
coffee experience,1.131
cafe latte,1.129
cup,1.1267
get busy,1.1222
bread,1.1206
middle downtown,1.111
bag coffee,1.1094
coffee although,1.0876000000000001
milk,1.0857
aroma,1.0644
ice,1.058
town,1.0548000000000002
coffee spot,1.0533000000000001
favorite blue,1.052
crafted coffee,1.0452000000000001
barista,1.041
coffee price,1.0407000000000002
sf,1.0306
waffle really,1.028
new orleans,1.0276999999999998
hot,1.0238
bright,1.0236
coffee one,1.0214
coffee standard,1.0208
prepare coffee,1.0024
tasty late,1.0
great coffe,1.0
always amazing,1.0
love coffeeeeee,1.0
great cappucchino,1.0
good place,1.0
beautiful,1.0
best one,1.0
cappuccino delicious,1.0
service good,1.0
fix period,1.0
expensive delicious,1.0
rude service,1.0
line long,1.0
excellent blend,1.0
excellent americano,1.0
crowded fyi,1.0
uniform service,1.0
good cappuccino,1.0
yum,1.0
hip,1.0
latte best,1.0
great over,1.0
need say,1.0
know original,1.0
special building,1.0
ask question,1.0
typical,1.0
amazing waffles,1.0
busy overpriced,1.0
tech bro,1.0
blend awesome,1.0
spacious relaxing,1.0
solid coffee,1.0
slow pro,1.0
club,0.9942
pleasant place,0.9861
clean stylish,0.9808
great space,0.9772
really pleasant,0.9762
restaurant,0.9752
real coffee,0.9741
afternoon coffee,0.9695
pleasant,0.9662
good location,0.9656
rude,0.9634
new york,0.9633
ask,0.9593
open vibe,0.9565
original,0.956
fix,0.9524
pretty slow,0.9515
latte enough,0.95
loud coffee,0.9485
busy little,0.9473
awful coffee,0.9466
thanks,0.9461999999999999
great open,0.9442
espresso bitter,0.9436
question,0.9411
crave bb,0.9405
good job,0.9403
coffee barista,0.9393
coffee ever,0.9383999999999999
stopped coffee,0.9378
coffee made,0.9374
coffee far,0.9363
staff friendly,0.9351
best around,0.9343
york new,0.934
worth,0.9318
one best,0.9309000000000001
awesome,0.928
met precision,0.9266
coffee blue,0.9259999999999999
coffee honest,0.9247
delicious bread,0.92
sandwich delicious,0.9191
crowded noisy,0.919
many coffee,0.9178
say,0.9164
little disorganized,0.914
atmosphere good,0.9134
know,0.9127
highly recommend,0.9123
sf interesting,0.9107
order waffle,0.9089
best muffin,0.9085
ambient well,0.9078
get americano,0.907
warm latte,0.9065
warm food,0.9052
place coffee,0.9051
uniform,0.9042
named coffee,0.9041
ecofriendly coffee,0.9028
choice limited,0.9018
decaf espresso,0.9001
well located,0.8974
vanilla latte,0.897
exquisite espresso,0.8964
super long,0.8964
espresso neat,0.8963
perfection met,0.8962
im best,0.8948
slow still,0.8926
coffee coffee,0.8916999999999999
affagato perfection,0.8911
amazing barista,0.8907
bb time,0.8877
hot busy,0.8858
every one,0.8858
neatby stanford,0.8855
david beckham,0.8837
over,0.8835
superb coffee,0.8801
coffee clean,0.8793
busy crowded,0.8762
stylish atmosphere,0.8762
open,0.8754
great latte,0.8751
coffee aroma,0.8748
loud music,0.8742
chai tea,0.8734
coffee exquisite,0.8731
mocha amazing,0.8729
tea option,0.8717
absurdly long,0.8672
unbelievable coffee,0.8661
unkind staff,0.8659
atmosphere cheap,0.8656
bit pricey,0.862
upscale coffee,0.8597
overly crowded,0.8596
view lot,0.8596
exquisite coffee,0.8588
latte hot,0.8579
milk cappuccino,0.8549
precision,0.8548
fast service,0.8542
forever simple,0.8541
tech,0.8531
friendly,0.8516
delicious calcium,0.8504
like ambient,0.8498
relaxing,0.8493
every,0.8486
coffee expensive,0.848
coffee avocado,0.8478
coffeeeeee,0.8443
always packed,0.8443
unique place,0.8433
impressed bitter,0.8432
yuppie prefer,0.8427
uncomfortable taste,0.8425
love flat,0.8415
cheap though,0.8415
flat white,0.8415
comfortable cafe,0.8414
morning business,0.8413
perfection,0.8406
interesting coffee,0.8404
coffe,0.8403
coffee arrogant,0.84
period,0.839
calcium delicious,0.8384
waffle yeast,0.838
coffee ready,0.8377
late,0.8355
like coffee,0.8352999999999999
forever,0.8345
beckham need,0.8339
crave,0.8331
pricey,0.8321
stylish,0.8297
overpriced coffee,0.8277
lot space,0.8242
cheap,0.8236
tea good,0.823
ambient,0.8221
smooth delicious,0.8208
coffee awesome,0.8196
enjoyed cappuccino,0.8194
wait forever,0.8168
white,0.8163
cream crystallized,0.8157
met david,0.8152
mid afternoon,0.8148
bro,0.8141
atmosphere food,0.8136
interesting,0.8121
tried macchiato,0.8108
coffee fan,0.8108
bb,0.8103
cafe friendly,0.8103
korean people,0.8102
waffles,0.8101
fyi,0.8099
lot korean,0.8081
prefer illy,0.8041
average crazy,0.8038
great waffle,0.8035
york atmosphere,0.8033
generally good,0.8028
good quality,0.8027
coffee hit,0.8022
local coffee,0.8015
busy loud,0.8012
delicious drink,0.8004
quality beverage,0.7993
fancy atmosphere,0.798
coffee lovey,0.7963
forever tasty,0.7951
view espresso,0.7945
seeking coffee,0.7939
coffee consistently,0.7936
little,0.7934
bottle cafe,0.7934
coffee smoothe,0.7931
david,0.7918
space great,0.7913
great cup,0.7908
matter coffee,0.7908
bright starbucks,0.7896
line,0.7891
simple expresso,0.7891
fancy coffee,0.7885
waffle amazing,0.7883
vibe,0.7882
location warm,0.787
coffee overdone,0.7867
outstanding coffee,0.7865
good smell,0.7865
beckham,0.785
lack customer,0.7849
located,0.7848
disorganized,0.7843
coffee amazing,0.784
much crowd,0.7839
croissant tasty,0.7835
choice,0.783
wait coffee,0.7829999999999999
never disappoints,0.7822
noisy,0.7816
one need,0.7791
latte sandwich,0.779
samovar tea,0.7783
starbucks stronger,0.7782
nice sit,0.7782
get waffle,0.7776
great roast,0.7772
ok choice,0.7772
long coffee,0.7764
coffee enough,0.7747
line good,0.7747
better mistakes,0.7742
nice blue,0.7733
unique,0.7729
aroma coffee,0.7724
nola cola,0.7703
kindly baristas,0.768
redbay coffee,0.767
time,0.7669
nice fancy,0.7658
building,0.7655
tasting high,0.7653
coffee bright,0.7642
coffee deal,0.7641
place sf,0.7634
cofee busy,0.7627
coffee go,0.7618
prefer starbucks,0.7616
cappuccino drip,0.7614
coffee sure,0.7613
solid,0.7609
medicated,0.7605
coffee deserves,0.7598
view,0.7587
pricey wifi,0.7586
coffee need,0.7581
service terrible,0.7571
lattes good,0.7562
cocoa,0.755
well uncomfortable,0.7538
limited,0.7537
space location,0.7534
vanilla,0.7499
korea taste,0.7485
korean,0.7481
crystallized ice,0.7478
space,0.7477
food egg,0.7474
coffee interior,0.7472
lovey waffle,0.747
friendly baristas,0.7469
macchiato impressed,0.7468
get medicated,0.7468
beautiful coffee,0.7463
tea coffee,0.7462
location atmosphere,0.746
tasty macchiato,0.7458
apple store,0.7458
go stop,0.7455
coffee bit,0.7452
sweetness matcha,0.7445
cola,0.744
soy milk,0.744
service unkind,0.7432
coffee amazon,0.7405
dripped coffee,0.74
coffee absolutely,0.7389
wait time,0.7389
cappucchino,0.7373
espresso wonderful,0.7369
macchiato,0.7367
downtown coffee,0.7366
friendly people,0.7362
slow expensive,0.7353
time minute,0.7349
liked coffee,0.7314
shop america,0.7308
sparkling water,0.7296
coffee decor,0.7292
crowded rush,0.7289
comfortable clerk,0.7288
affogato cream,0.7286
stanford,0.7284
like tea,0.7282
european flavor,0.7256
coffee like,0.7235
coffee area,0.7217
crowd,0.7215
overpriced croissant,0.7214
yeast,0.7211
tech meeting,0.7207
still good,0.7198
music friendly,0.7197
brew tasty,0.7197
great afternoon,0.7187
york,0.7184
weak milky,0.7181
nice cup,0.718
coffee bad,0.7176
coffee trendy,0.7176
carlos amazing,0.7167
shot sparkling,0.7165
good beverage,0.7163
good pastry,0.7159
coffee afternoon,0.7156
clean minimalist,0.7152
place neatby,0.7145
weekend free,0.7145
delicious cappuccino,0.7141
coffee life,0.7137
nice corner,0.7127
waffle freshly,0.7118
uncomfortable,0.7117
shop architecture,0.7117
around area,0.7108
coffee watch,0.7107
coffee oakland,0.7104
latte san,0.7097
friendly cafe,0.7095
service generally,0.7094
location friendly,0.709
high price,0.7083
spacious space,0.7075
awesome coffee,0.7067
cashier delicious,0.7065
good service,0.7064
though cafe,0.7063
coffee excellent,0.706
nice warm,0.7045
family restaurant,0.7042
roast great,0.7029
illy block,0.7025
new obsession,0.7021
crazy downtown,0.7019
downtown enough,0.7009
matcha amazing,0.7007
nola always,0.7005
love busyness,0.7004
trendy cafe,0.7002
decaf mocha,0.6999
priced parking,0.6992
enough said,0.6981
ice cream,0.6975
enough,0.6962
great ice,0.695
waffle waffle,0.6936
long order,0.6932
unkind,0.6926
pretty,0.6926
location overly,0.6924
coffee creamy,0.6923
lighting high,0.6923
solid espresso,0.692
mocha,0.6919
around,0.6918
hope disappointed,0.6914
way yuppie,0.6909
prefer,0.6905
waffle thanks,0.6898
nice crew,0.6896
chocolate liked,0.6888
best coffe,0.6885
coffee quick,0.6883
chocolate guy,0.6875
place awful,0.6873
shop enjoy,0.6869
consistently delicious,0.6861
coffee bitter,0.686
cool location,0.6855
