keyword,weight
support bluebottlecoffee,2.7184
coffee,2.5977
email support,2.3571
bluebottlecoffee com,2.3541
coffee email,2.0616000000000003
hear coffee,1.7286000000000001
coffee tasty,1.4849999999999999
great coffee,1.4684
iced,1.2593999999999999
iced coffee,1.0
favorite latte,0.9629
super convenient,0.9529
convenient location,0.9162
close early,0.9137
often close,0.9007
convenient,0.8839
coffee service,0.8592
tasty pastry,0.8177
terrible experience,0.8092
favorite coffee,0.8053
friendly baristas,0.8021
early,0.802
often,0.7886
close,0.788
nice placeand,0.7698
terrible,0.7517
size small,0.7278
burnt,0.7275
clean price,0.7268
placeand clean,0.7207
delicious coffee,0.7176
customer efficiently,0.7132
top coffee,0.7088
lovely expensive,0.707
nice,0.7067
flat burnt,0.7026
love latte,0.7002
coffee lover,0.693
small,0.6926
high,0.688
staff need,0.6706
coffee unreal,0.6635
communicate customer,0.6605
super,0.6527
great latte,0.65
artisanal coffee,0.6484
minute coffee,0.6422
latte world,0.6394
latte one,0.6289
tasty,0.6197
latte,0.6195
blue bottle,0.6188
location,0.6121
learn communicate,0.6081
milk without,0.6049
great location,0.6033
oat milk,0.6019
need learn,0.592
one size,0.5864
latte ambiance,0.5857
modern lovely,0.5832
visit email,0.5792
super friendly,0.5772
favorite,0.5745
absolutely love,0.5717
asked coffee,0.561
bluebottlecoffee,0.5509
baristas,0.5506
got iced,0.55
pastry,0.5494
iced nola,0.5411
brand new,0.5404
coffee people,0.5377
coffee making,0.5312
milk,0.5183
clean fast,0.5168
fast pretty,0.5145
pretty exp,0.5099
visit coffee,0.5089
bottle clean,0.5004
fast service,0.4997
pricy great,0.4913
service delicious,0.4825
happy help,0.4723
plenty table,0.4709
latte flat,0.4562
great,0.4449
friendly,0.4359
thanks sharing,0.4259
drink oat,0.4196
coffee space,0.4103
made drink,0.402
hub cafe,0.4019
raymond thanks,0.399
coffee maker,0.3911
cashier great,0.3902
good croissant,0.368
world,0.2395
