keyword,weight
coffee,25.5288
good coffee,10.3844
wifi,8.5453
cafe,8.1769
charge wifi,5.4362
coffee shop,5.1291
coffee good,4.9985
sandwich,4.8522
good,4.5404
great,4.023
nice,3.5970999999999997
little cafe,3.5945
neighborhood coffee,3.4342
coffee place,3.1879999999999997
great coffee,2.7176
wifi free,2.6983
food,2.6593
nice coffee,2.6413
great food,2.3384
love,2.2822999999999998
coffee food,2.2662
coffee cake,2.1194
coffee house,2.0786
tea,2.0543
cup coffee,2.0073
house coffee,1.9524
food good,1.8702999999999999
nice little,1.8456000000000001
delicious,1.8309
vanilla latte,1.7749000000000001
best coffee,1.7067
comfortable,1.6937
decent coffee,1.6834
classic cafe,1.6721
delicious coffee,1.6517
coffee nice,1.5791
nice place,1.5537999999999998
amazing food,1.5306
mocha,1.522
average coffee,1.5194
smoothy coffee,1.5185
nice atmosphere,1.4882
coffee cheap,1.4605000000000001
good food,1.4343
friendly,1.4144
laid back,1.4066999999999998
cake,1.4057
hot chocolate,1.3841
chicken sandwich,1.3813
pay internet,1.3659
coffee average,1.3624999999999998
coffee great,1.3525
spot,1.3357
little coffee,1.3219
coffee atmosphere,1.3022
local,1.2898999999999998
food drink,1.2851
friendly staff,1.2821
cozy,1.2061
delicious food,1.1993
use wifi,1.1854
table,1.1502
awesome,1.1466
food coffee,1.1463
mint mocha,1.1441
fruit coffee,1.1405
coffee smoothy,1.0803
customer,1.0573
chocolate,1.0484
reasonable price,1.0362
coffee tea,1.0259
little,1.0054
special sandwich,1.0
long wait,1.0
try shake,1.0
great mocha,1.0
hella god,1.0
nice comfortable,0.9844
comfortable spot,0.9802
latte tasty,0.9748
good fast,0.9718
local coffee,0.9706
food delicious,0.9688
pay wireless,0.9658
good device,0.9657
buy wifi,0.9657
great drink,0.9653
friendly customer,0.9639
turkey sandwich,0.9603
hella,0.9545
internet,0.9519
wonderful breakfast,0.9388
outdoor seating,0.9263
small coffee,0.9257
enjoy coffee,0.9255
shake,0.9159
vibe outdoor,0.9145
awesome customer,0.913
fruit cup,0.9106
fast,0.9088
breakfast bevs,0.8999
great latt,0.8996
long,0.8994
place good,0.8974
beer coffee,0.897
great local,0.8924
love laid,0.8909
wifi ridiculous,0.8885
coffee big,0.8813
wait,0.8734
wifi work,0.8714
spot study,0.8713
small crowded,0.8707
tasty mint,0.8639
great sandwich,0.8634
outdoor,0.8401
coffee friend,0.84
close pm,0.8397
lovely table,0.8366
sandwich juice,0.8349
excellent coffee,0.8341
lovely coffee,0.8339
pastry,0.8324
latt mocha,0.8291
seating comfortable,0.829
breakfast,0.8287
wifi buck,0.8257
excellent bacon,0.8245
little small,0.8222
slow sometimes,0.8212
local spot,0.8211
awesome food,0.815
big mug,0.8149
small,0.8102
try,0.8093
car toyota,0.8087
yummy food,0.8084
cafe good,0.8083
coffee peaceful,0.8068
iced tea,0.8062
good cup,0.802
amazing tea,0.802
wifi card,0.8004
laid,0.7979
coffee sandwich,0.795
mexican hot,0.7933
friendly waiter,0.7928
solid neighborhood,0.7925
local hangout,0.7906
place vibe,0.7899
drink cosy,0.7876
atmosphere little,0.7838
chatting reading,0.7837
service beer,0.7819
bacon bloody,0.7817
friendly courteous,0.7813
free wifi,0.7803
great place,0.7797
friendly cafe,0.7796
place awesome,0.7789
gluten free,0.7787999999999999
food great,0.7775
delicious lox,0.7706
popular cafe,0.764
piece cake,0.764
untidy table,0.7631
rosemary chicken,0.763
god,0.7613
blt good,0.7601
message close,0.7587
coffee richmond,0.7586
tea nice,0.7573
espresso unhappy,0.7504
sandwich good,0.7448
excellent customer,0.7441
pretty slow,0.7435
great bohemian,0.7433
gorgeous cafe,0.7422
good pastry,0.7408
food pretty,0.74
sandwich thing,0.7386
first visited,0.7378
toyota,0.7356
bohemian esque,0.7319
coffee interior,0.7311
comcast wifi,0.7302
cake yummy,0.7289
people laptop,0.7282
bacon,0.7264
wireless,0.7263
coffee delicious,0.7229
nice cafe,0.7198
could cleaner,0.7161
latt,0.7153
cleaner,0.7151
lox bagel,0.714
likeable neighbourhood,0.7135
cheese apple,0.7123
card limit,0.7103
ok pay,0.7093
style coffee,0.7089
coffee piece,0.7069
year ago,0.7069
service delicious,0.7065
pastry good,0.7048
customer service,0.7043
peaceful cozy,0.704
free cafe,0.7039
nice relaxed,0.7001
bagel sandwich,0.698
cafe decade,0.6964
cheap restaurant,0.6962
seating,0.6945
buck lol,0.692
wifi used,0.6913
sandwich shop,0.6902
wifi actually,0.6902
juice cheese,0.6895
mocha warmed,0.6895
staff nice,0.689
pay wifi,0.6886
bohemian,0.6873
shop sf,0.6856
pm,0.6851
cafe la,0.6848
comfy yummy,0.6832
restaurant relaxed,0.6829
courteous,0.6828
joint reliably,0.6821
good eats,0.6821
wifi range,0.6817
mr espresso,0.6804
coffee excellent,0.6803
chip bread,0.6798
croissant sandwich,0.6792
slow,0.6784
esque cafe,0.6773
wifi coffeeshop,0.6767
joe car,0.6761
cappuccino coffee,0.6743
limited sandwich,0.6739
excellent food,0.6725
bagel,0.6721
thank message,0.672
turkey,0.6698
sandwich though,0.6694
great service,0.669
counter help,0.6687
yummy coffee,0.6679
nice barista,0.6677
cafe breakfast,0.6673
yogurt granola,0.6672
beer,0.6671
cup,0.6664
mushroom quiche,0.6654
plenty table,0.6653
drink,0.6638
thank,0.663
adorable coffee,0.6621
laptop,0.6619
wifi anymore,0.6616
tasty,0.6615
coffee comfortable,0.6614
dinner smoothies,0.6605
sandwich freshly,0.6603
service lovely,0.6573
relaxed atmosphere,0.6571
fruit juice,0.6569
breakfast lunch,0.6566
efficient,0.6564
tea good,0.6553
reading book,0.6552
richmond open,0.6544
solid coffee,0.6537
house fine,0.6526
eats good,0.6509
neighborhood joint,0.6508
chit chatting,0.65
spinach mushroom,0.6495
dise delicious,0.6487
coffee snack,0.6485
good menu,0.6483
cute coffee,0.6482
coffee lunch,0.6476
eager efficient,0.6475
