keyword,weight
coffee,8.4947
thanks,6.8222000000000005
thank,5.4643999999999995
good food,2.4799
food,2.4303999999999997
good coffee,2.4244
best coffee,1.9384000000000001
great place,1.563
excellent coffee,1.5534
coffee shop,1.4306
great service,1.4125999999999999
coffee good,1.2770000000000001
good,1.2062
tasty,1.1932
coffee breakfast,1.1284
breakfast sandwich,1.1187
get coffee,1.0798999999999999
coffee tea,1.0483
nice guy,1.0423
nice owner,1.0335
classic spot,1.0
like coffee,1.0
thanks derrick,1.0
thanks catie,1.0
homely atmosphere,1.0
thanks noah,1.0
open anymore,0.9708
cafe,0.9688
classic,0.9488
great,0.9457
homely,0.9448
appear open,0.9398
enjoy coffee,0.9299
mediocre best,0.9192
cool owner,0.9151
open,0.9105
tasty food,0.9011
downtown coffee,0.8969
mediocre,0.883
catie,0.8822
see christmas,0.8757
thanks mr,0.8718
mr bond,0.8656
excellent espresso,0.8611
appear,0.8591
lovely atmosphere,0.859
coffee terrible,0.8588
noah,0.8549
definitely enjoyed,0.8526
cute place,0.8518
christmas,0.8429
chai latte,0.8322
quality coffee,0.8304
comfortable coffee,0.8271
service tasty,0.8249
cute seat,0.8228
best nothing,0.8212
coffee beer,0.8186
atmosphere great,0.8144
good chai,0.8142
derrick,0.8099
thanks donovan,0.8093
rest west,0.808
cutebcasual good,0.8058
kind staff,0.8050999999999999
enjoyed,0.8044
anymore,0.8028
tasting coffee,0.795
place,0.7942
nothing special,0.794
spot,0.7913
delicious,0.7767
donovan great,0.7719
bond,0.7714
affordable nutella,0.7698
breakfast downtown,0.7633
coffee tasty,0.7621
inside nice,0.7567
cute,0.7545
food nice,0.7541
latte delicious,0.7459
food coffee,0.7374
apology credited,0.7341
see family,0.7319
delicious coffee,0.7316
food large,0.7304
pie delicious,0.7277
eden enjoy,0.7274
enjoy rest,0.7259
place cool,0.7215
coffee wonderful,0.7211
west coast,0.7183
nothing,0.7127
latte,0.7118
sandwich coffee,0.7104
great bagel,0.7094
best cafe,0.7016
place downtown,0.7
cutebcasual,0.697
eat breakfast,0.6953
seat inside,0.6915
roast tasty,0.6913
breakfast chester,0.6897
food amazing,0.6882
tasty breakfast,0.6871
mr,0.6855
better owner,0.6847
delicious baked,0.6827
coast visit,0.6824
favorite cafe,0.6783
thank oscar,0.6741
sandwich friendly,0.6729
yummy omelette,0.6724
morning sun,0.6711
great see,0.6706
option cute,0.6689
downtown,0.6671
espresso,0.6671
coffee normal,0.6651
accept apology,0.6647
great owner,0.6645
atmosphere,0.6596
nice staff,0.6571
avocado bacon,0.6556
family,0.6534
little coffee,0.6519
nutella bagel,0.6504
cheese bagel,0.6493
apology,0.6381
oscar always,0.6342
thanks julian,0.6338
come coffee,0.6337
bagel sandwich,0.6297
local coffee,0.6295
cool,0.6287
sun great,0.628
sunny interior,0.6278
always great,0.6224
baked good,0.618
wonderful guest,0.6179
breakfast,0.6156
great tasting,0.6139
friendly service,0.6137
great food,0.6134
back credit,0.6098
owner sunny,0.6096
tasty crepe,0.6078
omelette coffee,0.6051
chai,0.6038
terrible,0.6032
beer,0.6028
terrible okay,0.6021
mostly flavorless,0.599
service excellent,0.5972
egg cheese,0.5923
coffee house,0.5923
fresh food,0.5921
superb coffee,0.5919
go breakfast,0.5919
sun,0.5909
open hour,0.5849
pancake thin,0.5844
hour,0.583
free wifi,0.5826
owner nice,0.5778
hour like,0.5757
friendly,0.575
like,0.5714
credit card,0.5696
coffee fresh,0.5672
cheat thank,0.5666
bacon cream,0.5628
entered coffee,0.5605
wreck coffee,0.555
homemade pie,0.5548
omelette friendly,0.553
amazing staff,0.5496
coffee particularly,0.5496
service family,0.5474
cafe bit,0.5458
outside morning,0.5415
pop cafe,0.5414
owner,0.541
priced coffee,0.539
jenga game,0.5384
little cafe,0.5359
family owned,0.5346
city cute,0.533
wholesome delicious,0.5325
extra payment,0.5309
trying cheat,0.5309
shop coffee,0.5308
fast service,0.5273
breakfast coffee,0.5265
delicious clare,0.5265
coffee sandwich,0.5245
card paid,0.5213
cafe coffee,0.5186
even better,0.5185
coffee snot,0.5177
food friendly,0.5153
chat coffee,0.5135
quiet affordable,0.513
great advice,0.51
breakfast bagel,0.5059
coffee turned,0.5053
oscar,0.5038
topped tasty,0.5014
coffee morning,0.5006
cute mom,0.4982
food cooked,0.4961
dutch pancake,0.4961
pay card,0.4955
julian see,0.4952
julian,0.4949
flavorless,0.4946
french toast,0.4944
dutch pancakes,0.4942
selection pastry,0.4914
laptop morning,0.4862
iced coffee,0.4847
pastry even,0.4845
cream cheese,0.4829
coffee coffee,0.4785
bagel friendly,0.4752
staff friendly,0.4749
bean breakfast,0.4733
got avocado,0.4724
neighborhood coffee,0.4704
coffee incredible,0.4688
bagel even,0.4682
san francisco,0.4659
coffee tasted,0.4645
pancakes menu,0.4624
shop great,0.4589
cheat,0.457
second cup,0.4548
old school,0.4538
great chat,0.4528
never really,0.4499
great sandwich,0.4492
service free,0.4474
chester pleasure,0.4473
get refund,0.4448
great espresso,0.4425
great cafe,0.4424
mean coffee,0.4396
cooked order,0.4381
cafe bean,0.4355
mannequin sitting,0.4344
coffee company,0.4334
cafe ever,0.4311
bacon,0.4299
cup coffee,0.427
old,0.4256
star wars,0.4255
neighborhood eatery,0.4252
coffeeis better,0.4235
