keyword,weight
salad,10.336
sandwich,8.7659
food,5.9677
salad sandwich,4.5468
best sandwich,3.6407
great food,3.4811
coffee,3.0143
lunch,2.8702
turkey avocado,2.6981
delicious,2.5072
great salad,2.3478
sandwich salad,2.2789
mango salad,2.2729
good salad,2.1961
good food,2.1526
pastrami sandwich,2.1368
great lunch,2.1304
great,1.9910999999999999
avocado sandwich,1.9868
avocado,1.9813
fantastic,1.9488
food service,1.8334000000000001
delicious sandwich,1.8079
chicken sandwich,1.7696
egg salad,1.7436
nicoise salad,1.7410999999999999
food great,1.5819
smoked salmon,1.5396999999999998
fresh,1.5152
cafe,1.5144
excellent,1.5078
sandwich amazing,1.4146
great service,1.3979
delicious food,1.383
food would,1.3655
brie sandwich,1.3613
fresh salad,1.3599999999999999
mushroom sandwich,1.3577
friendly food,1.3559
soup sandwich,1.3558
roasted chicken,1.3201
friendly staff,1.3157
sandwich ever,1.2893
best breakfast,1.2610000000000001
food amazing,1.2367
excellent food,1.2135
ham cheese,1.1872
half salad,1.1839
friendly,1.1604
salmon,1.1581
quaint,1.1568999999999998
sandwich great,1.1024
quaint little,1.1006
chicken,1.0634
prosciutto sandwich,1.0614999999999999
ham swiss,1.0110000000000001
would recommend,1.0092
food coffee,1.0074
food excellent,1.0
interesting spot,1.0
fantastic place,1.0
swiss croissant,0.9868
everything delicious,0.9792
sandwich would,0.9715
interesting,0.9594
lunch meeting,0.9343999999999999
delicious excellent,0.9307
salad nice,0.9289
tasty food,0.9251
everything fresh,0.9244
tarragon sandwich,0.9208000000000001
best cafe,0.9171
excellent coffee,0.9108
always fantastic,0.9103
sandwich fantastic,0.9038
amazing salad,0.902
coffee friendliness,0.8992
fresh food,0.8946
caesar salad,0.8911
superb sandwich,0.8761
fresh winderful,0.8738
get salad,0.8671
light lunch,0.8493
portions bigger,0.8484
fantastic quality,0.846
mango chicken,0.8419
brunch lunch,0.8419
food spectacular,0.8356
salad addicted,0.83
chicken salad,0.8272
tasty salad,0.8268
sandwich die,0.8249
spot,0.8225
avocado honey,0.8212
mango,0.8211
sandwich divine,0.8205
food outstanding,0.8188
salad order,0.8183
nice little,0.8107
salad person,0.8036
tasty,0.8007
salmon tasty,0.7998
hot sandwich,0.7991
salmon tartine,0.7932
impressed every,0.7919
kind owner,0.7895
bigger like,0.7835
bigger,0.7816
sandwich genuine,0.7799
great place,0.7762
kind small,0.7752
ham sandwich,0.7737
lunch salad,0.7731
place,0.7729
cortada food,0.7613
amazing lunch,0.7602
nice,0.7579
loved cortada,0.7573
mocha coffee,0.7531
food thanks,0.7522
nice brunch,0.7505
ingredients fresh,0.7458
food choice,0.7406
always,0.7401
salad coffee,0.739
small,0.7388
california delicious,0.7366
salad hook,0.7352
especially salad,0.7328
