keyword,weight
coffee,19.7602
cafe,14.1897
great,7.9265
sandwich,7.1703
good coffee,7.0935
breakfast,7.0049
food,6.3870000000000005
place,5.8545
good food,5.8454
great coffee,5.7867
nice,5.6128
cx,5.545
homeless,5.3248
great place,5.3091
little cafe,5.1301
bread,4.9686
great food,4.8882
service,4.7415
coffee good,4.4249
free bread,4.1196
food good,3.6599
water bread,3.6048
friendly staff,3.4598
good,3.4365
lunch,3.379
nice people,3.3032
bread water,3.2352
nice guy,3.1952
amazing,3.1521
breakfast bagel,3.1089
coffee great,3.0709
happy hour,2.9943
great breakfast,2.6936
amazing coffee,2.692
nice food,2.4262
great service,2.4186
excellent,2.3636
excellent service,2.3523
salad,2.3457
coffee excellent,2.3247
best cafe,2.2493
nicest,2.207
bagel,2.1757999999999997
coffee sandwich,2.1353
free food,2.1157
cafe great,2.1126
cheap,2.0465999999999998
homeless man,2.0453
local cafe,2.0262000000000002
good breakfast,1.9985
mimosa,1.9698
customer,1.9573
fantastic,1.9441000000000002
nicest staff,1.9134
amazing service,1.8868
free,1.8829
homeless friend,1.8555000000000001
tasty,1.8545
food coffee,1.8197999999999999
best,1.7893
delicious food,1.7507000000000001
generous,1.7330999999999999
good service,1.6777
coffee food,1.6484
nice place,1.6416
cup coffee,1.6177
mediterranean frittata,1.6035
cute cafe,1.6005
coffee shop,1.5972
nice cafe,1.5716999999999999
nice outdoor,1.5703999999999998
try mediterranean,1.5312999999999999
gave homeless,1.5301
good customer,1.5283
service great,1.5248
espresso,1.5096
staff good,1.4704000000000002
great spot,1.4609999999999999
like breakfast,1.4524
food homeless,1.4505
greek salad,1.4287
mediterranean,1.4274
best employee,1.4243000000000001
little coffee,1.4198
good sandwich,1.4188
breakfast sandwich,1.4155
recommend cafe,1.4144
cafe good,1.4076
cafe happy,1.3993
bagel great,1.3705
caprese salad,1.3538999999999999
nice cheap,1.3516
relaxing,1.3451
great restaurant,1.3392
coffee taste,1.3359999999999999
cafe neighborhood,1.3227000000000002
food pretty,1.3197
amazing food,1.3174000000000001
super nice,1.3142999999999998
hot chocolate,1.3071
food espresso,1.2995999999999999
bad experience,1.2936
sandwich good,1.2799
service cafe,1.2696
ice poseidon,1.2662
owner nice,1.2655
bad,1.2654
great crab,1.2636
excellent sandwich,1.2591999999999999
delicious coffee,1.2558
quiet,1.2553999999999998
boy ice,1.252
fran sandwich,1.228
excellent vibe,1.2275
helped homeless,1.225
sandwich great,1.1625
good selection,1.1442
autistic homeless,1.1280000000000001
staff nice,1.1083
delicious,1.0984
friendly owner,1.096
free water,1.0869
sandwich happy,1.0846
friendly service,1.0734000000000001
friend water,1.0693000000000001
sherry soup,1.0636
good vibe,1.0439
food great,1.022
water,1.0
outstanding service,1.0
dirty,1.0
friendly,1.0
amazing bread,1.0
great bread,1.0
amazing place,1.0
tea,1.0
great cafe,1.0
perfect coffe,1.0
sandwiches lit,1.0
favorite place,1.0
satisfactory,1.0
excellent breakfast,1.0
fantastic place,1.0
awesome place,1.0
cafe latte,0.9978
great generous,0.9747
generous place,0.9745
welcoming employee,0.9615
awesome food,0.9507
awesome,0.9482
brotha cx,0.9459
salad best,0.9453
great guy,0.9371
great eats,0.9367
sandwich delicious,0.9352
favorite,0.9286
food cheap,0.925
place vibe,0.9216
nice worker,0.9169
sandwich coffee,0.9111
best americano,0.9103
bread thank,0.9074
sandwiches,0.9068
bagel mimosa,0.9055
good vegetarian,0.9036
food exceptional,0.9033
outstanding,0.9008
hook brotha,0.9007
perfect,0.9005
lovely service,0.8995
lively area,0.8958
nice employee,0.8956
employee generous,0.8908
great lively,0.8899
outdoor seating,0.8866
plate disappointed,0.8815
coffee pretense,0.8798
helped man,0.8735
tiny plate,0.8724
size meal,0.8716
area excellent,0.8695
decent coffee,0.8663
food polite,0.8636
selection coffee,0.8621
greatest cafe,0.8615
love kindness,0.8595
bread yummy,0.8585
kind welcoming,0.8568
wonderful relaxing,0.8563
ugly soooooooo,0.8547
chocolate,0.8538
quiet street,0.8538
place love,0.8509
lively,0.8486
eats service,0.8481
excellent coffee,0.8475
restaurant,0.8452999999999999
worker arrogant,0.8441
nicest people,0.842
food tasty,0.8396
good social,0.8387
kindness cx,0.8375
best breakfast,0.8363
quick lunch,0.8353
customer satisfaction,0.8351
spectacular coffee,0.8345
taste like,0.8339
salads sandwich,0.8334
service nice,0.831
cafeteria quiet,0.8243
bagel good,0.8218
sandwich chill,0.82
staple morning,0.8194
brotha,0.8186
place helped,0.8184
decent size,0.8161
morning routine,0.816
orange juice,0.8158000000000001
staff great,0.8141
amazing breakfast,0.8139
coffee knowledgeable,0.8118
never open,0.8116
delicious owner,0.8108
mimosa coffee,0.8103
nice relaxed,0.8088
vibe,0.8087
great latte,0.8085
relaxing spot,0.8083
simple food,0.8068
love,0.8067
friendly bread,0.8064
nice lovely,0.8051
soooooooo ugly,0.8035
beautiful restaurant,0.8016
good work,0.7983
comfortable atmosphere,0.7973
arrogant service,0.7963
fantastic people,0.7957
place nicest,0.7946
polite staff,0.7943
cafe reasonable,0.7931
coffee free,0.7929
place cx,0.7925
table cleaner,0.7923
atmosphere quiet,0.7918
restaurant best,0.7918
sandwich reasonable,0.7913
great sandwich,0.7913
coffee nice,0.7905
cappuccino relaxing,0.7871
autistic niece,0.787
satisfaction cx,0.7867
like place,0.7866
coffee breakfast,0.7851
taste,0.7847
outdoor,0.7843
people awesome,0.784
small breakfast,0.7834
disappointed,0.7831
puts customer,0.7827
really nice,0.7814
cozy coffee,0.7787
meal,0.7775
quiet neighborhood,0.7761
service bad,0.7746
welcoming,0.7744
well mimosa,0.7737
food wifi,0.7725
soooooooo uncomfortable,0.7724
charming cafeteria,0.7714
vegetarian option,0.77
keep good,0.7698
coffee pleasant,0.7689
comfortable,0.7675
salad delightful,0.7669
terrace coffee,0.7666
lunch crowded,0.7666
service ugly,0.7657
enjoyed coffee,0.7653
time watching,0.765
know order,0.765
helped,0.765
morning,0.7634
sandwich die,0.7628
acceptable coffee,0.7621
perfect relaxing,0.762
fresh delicious,0.7586
espresso wonderful,0.757
good salad,0.7569
great lunch,0.7568
employee,0.7566999999999999
water awesome,0.7555
watching,0.7551
man,0.7546
cafe na,0.7541
niece paula,0.7538
moose meat,0.7532
tasty nice,0.7529
food visit,0.7509
best owner,0.7504
tiny,0.7493
francisco salad,0.7487
inappropriate soooooooo,0.7483
several starbucks,0.7455
relaxed place,0.7455
service friendly,0.7453
owner kind,0.7449
frittata good,0.7443
pleasure meeting,0.7435
watching someone,0.7416
place never,0.7414
tasty bagel,0.7414
salad terrible,0.7402
shop,0.739
small cafe,0.739
slice bread,0.7384
great bathroom,0.7373
kindness,0.7369
sandwich nice,0.7368
soooooooo inappropriate,0.7368
lunchtime good,0.7354
perfect place,0.7345
scuffed moose,0.7344
dollar salads,0.7342
fairly priced,0.7336
good free,0.7326
salad lunchtime,0.7321
great time,0.7319
accomadate customer,0.7316
coffee warm,0.7315
good bagel,0.7307
spot great,0.7302
shop friendly,0.73
humid stuffy,0.7286
breakfast brunch,0.7284
eat outdoors,0.7283
jesus bread,0.7247
bad service,0.7243
coffee anywhere,0.7214
starbucks,0.721
neighbourhood cafe,0.7198
order keep,0.7194
delicious atmosphere,0.7182
eats,0.716
nice sandwich,0.7157
great option,0.7151
relaxed,0.7149
cafeteria delicious,0.7146
kind service,0.7145
soup die,0.7132
service ambiance,0.7116
bathroom great,0.7113
love know,0.7109
restaurant amazing,0.7098
decent,0.7095
super delicious,0.7094
sausage egg,0.7089
complimentary bread,0.708
food bummer,0.7074
lobster sherry,0.7071
coffee worth,0.7068
working cashier,0.7059
coffe,0.7055
breakfast eatery,0.7053
lovely lady,0.7048
delicious breakfast,0.7045
cheap happy,0.704
food delicious,0.7029
pastry coffee,0.702
americano,0.702
sandwich made,0.7019
stuffy inside,0.7005
caring man,0.6993
inside nice,0.6992
never,0.698
exceptional service,0.6976
bread cup,0.6969000000000001
sandwich decent,0.6958
turkey sandwich,0.6951
service cx,0.6946
see food,0.694
nice funny,0.6935
niece,0.6921
visiting cafe,0.692
nice terrace,0.6917
meal coffee,0.6911
great pastry,0.691
