keyword,weight
cafe,1.9719000000000002
coffee,1.1556
great work,0.9557
reopening soon,0.9303
awesome place,0.9153
salad,0.9016
sweet cafe,0.8708
guy reopening,0.8694
place great,0.8474
awesome,0.8409
socialize traveller,0.8391
delicious sandwich,0.8282
best coffee,0.8245
amazing atmosphere,0.816
great,0.797
coffee great,0.7915
loved sandwich,0.7718
socialize,0.7687
reopening,0.7685
great baker,0.7554
quiche delicious,0.7484
soon,0.7387
like socialize,0.7301
atmosphere,0.7248
little cafe,0.7226
cafe tucked,0.715
hostel tea,0.6801
gem coffee,0.6796
baker nice,0.6744
plenty hostelers,0.6677
sandwich salad,0.6655
flavorful coffee,0.66
tea made,0.6497
cafe best,0.6492
cafe quick,0.6444
tea tea,0.6401
wonderful cafe,0.6235
delicious latte,0.6162
adore cafe,0.6127
salad sandwich,0.6112
food delicious,0.6108
excellent beer,0.603
tasted good,0.5991
leaf tea,0.5966
made salad,0.5965
guy,0.5937
shop coffee,0.5914
hostel friendly,0.5868
tea,0.578
coffee around,0.5737
priced tasted,0.5734
coffee shop,0.5734
good sea,0.5665
google map,0.5629
reasonably priced,0.5603
tasty caf,0.5585
oasis hostel,0.5583
coffee beer,0.5538
good food,0.5509
veg burger,0.5486
baked good,0.5443
affordable delicious,0.543
delicious meal,0.5379
salad anywhere,0.5375
clubhouse vibe,0.5355
cafe great,0.5301
loved food,0.5296
friendly staff,0.528
found google,0.5252
beer cooky,0.5233
food good,0.5217
sandwich coffee,0.5155
treehouse secret,0.5153
tourist great,0.5151
gem cafe,0.5045
bite best,0.4986
hostelers time,0.4963
secret clubhouse,0.4923
local fun,0.4831
hostelers,0.481
google,0.4771
affordable snack,0.473
priced flavorful,0.4727
liking friendly,0.4654
delicious every,0.4613
sea right,0.4602
show tourist,0.46
little sweet,0.457
cafe absolute,0.4544
island breakfast,0.4478
snack coffee,0.4474
got treehouse,0.4452
nutritious affordable,0.4434
burger come,0.4335
attached hostel,0.4314
burger,0.4278
sandwich well,0.4277
meal soup,0.4258
healthy tasty,0.4231
price food,0.4174
atmosphere beautiful,0.403
experience loved,0.3973
flavorful,0.3948
sandwich,0.3944
super friendly,0.3915
breakfast walk,0.3903
board chef,0.3876
opening weekend,0.3779
tasty meal,0.3756
buy cafe,0.3566
hostel found,0.3542
soup edit,0.3236
breakfast,0.3171
saw basketball,0.3155
restaurant saw,0.3129
weekend prepared,0.296
best experience,0.2863
delicious,0.2818
lucky use,0.2758
