keyword,weight
coffee,17.1525
thank,15.0551
cafe,8.1771
jazz,8.1055
nice,7.582
great coffee,6.6195
friendly staff,6.4275
great food,5.0846
good food,4.9879
sandwich,4.7946
love,4.0423
sweet,4.0
great,3.9804
turkish coffee,3.6614
live jazz,3.4374000000000002
food,3.4128
much,3.2847999999999997
coffee good,3.2339
place,3.0279
thank much,3.0
patio,2.9133
good sandwich,2.7941
great place,2.6473
jazz sunday,2.592
vibe,2.5619
great neighborhood,2.5199
good,2.4598
food friendly,2.4401
food great,2.4196999999999997
good coffee,2.4148
wonderful,2.3463
thanks,2.3188
cozy,2.3128
good vibe,2.3082000000000003
great cafe,2.3007
happy,2.2398
live music,2.1622000000000003
cash,2.1456999999999997
awesome,2.1044
friendly,2.061
wonderful place,2.0405
breakfast,1.9628
best cafe,1.9109
nice people,1.8657
always,1.8524
love place,1.8247
tea,1.8196999999999999
great breakfast,1.8195999999999999
lovely atmosphere,1.7956
food coffee,1.7871
hope find,1.7375
food good,1.7359
jazz sundays,1.734
cup coffee,1.6425
iced coffee,1.6057000000000001
awwww,1.5958
great atmosphere,1.5739
place nice,1.5671
excellent coffee,1.5523
coffee ice,1.5221
people nice,1.5034
sandwich nice,1.4493
coffee shop,1.4141000000000001
lovely,1.4089999999999998
coffee great,1.4071
cake,1.3976
best turkish,1.3811
atmosphere,1.3774000000000002
food awesome,1.3753000000000002
fun,1.3525
cappuccino,1.3517000000000001
lovely local,1.3239
home,1.3096
neighborhood cafe,1.3067
spacious,1.3016999999999999
owner,1.2938
strong coffee,1.2774
night friday,1.2691999999999999
salad,1.2528000000000001
ice cube,1.25
food delicious,1.2452
turkish,1.2433999999999998
awesome staff,1.2328999999999999
nice patio,1.2313
kind place,1.2271
friendly owner,1.2031
owner friendly,1.2027
carrot cake,1.196
local coffee,1.1864999999999999
nice friendly,1.1856
new,1.1574
coffee food,1.1535
tasty,1.1352
tofu sandwich,1.1197
ice coffee,1.1138000000000001
coffee best,1.1128
music sundays,1.0993
trump,1.0973
back patio,1.0827
san francisco,1.0826
staff great,1.0375
beer wine,1.0339
sunday night,1.0173
sunday,1.0152
free wifi,1.014
neighborhood coffee,1.0127000000000002
loved band,1.0
lovely cafe,1.0
wonderful staff,1.0
always superb,1.0
authentic,1.0
favorite sf,1.0
thank matt,1.0
thank hugo,1.0
thank doc,1.0
cultural institution,1.0
zahra love,1.0
nice backyard,1.0
love doll,1.0
thanks friend,1.0
zara,1.0
great smoothy,1.0
hi danny,1.0
awesome patio,1.0
outdoor patio,1.0
awesome service,1.0
ok,1.0
good cappuccino,0.9845
spacious relaxing,0.9764
vibe much,0.9749
right man,0.9747
amazing cake,0.9647
happy hear,0.9646
like vibe,0.9633
best,0.9631000000000001
listen michael,0.9604
jazz music,0.9592
bagel sandwich,0.9571000000000001
awww happy,0.9562
smoothy,0.9545
smiles jazz,0.951
sundays,0.9509000000000001
danny,0.9394
thank joshua,0.9385
cake thanks,0.9375
nice coffee,0.9364
cultural,0.9352
better thank,0.9329
decent food,0.9272
little grubby,0.9248
fast wifi,0.9196
saturday,0.9194
jazz good,0.9191
atmosphere coffee,0.9171
even better,0.9169
opened caf,0.9167
food comfortable,0.9156
cube coffee,0.9149
good bus,0.9122
night,0.9100999999999999
love owner,0.9066
coffee burnt,0.9059
outdoor,0.9056
nice memory,0.9054
entertainment fun,0.9049
affordable food,0.9044
nice entertainment,0.9032
great woman,0.9026
breakfast sandwich,0.8972
dirty,0.8964000000000001
friend,0.893
great customer,0.8924000000000001
better,0.8915
grubby though,0.8911
place coffee,0.8905000000000001
made coffee,0.8895
ahead ensemble,0.8874
chill vibe,0.886
latte horrible,0.8846
better starbucks,0.8825
read book,0.8802
greatest cafe,0.8736
bad coffee,0.8724
little,0.8707
cheese sandwich,0.867
great patio,0.8663
staff cool,0.8643
breakfast restaurant,0.8643
miles ahead,0.8614
helpful accommodating,0.8604
yup listen,0.859
superb,0.8569
got right,0.8563
institution,0.8561
thank rob,0.8557
aware cash,0.8553
coffee wonderful,0.8551
owner trip,0.855
michael,0.8549
bus godfrredly,0.8542
atmosphere spacious,0.853
worst ever,0.8507
cafe best,0.8482
genuine generous,0.8467
cinnamon cappuccino,0.846
nice food,0.8417
caf community,0.841
horrible worst,0.8371
backyard,0.837
cafe hippie,0.8366
great staff,0.8365
like,0.8359
nice staff,0.8358000000000001
awwww thank,0.8354
comfortable environment,0.8333
exquisite food,0.8306
sit read,0.8294
matt,0.8288
back soon,0.8261
secret trump,0.823
great attitude,0.8222
joshua,0.8177
people genuine,0.8174
soon time,0.8168
hi,0.8163
beverage amazing,0.816
hugo,0.8153
come cook,0.8143
sandwich great,0.8141
soon,0.8132
ahead,0.8114
generous find,0.8107
accommodating staff,0.8102
rob room,0.8098
sandwich quick,0.8088
cafe planet,0.8051
charming owner,0.8045
generous,0.8026
miles,0.7993
alex need,0.7985
spot chill,0.7984
great helpful,0.7962
read poetry,0.7957
cafe friendly,0.7949
comfortable couch,0.7932
music sunday,0.7913
soup delicious,0.7906
helpful,0.7894
relaxing,0.7878
simple good,0.7878
need people,0.7874
best love,0.7871
grubby,0.7863
food generous,0.7851
said good,0.7848
cry huge,0.7817
cappuccino sandwich,0.7811
absolutely wonderful,0.7798
coffee read,0.7786
speak language,0.7781
fun bohmo,0.7757
avoocado cheese,0.7749
doc,0.7729
nice furniture,0.7728
yup,0.7721
drink hangout,0.771
salad soup,0.7708
greg miss,0.7705
coffee spoon,0.7692
good bite,0.7692
wonderful aware,0.769
new blend,0.7679
chill,0.7676
great jazz,0.7673
listen,0.7671
man,0.7652
patio cozy,0.7635
able sleep,0.7629
comfortable,0.7621
caf,0.7611
quirky coffee,0.7603
food carrot,0.7602
blend coffee,0.7593
good thing,0.7587
right,0.757
attitude great,0.7569
cool atmosphere,0.7564
though,0.7549
doll,0.754
courtyard area,0.7532
simple,0.7527
room king,0.7515
coffee relaxation,0.7506
sandwich smoothy,0.7486
cappuccino divine,0.7449
particularly courtyard,0.7447
friday,0.7436
food love,0.7431
horrible,0.7411
international cafe,0.7405
zahra,0.74
croissant tasty,0.7397
music thursdays,0.7397
thank alex,0.7391
shop nice,0.7389
favorite,0.7372
decent coffee,0.737
opened,0.7345
new hip,0.7337
amazing atmosphere,0.7324
sf,0.7316
fast friendly,0.7314
cinnamon,0.7264
find niche,0.7263
coffee soup,0.7259
come back,0.7256
trip cozy,0.7255
affordable,0.7252
cafe enjoy,0.725
cozy relaxed,0.7245
good spot,0.7243
coffeeshop love,0.7231
speak,0.7224
bus,0.7221
people like,0.7212
drinking coffee,0.7206
bigger pastry,0.7205
light lunch,0.7202
niche greg,0.7193
language think,0.7191
jazz live,0.7188
ok salad,0.7185
hear,0.7184
music saturday,0.7179
mi sandwich,0.7173
made happy,0.7169
rob,0.7168
accommodating,0.7166
hot inside,0.7164
cook,0.7163
cry baby,0.7163
local hangout,0.7161
fresh new,0.716
place sit,0.7156
great affordable,0.7151
sf cafe,0.714
hippie era,0.7131
jazz night,0.7128
service,0.7111
jazz vibe,0.7092
victor come,0.709
fantastic food,0.7084
good hospitality,0.7078
sofa easy,0.7066
awesome food,0.7058
hippie,0.7056
spot people,0.7053
playing jazz,0.7023
home like,0.7012
home thank,0.7
cafe owner,0.6971
local color,0.6968
worst,0.6965
good beer,0.6965
happy little,0.6959
trump nazis,0.6947
little ginger,0.6939
coffee go,0.6932
divey food,0.692
got,0.6915
sit,0.6913
welcomed home,0.6903
cozy spot,0.69
funky great,0.6897
king,0.689
usually read,0.6877
book,0.687
cozy sofa,0.687
easy chair,0.6854
cheese,0.6843
like food,0.6842
average jazz,0.6838
real cafe,0.6835
smoke back,0.6829
cash good,0.6826
music perfect,0.6824
year maybe,0.6816
chill smoke,0.6802
eat owner,0.6799
priced food,0.6793
loved,0.6786
patio clean,0.6784
ginger,0.6779
cake recommended,0.6766
thank cafe,0.6766
old school,0.6762
burnt tast,0.6747
sofa eclectic,0.6743
food beverage,0.6742
worst coffee,0.6741
tuna sandwich,0.6735
strawberry bagel,0.6734
already hot,0.6723
starbucks,0.6719
coffee house,0.6716
sleep,0.6712
ruined smoker,0.6709
forward eating,0.6703
friendly kitchen,0.6692
music nice,0.668
place enjoy,0.6671
atmosphere friendly,0.6667
great cup,0.6653
couch atm,0.6653
klan trump,0.6652
hot,0.6647
coffee dinner,0.6643
coffee believe,0.6643
hope,0.6609
throw coffee,0.6601
fresh lemon,0.6585
spacious cool,0.6555
food inexpensive,0.655
good service,0.6547
bad,0.6534
table friendly,0.6518
food reasonably,0.6508
tea pastry,0.6499
coffee bagel,0.6491
neighborhood coffeeshop,0.6489
ensemble,0.6487
delicious food,0.6481
expensive incredibly,0.6478
opinion food,0.6468
smoke,0.6461
relaxed working,0.6459
really bad,0.6449
burnt,0.6448
super expensive,0.6445
coffee sf,0.6424
white klan,0.6419
food vibe,0.6415
band,0.6406
awww,0.6404
fun place,0.6403
coolest friendly,0.6388
trump hope,0.6387
quiet studying,0.6384
lemon ginger,0.6379
coffee croissant,0.6378
vibe spacious,0.6378
even,0.6378
couch seating,0.6365
nice neighborhood,0.6342
welcoming personable,0.6337
ginger tea,0.6315
night jazz,0.6292
amazing person,0.6278
owner cash,0.6269
made cry,0.6267
prosciutto sandwich,0.6266
neighborhood spot,0.6263
excellent tuna,0.6259
sit cafe,0.6256
soup great,0.6253
better vibe,0.6249
afternoon nice,0.6247
roast coffee,0.6246
owner cemented,0.624
humor coffee,0.6238
closed renovation,0.6238
stay ruined,0.6237
hangout,0.6233
cynical cry,0.6232
restaurant cash,0.6229
music weekend,0.6226
atmosphere good,0.6222
great atomsophere,0.6219
cheese avocado,0.6204
pork sandwich,0.6201
woman zahara,0.6198
ice,0.618
cry,0.6178
atmosphere cheap,0.6175
comfortable seating,0.6172
good tea,0.6165
spacious loungy,0.6164
food super,0.6164
cube,0.6159
pastry bread,0.6156
seating plenty,0.6149
home delicious,0.6146
drink,0.6145
funky,0.6145
walking safe,0.6141
selection tea,0.6141
best live,0.6139
hospitality,0.6137
ceaser salad,0.6128
like home,0.6128
staff,0.6125
community,0.611
inexpensive tasty,0.6108
restaurant,0.6103
francisco,0.6095
patio back,0.6091
spot charming,0.6091
jazz nite,0.6086
latte amazing,0.6084
cafe known,0.6071
great location,0.6071
vibe smile,0.607
cafe sf,0.6067
mural smoke,0.6066
favorite cafe,0.6062
delicious friendly,0.6056
clean fresh,0.6052
sandwich staff,0.6044
historic haight,0.6033
love live,0.6033
add strawberry,0.603
green tea,0.603
sandwich delicious,0.6028
delicious service,0.6027
cozy place,0.6024
mic night,0.6021
cheap good,0.6021
quick service,0.6017
wifi comfy,0.6008
friendly atmosphere,0.6004
service wonderful,0.6003
coffee amazing,0.5999
little cafe,0.5997
soul root,0.5996
tasty although,0.5988
clean wooden,0.5983
vibe nice,0.5975
atmosphere food,0.5971
saturday afternoon,0.596
best coffee,0.5956
fabulous cappuccino,0.5954
trendy food,0.595
eating,0.5949
great spot,0.5942
home coffee,0.5938
cozy space,0.5938
poetry,0.5929
quality coffee,0.5927
ginger mean,0.5927
table sofa,0.5923
awesome atmosphere,0.5922
well rich,0.5921
smiles,0.5917
rich,0.5913
staff coffee,0.5908
cake awesome,0.5907
rich place,0.5906
friendly caf,0.5906
posted hour,0.5904
entertaining hostess,0.59
carrot,0.5894
coffee state,0.5889
maybe time,0.5879
run great,0.5876
cafe free,0.5874
thinking upgrading,0.5873
big couch,0.587
roast pork,0.587
salad came,0.5868
close hour,0.5864
cafe jazz,0.5859
plenty table,0.5854
dinner homey,0.5853
andrew come,0.5852
free jazz,0.5831
know everyone,0.5825
jam sessions,0.5823
tuna melt,0.5821
day thursday,0.5812
relaxed spacious,0.5812
mainstay historic,0.58
neighborhood,0.58
still awesome,0.5797
free internet,0.5788
comfy chair,0.5785
wonderful live,0.5778
wonderful open,0.5771
upgrading lighting,0.576
food nice,0.5759
smile place,0.5757
hangout place,0.575
getting beaten,0.5748
