keyword,weight
breakfast sandwich,13.6683
breakfast,10.0531
sandwich,9.9918
coffee,6.0693
food,5.3162
great food,4.0873
great breakfast,3.3039
nice,2.995
food coffee,2.8856
cheap,2.4924
bagel,2.4914
coffee good,2.2901
quick breakfast,2.084
breakfast bagel,1.7752
sandwich great,1.7587000000000002
sandwich good,1.7288999999999999
go,1.6552
amazing coffee,1.6293
breakfast food,1.6005
nice people,1.5836000000000001
tasty breakfast,1.5646
delicious breakfast,1.5226000000000002
sandwich delicious,1.4888
good price,1.4523000000000001
croissant breakfast,1.4455
food fast,1.4287999999999998
friendly,1.4009
delicious sandwich,1.3991
coffee nice,1.2582
sandwich go,1.2239
price friendly,1.22
great coffee,1.2041
food amazing,1.195
little gem,1.1621
coffee great,1.0973
iced coffee,1.0817999999999999
hot chocolate,1.0667
starbucks,1.0357
bacon egg,1.0234
amazing food,1.0
clean professional,1.0
herbal sandwich,1.0
need,1.0
nice owner,1.0
nice bagel,1.0
go spot,1.0
food super,0.9976
delicious,0.9955999999999999
cheap friendly,0.9788
yum quick,0.953
ordering fun,0.941
nice breakfast,0.9403
great,0.9360999999999999
quick got,0.9308
spot,0.9263
friendly convenient,0.9167
toasted croissant,0.9164
quick,0.9163
kind cashier,0.9113
cheap eats,0.8927
amazing,0.8911
food delicious,0.8857
great bagel,0.8705
bagel sandwich,0.8687
clean,0.8632
hot croissant,0.8556
bagel egg,0.8474
nice toasted,0.8466
got go,0.8424
food good,0.8365
egg crispy,0.8343
convenient,0.8326
sandwich sooooo,0.8306
sandwich nice,0.8298
sandwich amazing,0.8284
fun experience,0.8274
cheap quick,0.8216
place cheap,0.8011
cutest coffee,0.8005
excellent sandwich,0.8
quick liked,0.7985
fun,0.7904
people good,0.7814
coffee average,0.7765
croissant,0.7761
welcoming hardworking,0.7749
boat good,0.7748
fair food,0.7745
perfect breakfast,0.7738
worth food,0.7648
food great,0.7642
coffee strong,0.7597
professional,0.7578
quick food,0.7555
cafe breakfast,0.7477
size boat,0.7424
find beauty,0.7362
price nice,0.7325
breakfast tasty,0.7292
beautiful little,0.7238
nice local,0.7199
bagel coffee,0.712
work great,0.708
best bagel,0.7064
quick coffee,0.706
love,0.7057
friendly love,0.7056
people welcoming,0.7042
croissant egg,0.7029
nice location,0.7027
friendly people,0.6985
spot coffee,0.6983
eats good,0.6972
reasonable breakfast,0.6968
fresh tomato,0.6939
service friendly,0.6932
liked,0.6929
price fair,0.684
toasted,0.674
great service,0.6735
shop convenient,0.6713
staff amazing,0.6696
morning breakfast,0.669
beauty,0.6672
egg sandwich,0.6666
sandwich friendly,0.6661
mozzarella salad,0.6647
chocolate watery,0.6638
service great,0.6627
extensive menu,0.6601
sandwich coffee,0.6579
pick bagel,0.6571
muffin bacon,0.6564
food support,0.6559
great price,0.6537
nothing outstanding,0.652
impressed coffee,0.6498
breakfast go,0.6477
sandwich little,0.6457
ordering,0.6434
appreciable greetful,0.6406
average breakfast,0.6406
service convenient,0.6388
better food,0.6381
sandwich lunch,0.6374
fantastic breakfast,0.6372
rude cashier,0.6371
breakfast staff,0.6366
beef sandwich,0.6345
salad convenient,0.634
cashier,0.6321
staff appreciable,0.6321
hearty breakfast,0.63
place delicious,0.6292
owner,0.6286
beautiful,0.625
food homy,0.622
coffee breakfast,0.6218
sucker breakfast,0.6183
charming place,0.6175
breakfast sammiches,0.608
breakfast pickup,0.6073
kind people,0.6062
coffee cheap,0.6056
cafe,0.6053
sandwich place,0.6046
treat nothing,0.6043
hidden breakfast,0.6031
onion iced,0.602
coffee love,0.601
sandwich accurate,0.6004
hardworking,0.6002
favorite spot,0.5998
bacon good,0.5991
hotel quick,0.5965
breakfast morning,0.5963
coffee extremely,0.5937
little breakfast,0.5931
fast great,0.5901
experience,0.5898
fresh pick,0.5897
good pick,0.5875
breakfast pick,0.5874
local people,0.5869
tomato mozzarella,0.5864
sandwich made,0.5816
breakfast coffee,0.5812
herbal,0.581
super service,0.5795
crispy,0.5793
new favorite,0.5785
good breakfast,0.5764
fresh organic,0.576
convenient grabbing,0.5758
muffin breakfast,0.5715
spot sandwich,0.5714
coffee everything,0.5696
canadian bacon,0.5687
clean honest,0.5685
crosisant sandwich,0.5682
bagel delicious,0.568
coffee shop,0.5673
shop perfect,0.5673
tomato cucumber,0.5639
fair,0.5633
friendly quick,0.5629
lox bagel,0.5615
people happy,0.5613
peete starbucks,0.5595
charge tomato,0.5593
good food,0.5589
coffee nicest,0.5575
shop tasty,0.5568
served friendly,0.5559
sandwich hard,0.5552
ever coffee,0.5548
food reasonable,0.5548
delivered breakfast,0.5522
sandwich wheat,0.55
salmon lovely,0.5488
informal breakfast,0.5483
amazing staff,0.5474
sandwich bacon,0.5453
location impressed,0.5431
smoked salmon,0.5418
boat,0.5404
cheese muffin,0.5378
guy great,0.5376
breakfast prices,0.5374
bagel bacon,0.537
new breakfast,0.5341
turkey egg,0.5335
honest quick,0.5333
quaint cafe,0.5332
recommend cafe,0.5311
egg,0.5289
breakfast every,0.5246
work love,0.5224
impressed,0.5216
croissant sandwich,0.5215
cheese croissant,0.5213
crispy right,0.5197
easy breakfast,0.5172
sandwich fresh,0.5161
local folk,0.5083
super friendly,0.5082
size,0.5081
tasty panini,0.5078
gourmet coffee,0.5075
people breakfast,0.5064
cheap supermarket,0.5053
grabbed breakfast,0.5044
besties state,0.5042
starbucks go,0.5039
sandwich early,0.5031
coffee quick,0.4989
shop best,0.4968
breakfast spot,0.4964
coffee garbage,0.4962
support local,0.4952
wall cafe,0.4926
ate breakfast,0.4909
every morning,0.4897
corned beef,0.4874
taste,0.4872
closet friendly,0.4847
breakfast place,0.4844
woman sing,0.483
small little,0.4829
fantastic cafe,0.482
egg breakfast,0.4819
get breakfast,0.4818
fresh coffee,0.4786
happy woman,0.4783
forget starbucks,0.4762
cafe hosted,0.4757
taste highly,0.4729
wheat greasy,0.4713
bagel way,0.4711
friendly must,0.4704
chocolate,0.4696
small,0.4672
post online,0.4667
nice food,0.4661
staff drawback,0.4657
quick couple,0.4617
get sandwich,0.4606
watery tasteless,0.4565
starbucks large,0.4537
sandwich skip,0.4534
caper onion,0.4528
garbage sugar,0.4526
sandwich fidi,0.4526
table delicious,0.4512
fresh breakfast,0.4477
supermarket,0.4472
couple cup,0.4402
supermarket brand,0.4376
find closed,0.434
started politics,0.4312
tasty sf,0.4311
corner hotel,0.4302
whose food,0.428
couple sip,0.4252
bagel suck,0.4249
drip coffee,0.4232
bagel extra,0.4168
cucumber standard,0.4161
little shop,0.4109
menu august,0.4048
cashier insisted,0.4031
sf food,0.3997
bagel ever,0.3965
cafe owner,0.3962
fast friendly,0.3906
star bagel,0.3866
deserves star,0.3788
closed important,0.378
great great,0.3742
breakfast find,0.3718
salmon,0.3712
closed,0.3682
price perfect,0.3657
hurry food,0.3357
price hike,0.3312
work nice,0.3106
food service,0.2968
outdoor seating,0.2893
also coffee,0.2866
visit cafe,0.2808
cafe right,0.2779
table outside,0.2762
four egg,0.244
