keyword,weight
coffee,24.8831
great coffee,11.4509
good coffee,6.3929
favorite coffee,5.4671
coffee great,3.8884
great,3.8431
best coffee,3.0301
excellent coffee,2.6988
friendly staff,2.2852
delicious coffee,2.1888
coffee pastry,2.168
iced,2.1475999999999997
amazing coffee,2.0952
espresso,1.9733
great staff,1.9726
iced latte,1.7256
latte,1.6762
little,1.6347
busy,1.6288
good,1.6196000000000002
friendly,1.5008
super friendly,1.4433
iced coffee,1.4013
macau iced,1.3763999999999998
coffee shop,1.3584
delicious,1.3216999999999999
cafe,1.2924
coffee also,1.2136
mocha,1.1715
place great,1.1680000000000001
coffee real,1.1524
italian style,1.1113
pastry owner,1.069
coffee book,1.0651
style coffee,1.054
mexican mocha,1.0184
outstanding,1.0
nice roast,1.0
ital great,1.0
vega great,0.9983
coffee start,0.9970999999999999
remember place,0.981
mocha coffee,0.9786
espresso pretty,0.9592
little slow,0.9504
coffee cozy,0.9445
coffee amazing,0.9284
slow,0.9274
remember,0.9229
honestly remember,0.9225
coffee place,0.9185
decent mocha,0.9128
mocha delicious,0.9073
great little,0.8988
latte good,0.8916
overly busy,0.8783
solid coffee,0.8726
little coffee,0.8708
busy number,0.8525
get busy,0.8464
get latte,0.8442
little spot,0.8431
busy time,0.8371
awesome coffee,0.8357
loved mocha,0.835
place,0.8322
coffee neighbor,0.8263
spot folsom,0.8234
ital,0.8231
like italy,0.822
go little,0.8194
iced tea,0.819
coffee much,0.8165
cold brew,0.8122
roast,0.8072
honestly,0.8053
service decent,0.8051
handsome barista,0.8028
like coffee,0.7967
spot,0.7929
coffee smiles,0.7919
always friendly,0.7909999999999999
great service,0.789
consistently good,0.7876
tasty coffee,0.7862
coffee everywhere,0.7858
italy,0.7804
good italian,0.7744
love coffee,0.7709
coffee cash,0.7704
best chocolate,0.7679
style espresso,0.7664
great cold,0.7653
drip coffee,0.7589
wonderful coffee,0.7551
break goid,0.7531
brew chill,0.7502
meeting coffee,0.7434
consistently,0.7389
cozy place,0.7374
coffee town,0.7359
excellent espresso,0.7353
quick break,0.7299
size coffee,0.7299
mocha oatmilk,0.7277
blue bottle,0.7266
smiling baristas,0.7261
great expresso,0.7235
place coffee,0.7188
loved coffee,0.7186
guy escaped,0.7151
like mocha,0.715
good place,0.7148
love dog,0.7102
hibiscus iced,0.7093
cozy,0.7084
stop quick,0.7061
tea,0.7028
excellent cafe,0.6958
chill crew,0.6929
vegan pineapple,0.6918
oatmilk,0.6836
escaped right,0.6828
everyday italian,0.6813
great stop,0.6806
decent,0.6791
best iced,0.6768
best drip,0.6718
delicious espresso,0.6706
snack favorite,0.6688
staff awesome,0.6679
coffee love,0.6665
flavorful coffee,0.6653
coffee food,0.6632
loved,0.6609
cute little,0.6548
latte fantastic,0.6523
vibe coffee,0.6517
number worker,0.6512
coffee super,0.6498
coffee google,0.6497
riate handsome,0.649
coffee record,0.6427
cold,0.6408
cute,0.6404
good pastry,0.6385
cafe glad,0.6377
glad neighborhood,0.6359
cute scooter,0.6343
goid personality,0.6337
great experience,0.6324
ham cheese,0.6302
coffee serve,0.626
favorite espresso,0.626
coffee served,0.6252
great pastry,0.6249
serve blue,0.6245
greeted grumpy,0.6242
real cup,0.6228
good butter,0.622
coffee conversation,0.6212
coffeeshop downtown,0.6193
cheese croissant,0.6177
themed coffee,0.6171
