keyword,weight
thank leaving,125.99539999999999
thank,84.8523
leaving rating,67.3916
experience business,66.8454
thank taking,59.068200000000004
leave feedback,58.002700000000004
business hope,57.806999999999995
time leave,57.088499999999996
taking time,57.0526
value business,39.201699999999995
leaving review,29.1132
leaving,27.1121
feedback hope,25.150000000000002
review business,23.922
see soon,19.5275
hope,17.301399999999997
hope see,17.1786
business,15.7952
coffee,13.6708
soon,11.5695
brazilian food,11.5648
review hope,11.4375
food,9.4854
delicious,8.6824
cheese bread,8.4233
brazilian,8.0869
best brazilian,5.5803
delicious coffee,4.781
great,4.3317
leaving feedback,4.226500000000001
good food,4.1895
great coffee,4.0635
tasty,3.8944
cheese,3.738
delicious brazilian,3.7298
feedback,3.624
carrot cake,3.5976
great food,3.1552
amazing food,3.0869999999999997
coconut bread,2.8605
best,2.8406000000000002
friendly staff,2.8382
authentic brazilian,2.7999
food great,2.7531
food tasty,2.6143
delicious food,2.4402
amazing,2.3689
sandwich,2.3592
nice place,2.2576
amazing brazilian,2.2077999999999998
cake chocolate,2.2074
bread sandwich,2.1731
place good,2.1078
good coffee,2.1006
churrasco sandwich,1.9743
brazilian pastry,1.9712999999999998
cafe,1.8107000000000002
good,1.798
service food,1.7837
great brazilian,1.7647
salad delicious,1.7381000000000002
food nice,1.7359
service,1.724
rude,1.6877
coffee good,1.6659
brazilian coffee,1.6343999999999999
tasty coffee,1.6308
awesome,1.5614
coffee delicious,1.5483
place,1.5293999999999999
coffee nice,1.5016
nice people,1.4955
food welcome,1.4941
food amazing,1.4895
brazil,1.4830999999999999
ham cheese,1.4696
tropical salad,1.4658
cheesebread,1.4649
brazilian breakfast,1.4630999999999998
amazing coffee,1.4506999999999999
food coffee,1.4457
food delicious,1.4386
nice staff,1.4364
breakfast,1.4331
delicious sandwich,1.4256
great service,1.4024999999999999
food friendly,1.396
brazilian cafe,1.3923
taste brazil,1.3612000000000002
beautiful,1.3566
delicious chicken,1.3517000000000001
gluten free,1.3458
salad,1.3397999999999999
favorite restaurant,1.2934
great cafe,1.2784
loved food,1.2555
savory sweet,1.2469
juice cheese,1.2422
cream cheese,1.242
pastry coffee,1.2357999999999998
pastry good,1.2258
menu,1.2106
bacon,1.2046000000000001
pineapple mint,1.2014
sandwich coffee,1.1852
food beautiful,1.1843
best bowl,1.1718000000000002
coffee pastry,1.165
space delicious,1.1519
ordered cheese,1.1442999999999999
pastry,1.1413
coffee food,1.1006
cheese sandwich,1.0957
lunch,1.0707
brazilian restaurant,1.0674000000000001
bread cheese,1.0586
hot sauce,1.05
food good,1.0495
cup coffee,1.046
breakfast sandwich,1.0442
excellent service,1.0242
vegetarian,1.0241
sandwich lunch,1.0156
tasty authentic,1.0028000000000001
extremely tasty,1.0
note,1.0
delicious clean,1.0
amazing always,1.0
awesome place,1.0
great opened,1.0
kool place,1.0
queijo sandwich,0.9734
cheese puff,0.9724
awesome brazilian,0.9702
amazing cheesebread,0.962
delights salted,0.9549
brazilian bite,0.9517
kool,0.9478
good service,0.945
best sf,0.9436
environment sweet,0.943
excellent coffee,0.9328
orange juice,0.9300999999999999
latte,0.9292
latte milk,0.9265
splendid coffee,0.9228
opened,0.921
french bread,0.9177
coffee shop,0.9149
pastry pleasant,0.905
kind staff,0.9012
sweet treat,0.8992
exquisite menu,0.8914
clean,0.8815
coffee rich,0.8796
salad sandwich,0.8776
best coffee,0.8772
traspot beautiful,0.872
hot chocolate,0.8695999999999999
