keyword,weight
coffee,90.0291
good coffee,26.2582
great coffee,26.195
espresso,25.6388
great,18.4235
good,17.589299999999998
delicious,14.6394
cafe,13.1325
north beach,13.0817
dessert,12.3447
breakfast,12.1937
cash,11.7086
italian,11.6388
coffee dessert,10.3763
cappuccino,10.1621
hot chocolate,10.0842
nice,10.0585
chocolate,9.4731
best coffee,9.0171
tiramisu,8.6097
friendly staff,8.0928
coffee good,7.446
italian coffee,7.4345
cake,7.3443000000000005
friendly,7.218
pastry,6.6958
food,6.4887999999999995
best,6.2958
amazing coffee,5.9191
coffee delicious,5.9045
coffee great,5.7219
place,5.4949
great place,5.2664
coffee pastry,4.993
coffee nice,4.738
delicious coffee,4.6588
chocolate cake,4.621700000000001
caffe,4.616
accept cash,4.6003
yummy,4.584
tasty,4.4315999999999995
italian dessert,4.4239
tea,4.3445
italian cafe,4.3335
cheesecake,4.3178
ice cream,4.2645
good breakfast,4.2269000000000005
nice coffee,4.0041
nice cafe,3.9599
desert,3.9053
great service,3.8302
latte,3.814
san francisco,3.7399
always great,3.6416
dessert coffee,3.5417
cheese cake,3.4879000000000002
cup coffee,3.3851
quality coffee,3.3569
north,3.3467000000000002
good tiramisu,3.3414
good food,3.3319
great espresso,3.3265000000000002
love,3.312
good espresso,3.3024999999999998
great cappuccino,3.2766
awesome coffee,3.2692
sf,3.2448
pastry coffee,3.2192
italian pastry,3.1718
excellent,3.14
illy espresso,3.0919
authentic italian,3.0253
nice atmosphere,3.0223
delicious tiramisu,2.9891
coffee friendly,2.9779
espresso drink,2.9766
food great,2.9752
service,2.931
delicious food,2.9146
food coffee,2.8406
amazing,2.8369999999999997
best tiramisu,2.8357
excellent service,2.831
enjoy coffee,2.7953
coffee food,2.7644
place breakfast,2.7609
favorite cafe,2.7511
always,2.7179
coffee shop,2.7025
good cappuccino,2.6713
best cappuccino,2.6513
great cafe,2.6493
favorite coffee,2.6379
breakfast coffee,2.6118
cheese,2.5834
great location,2.5641
staff friendly,2.5537
chai tea,2.5458999999999996
coffee best,2.5451
gelato,2.4832
cafe delicious,2.4552
hot,2.4467
best espresso,2.4451
place coffee,2.4156
coffee sf,2.4144
good dessert,2.3997
salmon,2.3977
coffee espresso,2.3539
lovely,2.3331
illy coffee,2.3327
coffee decent,2.2909
coffee yummy,2.2442
excellent coffee,2.2296
place italian,2.1991
excellent cappuccino,2.176
little italy,2.1595
coffee service,2.1585
authentic espresso,2.1501
expensive,2.1460999999999997
good vibe,2.1128
caffe greco,2.1067
panini,2.1007
favorite,2.0822000000000003
beach,2.0778
whipped cream,2.0748
great people,2.0576999999999996
coffee accept,2.0438
coffee experience,2.0284
beach cafe,2.0282999999999998
coffee cake,2.0066
lovely place,2.0
tea latte,1.9931999999999999
coffee sandwich,1.9739
cooky,1.9691
italy,1.9667
awesome,1.9541
coffee snack,1.9422000000000001
coffee excellent,1.9255
nice cozy,1.8709
great food,1.8653
take cash,1.8599
cream,1.8538999999999999
great latte,1.8439
best chocolate,1.8300999999999998
quality food,1.8182999999999998
friendly people,1.8028
nice people,1.7866
yummy tiramisu,1.7863
ambiance,1.7852000000000001
coffee tiramisu,1.7811
espresso cappuccino,1.7757
loud,1.7515999999999998
vibe,1.7433999999999998
great italian,1.7406000000000001
sandwich,1.693
delicious breakfast,1.6867999999999999
morning coffee,1.6709999999999998
fantastic coffee,1.6694
soooo good,1.6476
spot coffee,1.6461000000000001
food service,1.6437
bring cash,1.6356
francisco,1.6355
food excellent,1.6292
cafe amazing,1.6151
good place,1.5958
tiramisu excellent,1.5948
pricey,1.5867999999999998
delicious cappuccino,1.5751
delicious gelato,1.5623
super friendly,1.556
breakfast san,1.5558
food good,1.554
wonderful coffee,1.5539
cake delicious,1.5507
friendly service,1.5432
coffee panini,1.5429
best cafe,1.5221
cute cafe,1.5154999999999998
worst coffee,1.5118
cream yummy,1.5015999999999998
coffee ice,1.4985
coffee hot,1.4941
nice breakfast,1.4831
good service,1.4819
love coffee,1.4808
strong coffee,1.475
wonderful cake,1.4733
delicious hot,1.4726
coffee desert,1.4714
go,1.4649
awesome drink,1.4425
cake pastry,1.4335
italian neighborhood,1.4327
great sandwich,1.4264000000000001
white chocolate,1.4261
spacious,1.4213
breakfast good,1.4192
greek,1.4154
real italian,1.4101
vanilla latte,1.3976000000000002
people watching,1.3907
try coffee,1.3902
cannoli,1.3877000000000002
rich,1.3832
cafe large,1.3756
taste,1.3719000000000001
neighborhood,1.363
coconut macaroon,1.3628
espresso dessert,1.3551
classic north,1.3525
coffee tea,1.3515
everything,1.3397000000000001
best cannolis,1.3366
good people,1.3356
lemon cake,1.3332000000000002
cafe sf,1.3314
cozy,1.3305
smoked salmon,1.3199
enjoyed,1.3115
toilet,1.3096999999999999
neighborhood cafe,1.3075999999999999
tea coffee,1.3051
cake coffee,1.2942
classic,1.2937
fine dining,1.2924
cheesecake cannoli,1.2899
soda,1.2894
nice outdoor,1.2854999999999999
nice coffe,1.2842
sandwich mozzarella,1.284
coffee ok,1.2835
fantastic,1.282
great cannoli,1.2778999999999998
cafe wonderful,1.2754
cozy cafe,1.2748
nice place,1.2738
ever,1.2734
selection coffee,1.2724
tiramisu coffee,1.2704
ricotta cheesecake,1.2687
classic italian,1.2616999999999998
breakfast panini,1.2595
outdoor table,1.2584
pastry excellent,1.2576999999999998
people,1.2565
food tasty,1.2551999999999999
accept,1.2529
food nothing,1.2473
strawberry banana,1.232
delicious italian,1.2318
service slow,1.2309
free wifi,1.2037
service good,1.1932
small cafe,1.1926
watching coffee,1.1918
coffee gelato,1.185
cozy atmosphere,1.1824
food fine,1.1737000000000002
coffee ordered,1.1729
coffee downside,1.162
one best,1.1588
best italian,1.1530999999999998
drink,1.1495000000000002
typical italian,1.1488999999999998
coffee people,1.1183
location,1.115
best latte,1.1147
really,1.1146
italian soda,1.1132
croissant,1.1075
cake good,1.1072
cash coffee,1.1026
great neighborhood,1.0973
staff nice,1.0935000000000001
espresso illy,1.087
latte ever,1.0857
restroom,1.0783999999999998
