keyword,weight
breakfast sandwich,5.9067
sandwich,5.0235
breakfast,4.42
food,3.3510999999999997
coffee,2.3724
friendly staff,2.041
delicious,1.9263
awesome,1.5306000000000002
good food,1.4759
nice,1.4729
reasonable price,1.4577
tasty,1.3431
vietnamese sandwich,1.3162
sandwich good,1.2526000000000002
good breakfast,1.2437
staff good,1.2029999999999998
love cafe,1.1789
sandwich great,1.1652
food good,1.13
friendly,1.1139000000000001
nice quiet,1.0
yummy cheap,1.0
awesome place,1.0
small pricey,0.9686
coffee food,0.9589
quiet,0.9563
tasty goody,0.9555
cheap,0.949
awesome food,0.9463
service tasty,0.9415
simple breakfast,0.9282
breakfast reasonable,0.9216
portions small,0.9141
chocolate,0.9132
nice service,0.9058
cheese croissant,0.9021999999999999
breakfast recommend,0.9003
delicious pastry,0.8968
fair breakfast,0.8915
small,0.8804
pastry friendly,0.8714
great food,0.8709
sandwich coffee,0.8679
food great,0.8677
tasty breakfast,0.8503
delicious place,0.8374
excellent breakfast,0.8329
last year,0.8315999999999999
ham cheese,0.8265
breakfast bad,0.822
yummy,0.8209
square mile,0.8207
tried doughnut,0.8157
great sandwich,0.8149
doughnut friendly,0.8109
mile radius,0.8073
thanks rating,0.8067
quality food,0.8043
sandwich croissant,0.8031
friendly lady,0.8023
quality doughnut,0.7995
best hongha,0.793
food nice,0.7901
really delicious,0.7808
chicken delicious,0.7725
great price,0.7705
food busy,0.7621
price square,0.7609
food service,0.7609
great variety,0.7567
doughnut,0.7521
place,0.7503
burnt styrofoam,0.7375
pricey,0.7374
simple doughnut,0.7348
delicious option,0.7304
lady always,0.7268
awesome price,0.7208
coffee service,0.7198
great customer,0.7192
fresh delicious,0.7177
stale bread,0.7143
variety food,0.714
bakery table,0.7036
best smoothy,0.7035
radius,0.7004
delicious breakfast,0.6975
doughnut menu,0.6968
horrible everything,0.6949
fair,0.6884
turkey breakfast,0.6867
coffee quick,0.6844
chocolate apple,0.6803
simple coffee,0.6791
deli breakfast,0.6686
caf bakery,0.6658
option awesome,0.665
food friendly,0.6639
within walking,0.662
menu tasty,0.6612
rude staff,0.661
awesome breakfast,0.6588
chocolate frosted,0.6582
loved waffle,0.6568
work sell,0.6553
soda refused,0.6527
portions,0.6511
sell bahn,0.651
bad compared,0.6493
best coffee,0.6478
nothing hashbrowns,0.6464
croissant sandwich,0.6398
great coffee,0.6398
waffle nothing,0.639
breakfast good,0.6386
pastry,0.6368
buy soda,0.6306
food overpriced,0.6287
burnt,0.6274
american breakfast,0.6274
usual coffee,0.6215
custom burger,0.6207
walking distance,0.62
half waffle,0.6194
hot chocolate,0.6148
horrible,0.6133
bakery love,0.6114
sandwich lots,0.6091
bahn mi,0.6074
smoothy,0.605
unprofessional lazy,0.6029
bacon taste,0.6028
history baking,0.6019
overpriced cafe,0.6015
food plate,0.6012
burger clean,0.5975
pancake delicious,0.5971
bakery family,0.5968
service good,0.5959
cafe sweetest,0.5942
freshly baked,0.594
coffee baked,0.5911
lot homeless,0.5904
sandwich chicken,0.5897
good quality,0.5885
bad,0.5873
favorite breakfast,0.5856
pancake freshly,0.5777
pastry breakfast,0.574
food okay,0.5703
town chocolate,0.5703
breakfast croissant,0.5695
best donut,0.5648
great,0.5627
nice staff,0.5567
lazy rude,0.5549
mi sandwich,0.552
good taste,0.5495
wife going,0.5457
price find,0.5453
baked pastry,0.5428
tea great,0.5365
lovely dining,0.5351
good vietnamese,0.5348
liked pancake,0.533
large croissant,0.5318
clean restaurant,0.5308
sandwich nice,0.5304
best waffle,0.5298
lots meat,0.5297
juice food,0.5265
brioche croissant,0.5217
doughnuts site,0.5192
wife,0.518
baking system,0.517
make doughnuts,0.5166
croissant beagle,0.5165
clean neat,0.5157
thought coffee,0.5147
get breakfast,0.5138
breakfast rest,0.5124
year victor,0.5123
waffle sister,0.5039
soda,0.5036
homeless corner,0.5004
fresh fruit,0.498
great deli,0.4959
staffed excellent,0.495
homeless,0.4947
french food,0.4925
apple fritters,0.4921
bakery,0.4919
lady staffed,0.4916
accommodating well,0.4914
plus coffee,0.4886
clean place,0.4877
baking,0.4875
place food,0.486
fruit juice,0.4851
croissant filling,0.4821
breakfast spot,0.4812
freshly fried,0.4811
meat,0.4791
amazing apple,0.4769
coffee juice,0.4765
perfect breakfast,0.4761
roll tasty,0.4753
good simple,0.473
strip bacon,0.4729
made pastry,0.4707
neighborhood bakery,0.4695
food bland,0.4676
year annette,0.4656
welcoming woman,0.4643
delicious milk,0.4591
service,0.4588
simple,0.4576
doughnuts,0.4567
croissant,0.4546
fancy lady,0.4536
lady serving,0.4518
sweetest lady,0.4494
coffee nothing,0.4481
average coffee,0.4448
good cafe,0.4445
waffle service,0.4435
cafe area,0.4365
subway napkin,0.4296
burger,0.4292
taste,0.4271
got donut,0.4248
bacon,0.4244
tea,0.4192
moda coffee,0.417
apple,0.4124
refused service,0.4094
sandwich anything,0.4093
meal suggestion,0.4092
service food,0.4057
victor ever,0.4022
eat thank,0.4016
tried buy,0.4003
going caffe,0.3966
tasty food,0.3939
annette hope,0.3925
uber ride,0.3921
new owner,0.3798
ago caffe,0.3693
bland priced,0.364
google open,0.3564
food average,0.3553
juice definitely,0.3444
go breakfast,0.3432
low food,0.3357
