keyword,weight
coffee,23.9945
wifi,7.3469
great,6.9437
cafe,6.4221
good,3.9506
work,3.3592
bank,3.2586999999999997
awesome,3.1306000000000003
free,2.9826
tea,2.7455
nice,2.3856
internet,2.3488
clean,2.2967
cool,2.1181
feedback,1.8157
friendly,1.6168
café,1.6137000000000001
downtown,1.5529000000000002
drink,1.5466
laptop,1.5188
love,1.4519000000000002
peet,1.3903999999999999
thanks,1.3128
place,1.2970000000000002
card,1.2805
capitol,1.2218
tables,1.2208999999999999
seating,1.1898
perfect,1.1626
happy,1.1498
space,1.1400000000000001
banking,1.0964
hannah,1.0943
ajs,1.0825
idea,1.0328
restrooms,1.0219
coworking,0.9874999999999999
staff,0.9856
rest,0.9189
loved,0.9138999999999999
spot,0.9123
closed,0.9036
vibe,0.8812
temporary,0.8748
nw,0.8708
half,0.853
neat,0.8524
helpful,0.8452
caffeine,0.8412
sit,0.8287
interesting,0.8268
city,0.8256
specialties,0.8224
atmosphere,0.8223
drinks,0.8182
hangout,0.8141
slow,0.8046
pastries,0.7854
fresh,0.7632
professional,0.7562
shop,0.755
waffleaccomplished,0.7447
connection,0.7403
delicious,0.7345999999999999
positive,0.7317
warm,0.7305
meet,0.7266
heard,0.7229000000000001
spacious,0.7004
francisco,0.6985
got,0.6969000000000001
working,0.6960999999999999
waffles,0.6914
food,0.6900000000000001
favorite,0.6898
friend,0.6884
warning,0.6863
terrible,0.6857
caffeinating,0.6722
batter,0.6613
sticky,0.6551
location,0.655
impressions,0.6395
friends,0.6359
accurate,0.6258
helping,0.6191
better,0.6156
fourth,0.6032
cozy,0.5931
roomy,0.5929
cappuccino,0.5716
experience,0.5697
say,0.569
relaxing,0.5662
soon,0.5635
quiet,0.5571
day,0.5539999999999999
inside,0.5508
stopping,0.5466
croissants,0.5464
greet,0.5461
fun,0.5446000000000001
unstable,0.5443
sunny,0.5354
modern,0.5281
study,0.5048
covered,0.4974
average,0.4882
crowded,0.4875
thank,0.4866
discounted,0.48479999999999995
amazing,0.4773
ryan,0.4771
atm,0.47709999999999997
use,0.4743
business,0.4722
knowledgeable,0.4721
pretty,0.4681
bathroom,0.4663
360,0.4645
iced,0.4591
cooler,0.4551
comfortable,0.4504
cecilia,0.4478
mornings,0.4397
environment,0.437
wonderful,0.4341
atms,0.4339
dream,0.4319
downstairs,0.4302
polite,0.4291
50,0.42860000000000004
happiness,0.4282
espresso,0.4263
noisy,0.4255
livin,0.4175
sf,0.4148
ll,0.4124
homer,0.4117
second,0.4102
couldn,0.4098
desk,0.4002
proud,0.3975
safe,0.3953
pillow,0.3943
startups,0.3879
coffeeshop,0.3873
browse,0.3812
shopping,0.3795
customer,0.3774
afternoon,0.3759
party,0.375
lend,0.3746
ice,0.3707
fine,0.3667
supporters,0.3657
arguments,0.3646
transactions,0.3638
financial,0.3622
shirley,0.3599
lol,0.3595
bakeries,0.3521
impossible,0.3513
brewing,0.3476
glad,0.3394
greets,0.3387
meeting,0.3381
terrific,0.3346
lots,0.3345
locks,0.333
usually,0.3321
hidden,0.3319
heat,0.331
summer,0.3263
documented,0.3244
bay,0.3242
agree,0.3234
startup,0.3228
vs,0.3219
things,0.3103
key,0.306
huge,0.3057
rename,0.3031
agendas,0.3031
cash,0.3004
dr,0.2993
bathrooms,0.2979
wait,0.2941
discounts,0.2929
shaie,0.2923
ms,0.2918
duo,0.2909
eat,0.2895
jm,0.2848
insane,0.2845
friendcisco,0.2833
fuzzies,0.2829
problems,0.282
jialing,0.282
talented,0.2816
decent,0.2793
watch,0.2762
effective,0.2728
option,0.2724
best,0.2704
like,0.2668
doc,0.2655
case,0.2643
lady,0.2633
giving,0.2617
soup,0.2607
giant,0.2604
coaster,0.2592
google,0.259
outside,0.2586
bart,0.2579
email,0.2566
discount,0.2559
online,0.2511
wasn,0.2495
quick,0.2484
brew,0.2464
accounts,0.2454
corporations,0.2444
writing,0.2441
built,0.2435
yogurt,0.2363
taco,0.2356
gratitude,0.23380000000000004
complain,0.2338
flipside,0.2324
loud,0.2313
waffle,0.2304
gets,0.23
taking,0.2293
dug,0.226
seats,0.226
loudest,0.2256
pay,0.2255
monthly,0.2254
pass,0.225
credit,0.22369999999999998
cafés,0.2224
trendy,0.2221
welcoming,0.22099999999999997
paypal,0.2165
couches,0.21330000000000002
office,0.2128
closing,0.21050000000000002
2nd,0.2097
clients,0.2088
price,0.2087
priced,0.2086
worst,0.2038
pastry,0.2032
chocolate,0.1961
cheese,0.1946
classy,0.1935
ipad,0.1907
sweet,0.1906
recharge,0.1899
convenient,0.1898
bonus,0.1898
capital,0.1887
stale,0.1867
sandwiches,0.1849
leadership,0.1827
coaching,0.1818
cowork,0.1813
running,0.1799
corporate,0.1771
grouchy,0.177
menu,0.1755
money,0.17509999999999998
serving,0.1749
coolest,0.1728
bummed,0.1726
posting,0.1713
digs,0.1703
taste,0.1669
peggy,0.1641
bills,0.1606
lunchtime,0.1587
flowing,0.1585
stressful,0.1577
cup,0.157
electricity,0.1563
located,0.1563
minutes,0.1563
savings,0.1558
scones,0.154
40,0.154
cards,0.1523
fast,0.144
needing,0.1432
variety,0.1423
uncommon,0.1404
punishment,0.1372
screwed,0.1371
inconsiderate,0.1323
cashier,0.1317
disgusting,0.131
denominations,0.1286
hard,0.1269
salads,0.121
energetic,0.1207
hour,0.1202
did,0.1201
impressed,0.1187
deals,0.1187
woman,0.1184
home,0.11810000000000001
market,0.1175
teams,0.1157
beverages,0.1151
cheaper,0.115
larger,0.1128
tomorrow,0.1082
team,0.1068
month,0.1059
customers,0.1053
bright,0.104
july,0.1039
pop,0.1033
hear,0.1032
store,0.1032
sitting,0.1016
big,0.0971
push,0.0929
bootstrap,0.0911
robot,0.0911
mentoring,0.0891
drinking,0.089
unsweetened,0.0854
everyday,0.0846
repeatedly,0.0841
mess,0.0838
tasty,0.0811
marketing,0.0808
disputing,0.0801
hours,0.0774
today,0.0766
app,0.076
lover,0.0727
ambassador,0.0717
mezzanine,0.0702
tech,0.0687
lattes,0.0686
weekends,0.0683
friday,0.0675
muffin,0.0668
lengthy,0.0647
favorites,0.0641
baristas,0.0572
pregnancy,0.0535
unfortunately,0.0529
plethora,0.0519
metropolitan,0.0518
weeks,0.0494
informative,0.0484
august,0.0455
cafes,0.0452
homemade,0.0437
cardholder,0.0387
earphones,0.0385
affected,0.0338
breach,0.0267
bbb,0.0246
enjoyable,0.0244
dismayed,0.0237
large,0.0233
drove,0.0194
trip,0.0158
tiring,0.0047
faster,-0.0099
banks,-0.0185
parking,-0.0286
awful,-0.0609
missing,-0.0628
neighborhood,-0.0735
