keyword,weight
coffee,22.6817
italian,11.6025
great,10.746
cannoli,9.2659
cafe,7.192
best,6.5448
delicious,6.3017
good,5.8386
espresso,5.3708
nice,5.1575
cappuccino,4.7158
tiramisu,4.0772
tasty,3.8776
italy,3.3055
friendly,3.1736
food,2.8987
pastry,2.7652
place,2.5557999999999996
owner,2.448
service,2.2486
atmosphere,2.2228
excellent,2.1417
pastries,2.1161
amazing,2.1147
dessert,1.8615
cappuccinos,1.8494
cannolis,1.8056999999999999
breakfast,1.7934
café,1.7575
fantastic,1.7165
fresh,1.6696
ok,1.5926
desserts,1.5727
latte,1.4587
orange,1.4356
chocolate,1.4176
cookies,1.2837
awesome,1.2779
francisco,1.2671999999999999
tea,1.2548
sweet,1.2289
beach,1.1892
sandwiches,1.1335
flavor,1.1305
bad,1.1234
expensive,1.1159000000000001
barista,1.0796999999999999
hot,1.0609000000000002
strong,1.0553
wonderful,1.0405
stars,1.0391
drinks,1.0257
delish,1.0
soda,0.9846999999999999
coffees,0.9722000000000001
italians,0.9561999999999999
favorite,0.9288
comfortable,0.9172
love,0.9107000000000001
singing,0.8634
freshly,0.8547
juice,0.8407
10,0.8264
super,0.8032
starbucks,0.8022
macchiato,0.7989
loved,0.7816
jewel,0.778
parade,0.7778
outdoor,0.776
cannolli,0.7362
ambience,0.7166
centered,0.7139
customer,0.7138
capuccino,0.6952
imported,0.6837
staff,0.6788
thank,0.6684
coffeecoffee,0.6462
funny,0.6391
afternoon,0.6374
bakery,0.6354
town,0.6343
bomb,0.6248
awesone,0.6211
relaxed,0.6202
thought,0.6177
desk,0.5943
upstairs,0.5846
canolli,0.5690999999999999
just,0.5654
crispy,0.5514
canolis,0.5462
authentic,0.5418000000000001
toothsome,0.5408
cup,0.5399
arizona,0.5337
enjoyed,0.5314
2022,0.5312
caramelized,0.5312
perfect,0.5277000000000001
hospitality,0.5208
helpful,0.5176000000000001
seats,0.5154
peace,0.5139
rome,0.5138
homemade,0.5133000000000001
eat,0.5127
experience,0.5094
recommend,0.5083
seating,0.5072
cozy,0.5067
canollis,0.5056
restaurants,0.4979
caffe,0.49520000000000003
americanos,0.495
cafes,0.49460000000000004
cakes,0.493
quiet,0.4887
taste,0.4884
shop,0.48560000000000003
weekend,0.4837
watch,0.4832
open,0.479
tuna,0.4692
liked,0.4672
menus,0.4656
tourist,0.4649
treats,0.4637
people,0.4578
apricot,0.4501
asians,0.4464
sweetest,0.4438
restaurant,0.44279999999999997
citrus,0.4413
