keyword,weight
vanilla,1.5699
delicious,1.5636
coffee,1.2381
vanilla latte,1.1768
best,1.0286
wonderful,1.0
best gibraltar,0.9613
best cappuccino,0.9223
happy thanksgiving,0.8957
vanilla syrup,0.8754
better coffee,0.8557
muffin delicious,0.8475
delicious coffee,0.786
make vanilla,0.7838
syrup neat,0.7715
gibraltar town,0.7694
coffee muffin,0.7675
amazing vanilla,0.765
gibraltar,0.7483
thanksgiving,0.7111
white friendly,0.7082
kind people,0.6783
cappuccino ever,0.6693
excellent vibe,0.5977
team kind,0.5875
syrup,0.5839
soon happy,0.5758
friendly team,0.5691
cappuccino,0.5522
thank review,0.5502
even better,0.5479
service delicious,0.5365
flat white,0.5232
town,0.5115
caramel vanilla,0.5025
happy,0.498
better,0.4947
muffin,0.4836
tried caramel,0.401
making syrup,0.3673
ever,0.2585
