keyword,weight
thank,5.4862
soon,2.8058
hope,2.7423
coffee,2.5672
welcome,1.5344
white,0.8763
thanks,0.8457
aleksander,0.8206
jaewon,0.8008
logan,0.7995
edward,0.7791
luna,0.7648
flat,0.7345
pastry,0.6747000000000001
excellent,0.6676
cream,0.6289
enjoyed,0.6211
cappuccino,0.6147
ice,0.5005
pastries,0.4822
meritov,0.4781
bakery,0.4705
josh,0.4107
abigail,0.406
lovely,0.4004
great,0.3932
tea,0.3328
delicious,0.3275
morning,0.3192
flavors,0.3166
shardul,0.3136
impeccable,0.3074
really,0.2931
pour,0.2886
fun,0.2756
lattes,0.2593
love,0.2326
spice,0.2204
sweetened,0.1697
twice,0.1553
best,0.1349
city,0.1201
starter,0.1024
drinks,0.0974
sf,0.0957
prepared,0.0655
enthusiast,0.0523
life,0.0229
sugar,0.0182
drink,0.006
cup,-0.0222
100,-0.0253
ve,-0.0343
