keyword,weight
rude employee,1.0
paid couple,1.0
best chocolate,0.8197
rude,0.8047
paid,0.77
couple,0.7615
sister visiting,0.7606
opening time,0.7595
marked open,0.7457
open manage,0.7365
get opening,0.7142
open,0.6966
moon rising,0.626
chocolate,0.6174
reddish moon,0.6161
night catch,0.6147
tower night,0.6058
sister,0.5994
chocolate come,0.5869
coffee good,0.5595
dog wall,0.5333
prices cheap,0.5323
night time,0.5274
dianne great,0.4993
stopped sister,0.4934
staff food,0.4785
see dog,0.4777
cheap taking,0.4633
visiting town,0.4622
friendly staff,0.4596
employee,0.4476
table coffee,0.4466
coffee even,0.4171
taste prices,0.4159
fantastic man,0.4117
brewed coffee,0.407
