keyword,weight
breakfast,7.5638000000000005
food,3.8842
sandwich,3.134
good coffee,2.9825999999999997
great breakfast,2.9417
tasty,2.851
coffee,2.7392
best breakfast,2.4825
good food,2.4783999999999997
cozy,2.1353
great food,1.9954
breakfast sandwich,1.9075
nice,1.5139
sandwich friendly,1.4939
great sandwich,1.4736
cheap,1.3483999999999998
tasty breakfast,1.3393
breakfast place,1.3227
coffee good,1.2833999999999999
breakfast fresh,1.264
cafe breakfast,1.2353999999999998
reasonable price,1.2246000000000001
california bagel,1.1911
hot coffee,1.1827999999999999
breakfast lunch,1.1473
staff breakfast,1.1341999999999999
place breakfast,1.1168
pancake,1.0777999999999999
breakfast spot,1.0531000000000001
french toast,1.0173
nice site,1.0
real cozy,1.0
loving bagel,1.0
tasty food,0.9532
tasty best,0.9339
love much,0.9283
downtown sf,0.9256
adorable little,0.9249
food reasonable,0.9149
place,0.9103
love,0.9078
place love,0.9018
clean environment,0.8995
lovely place,0.89
adorable,0.8863
service tasty,0.8857
cheap breakfast,0.8795
taste clean,0.8638
service good,0.8621
enjoyed food,0.8611
absolutely adorable,0.8457
lovely,0.8457
cosy cafe,0.839
quick bite,0.8345
ex food,0.8244
clean,0.8165
light meal,0.8147
best place,0.8142
breakfast nice,0.8137
breakfast light,0.812
avocado tomato,0.8114
tuna sandwich,0.8025
good taste,0.8001
good eats,0.7989
inexpensive cafe,0.7979
microwaved breakfast,0.797
real,0.7968
fresh bean,0.7957
croissant buttery,0.7921
tasty cheap,0.7879
morning fried,0.7832
lady kindest,0.7811
delicious bagel,0.781
kindly employee,0.78
sandwich good,0.7798
nice cafe,0.7728
buttery crispy,0.771
sausage swiss,0.7662
cheap good,0.7654
freshly made,0.7652
kindest people,0.7642
hope downtown,0.7621
best,0.7605
croissant breakfast,0.7593
sf,0.7584
egg avocado,0.7581
path cheap,0.7566
breakfast delicious,0.7559
coffee hot,0.7522
pancake yummy,0.7508
delicious food,0.7492
sandwich delicious,0.7488
friendly place,0.7436
nice food,0.732
cafe tasty,0.7301
cooking small,0.727
bagel,0.7259
friendly service,0.7255
food service,0.7253
little place,0.7233
little,0.7197
croissant sausage,0.7173
swiss egg,0.7169
breakfast reasonable,0.7168
food taste,0.7156
cozy ex,0.7083
loving,0.7053
breakfast friendly,0.7044
price correct,0.6966
croissant sandwich,0.6963
tomato bagel,0.6934
egg sunny,0.6929
cozy cafe,0.6922
woman breakfast,0.6893
scrumptious breakfast,0.6875
little breakfast,0.6865
food friendly,0.6836
site,0.6832
nice clean,0.68
every morning,0.6796
cheaper breakfast,0.6778
really cozy,0.6767
good breakfast,0.676
regular bathroom,0.6759
rich accessible,0.6749
bagel breakfast,0.6744
breakfast product,0.6743
freash good,0.6734
coffee helpful,0.6715
lunch shop,0.6675
love food,0.6669
bagel delicious,0.6648
cozy small,0.6643
ate twice,0.6637
downtown cafe,0.6637
style cooking,0.6633
new hope,0.6584
service easy,0.6561
clean place,0.654
nice cozy,0.6477
breakfast stopover,0.647
good expensive,0.6469
cozy place,0.6469
breakfast croissant,0.6464
food good,0.6457
nice place,0.6453
iced coffee,0.636
cute clean,0.6358
enjoyed croissant,0.6354
friendly staff,0.635
delicious staff,0.6327
fast price,0.6321
buttery,0.6305
coffee superb,0.628
bagel latte,0.6276
good,0.6276
downtown,0.6271
fresh juice,0.6264
coffee friendly,0.6223
fav breakfast,0.6209
food great,0.62
sandwich breakfast,0.6174
cheese sandwich,0.616
sandwich pancake,0.6145
good sometimes,0.6139
side pancake,0.613
coffe nice,0.6129
pancake muffin,0.6118
breakfast restaurant,0.6115
decent coffee,0.6094
egg bacon,0.6069
kindest,0.6066
sandwich bagel,0.6066
tasty egg,0.605
good service,0.6047
price delicious,0.6019
shop awesome,0.6014
staff satisfaction,0.6007
bacon sausage,0.5973
good coffe,0.5952
price regular,0.5942
breakfast served,0.5911
breakfast fair,0.5911
lunch,0.5905
need eat,0.5886
delicious fresh,0.5869
pancake coffee,0.5865
microwave menu,0.5855
made sandwich,0.5789
coffee dream,0.578
fried egg,0.5772
hot fresh,0.5741
price food,0.5739
starbucks rushed,0.5706
expensive,0.5697
delicious cafe,0.5689
cheese croissant,0.5674
banana bagel,0.5656
eats,0.5651
honeymoon breakfast,0.5632
clean cafe,0.5621
eggs pancake,0.5616
ande good,0.5608
pay starbucks,0.5596
taste,0.5592
morning,0.5584
ham cheese,0.5577
breakfast sandwhich,0.5554
superfriendly staff,0.5545
cafe,0.5543
simple inexpensive,0.5533
cream cheese,0.5495
breakfast item,0.5451
breakfast snack,0.5423
food lady,0.5399
francisco good,0.5348
price good,0.5311
meal awesome,0.5311
amazing california,0.5295
blt breakfast,0.5293
food freshly,0.5289
tea smoothie,0.5285
got banana,0.5279
san francisco,0.5277
toast delicious,0.5275
breakfast eggs,0.5255
breakfast usa,0.5223
cheese scrambled,0.522
breakfast plate,0.5209
american breakfast,0.5191
hurry work,0.5139
kindly,0.5127
friendly lady,0.5124
tuna,0.5114
good price,0.5103
starbucks,0.51
breakfast two,0.5081
bacon,0.508
meal taste,0.5063
fast good,0.5056
breakfast san,0.5048
bagel egg,0.5018
egg cheese,0.5007
small business,0.4972
half breakfast,0.4958
bathroom rest,0.4956
appreciated,0.4946
breakfast every,0.4935
make breakfast,0.4928
cafe wide,0.4924
coffee great,0.4923
affordable food,0.492
cheap coffee,0.4909
made breakfast,0.4899
lady running,0.4865
lunch cheap,0.4826
great,0.4813
fast,0.4812
used fresh,0.4789
sisters serve,0.4767
bean,0.4754
selection breakfast,0.4752
itty bitty,0.4747
green tea,0.474
type sandwich,0.4731
service big,0.4726
egg pancake,0.4718
staff tuna,0.4715
kind helpful,0.4649
breakfast included,0.4638
breakfast taste,0.4615
helpful staff,0.4609
breakfast without,0.4595
fast service,0.4591
francisco,0.4578
delicious customer,0.4564
egg toast,0.4553
running great,0.4535
sister bagel,0.4478
far delicious,0.4427
fast inexpensive,0.4411
bagel extra,0.4396
freash,0.439
lady always,0.4369
coffee pretty,0.4365
pancake low,0.4337
cafe great,0.4295
good english,0.429
coffee whilst,0.4282
everyday honeymoon,0.4214
breakfast recommended,0.4208
breakfast quick,0.4197
latte okay,0.4187
made coffee,0.4178
nice woman,0.3992
english muffin,0.3987
friendly woman,0.3967
california lady,0.391
muffin lovely,0.3897
wife found,0.3876
ate,0.3857
french,0.3839
twice last,0.3776
sandwich way,0.3774
cool coffee,0.3766
cafe everything,0.3761
spirited ladies,0.3742
wife day,0.3729
california,0.3693
sandwich die,0.368
honeymoon girl,0.364
enjoy meal,0.3634
great neighborhood,0.3533
day cafe,0.352
good local,0.3377
clean freshly,0.3151
