keyword,weight
breakfast,77.3482
food,76.1523
great,33.7628
good,32.8266
service,23.089
delicious,20.8491
friendly,20.323
lunch,10.9395
fast,10.8993
coffee,9.1893
menu,7.8617
excellent,7.4415
tasty,7.2969
pancakes,6.6201
staff,6.5475
cafe,5.6238
nice,5.5865
vietnamese,5.5773
chicken,4.3484
quick,4.1242
steak,4.0192
affordable,3.95
best,3.9013
soup,3.8324999999999996
fried,3.7799
amazing,3.5641000000000003
eggs,3.4545
expensive,3.4083
dishes,3.3802
beef,3.3056
awesome,3.2436
place,3.1734
potatoes,3.1655
lovely,3.1241
noodles,3.0324
efficient,2.9593
burger,2.949
pho,2.7909
rice,2.7699
restaurant,2.7075
perfect,2.7024
prices,2.695
reasonable,2.6386
day,2.6008
crab,2.5742000000000003
bacon,2.4537
eat,2.3688000000000002
hot,2.3209
love,2.3043
fisherman,2.2936
little,2.2108
sandwich,2.2058
american,2.198
dinner,2.1874000000000002
fantastic,2.1790000000000003
eating,2.1421
outstanding,2.1347
clean,2.1187
dirty,2.1078
brunch,2.0895
decent,2.0672
quality,2.0116
loved,1.959
slow,1.854
noodle,1.8266
toast,1.8191000000000002
francisco,1.6984
breakfasts,1.6878
morning,1.6658
diner,1.6360000000000001
seafood,1.5687000000000002
kitchen,1.5499
priced,1.5496
people,1.5469
fresh,1.5127
flavor,1.5084
tourist,1.5064000000000002
cooked,1.4825
happy,1.4771
mornings,1.4161
sandwiches,1.4053
spicy,1.4021000000000001
mediocre,1.3955
meals,1.3924
pork,1.3872
fries,1.3418999999999999
cheese,1.3374000000000001
taste,1.328
wife,1.308
foods,1.2631999999999999
fair,1.255
highly,1.2308
really,1.23
surprisingly,1.2107
tasting,1.1681
try,1.1599
café,1.1366
small,1.1048
price,1.1017000000000001
thank,1.0863
courteous,1.0653000000000001
wonderful,1.0644
stars,1.0461
meal,1.0268
asian,1.0248
okay,1.0
yummy,0.9965
absolutely,0.9956
wharf,0.9793000000000001
big,0.9662999999999999
tastes,0.9544
welcoming,0.9514
ok,0.9453
wait,0.9446
variety,0.9337
soups,0.9272
right,0.9235
options,0.9221
fine,0.9213
generous,0.9071
