keyword,weight
coffee,29.454
food,16.9332
sandwich,16.4749
thank,16.2081
star,15.2828
cafe,12.0347
thank star,11.3303
breakfast,11.1132
great review,10.4032
breakfast burrito,9.5305
good food,9.5001
good coffee,9.4454
great,8.776
thank taking,8.7213
star review,7.9477
great food,7.8694999999999995
park cafe,7.6654
delicious,7.3919
park,6.8569
dolores park,6.6276
coffee good,4.8544
good,4.7928999999999995
thank much,4.5911
much star,4.5764
great coffee,4.5724
great sandwich,4.4780999999999995
give star,4.1937
review star,4.0768
thanks much,4.0727
dining experience,4.0333
egg sandwich,3.9038
good sandwich,3.7541
thanks,3.7173
excellent,3.6784
time review,3.6602
good service,3.6456
great location,3.385
food good,3.3163
burrito,3.2417000000000002
juice,3.2119
neighborhood cafe,3.208
chicken sandwich,3.2039999999999997
star rock,3.1514
coffee food,3.0612
coffee nice,3.0392
service good,3.0308
iced coffee,2.9645
tasty,2.9017
great service,2.8673
love,2.8609999999999998
service,2.8432
thank great,2.8390999999999997
place,2.8375
lemonade,2.7939
grilled cheese,2.7923
cafe good,2.7518
food great,2.7199
appreciate taking,2.6595
vegan,2.6437999999999997
breakfast sandwich,2.6189999999999998
french toast,2.6075
delicious food,2.521
slow,2.4931
view park,2.4895
cup coffee,2.4853
sandwich good,2.471
salad,2.4601
back atcha,2.4596
menu,2.4238
excellent food,2.3697
cute cafe,2.3639
cafe delicious,2.2949
cafe star,2.2725999999999997
chicken salad,2.2705
thank feedback,2.2502
food nice,2.2121
rock,2.2058
nice cafe,2.1744
curry chicken,2.1558
star rating,2.1398
tasty food,2.1389
nice place,2.1254
iced tea,2.1245
little cafe,2.1113
thank giving,2.064
mediocre,2.0413
little pricey,2.0368
sandwich amazing,2.0318
nice staff,2.0137
amazing,1.9977
much great,1.9748999999999999
cheese sandwich,1.9662
food coffee,1.9533
espresso,1.9455999999999998
cafe right,1.9419
slow service,1.9234
lunch,1.9159
healthy food,1.9008
coffee pastry,1.8933
sandwich salad,1.8856
giving star,1.8416
great cafe,1.7752
best,1.7717
excellent coffee,1.762
favorite breakfast,1.7523
taking time,1.7422
expensive,1.7287
delicious coffee,1.7196
thai tea,1.6763
sandwich pretty,1.6616
delicious sandwich,1.6526
free wifi,1.6433
good breakfast,1.6255
healthy tasty,1.6159
tea,1.6068
salad sandwich,1.6038
busy,1.5981
service food,1.5843
coffee shop,1.583
love thank,1.5824
cafe glad,1.5794
delicious organic,1.5487
friendly,1.5424000000000002
chicken,1.5348
thai iced,1.5326
breakfast amazing,1.5301
decent coffee,1.5296
sandwich breakfast,1.5152999999999999
cute,1.5036
always busy,1.4966
appreciate feedback,1.4959
love cafe,1.4757
park great,1.4755
drip coffee,1.4754
shout,1.4665
lettuce cheese,1.466
star back,1.4593
pesto sandwich,1.4432
best thanks,1.4344000000000001
place nice,1.4256
super,1.4057
hey,1.4053
cafe overlooking,1.4018
sit park,1.3911
coffee ok,1.3820000000000001
cheese,1.3797000000000001
review,1.372
coffee tea,1.3719000000000001
sunny,1.3600999999999999
review xx,1.3591
great atmosphere,1.3582
dpc appreciate,1.358
memorable dining,1.3502
star xo,1.3443
appreciate,1.3273
quality coffee,1.3084
worst,1.2998
outdoor seating,1.2884
coffee vibe,1.2839
pricey,1.2805
easy,1.2745
favorite,1.2663
green smoothie,1.2656
cool place,1.2505000000000002
star love,1.2391
happy,1.2284
rate star,1.2237
corner cafe,1.2192
rock rock,1.1963
fresh sandwich,1.1953
brunch menu,1.1934
reasonable price,1.1922000000000001
vegan option,1.1888
glass coffee,1.1834
beer,1.1779
coffee also,1.1767
great breakfast,1.1711
tuna melt,1.1662
smoothie,1.1585999999999999
star dpc,1.1577
across park,1.1558
juicy tomato,1.1555
food ok,1.1418
turkey avocado,1.1284999999999998
roast coffee,1.1216
dpc xx,1.1139000000000001
orange juice,1.1114000000000002
went coffee,1.0992
chocolate,1.0977999999999999
thrilled enjoyed,1.0968
healthy,1.0929
cheese please,1.089
delicious pastry,1.0888
awesome,1.0853
coffee brunch,1.0697999999999999
thank review,1.0634
roast espresso,1.0513
menu great,1.0474
cafe food,1.0364
menu delicious,1.025
coffee roasted,1.0227
coffee great,1.0165000000000002
great place,1.0143
food overpriced,1.0095
busy weekend,1.0081
beet salad,1.0028000000000001
great best,1.0
mid,1.0
thank ernesto,1.0
mint mocha,1.0
super busy,1.0
park beautiful,1.0
thank kiyoung,1.0
lovely,1.0
sarah rock,1.0
excellent place,1.0
expensive flavor,1.0
food expensive,1.0
simple coffee,1.0
food option,1.0
delicious cozy,1.0
decent,1.0
cute place,1.0
friendly environment,1.0
patient order,1.0
xo,1.0
incredible burrito,1.0
convenient,1.0
hey michael,1.0
thanks ry,1.0
value low,1.0
amazing place,1.0
krishna star,1.0
margharitas great,1.0
thanks greg,1.0
thank viajero,1.0
food best,0.9948
star coffee,0.9866
breakfast option,0.9851000000000001
great staff,0.9792000000000001
fantastic food,0.9786999999999999
drink,0.9682
deserve better,0.9662
seating amazing,0.9645
nothing love,0.9644
rancheros spectacular,0.9603
ice cream,0.9598
pleasant employee,0.958
absolutely delicious,0.9572
worst espresso,0.9565
clean bathroom,0.9562999999999999
food excellent,0.9537
green smoothy,0.9536
low,0.9527
michael,0.9519
great lemonade,0.9491
coffee program,0.9445
mediocre food,0.9443
karen,0.9415
avocado,0.9389
stop lunch,0.9384
chef,0.9359000000000001
rude,0.9351
clutch every,0.9303
love coffee,0.9296
mediocre coffee,0.9285
quick bite,0.9284
weekend,0.9273
erich nothing,0.9221
special breakfast,0.9219
eat dolores,0.9192
convenient deserve,0.9189
appreciate review,0.9187
chill breakfast,0.9176
nicola thank,0.9142
great green,0.9125
paritosh back,0.9121
healthiest sandwich,0.912
fun place,0.9119
krishna,0.909
bert appreciate,0.9084
bakery,0.9084
food reasonable,0.9028
beet juice,0.901
cuban latte,0.8981
shout jon,0.8975
cozy,0.8965
really slow,0.8953
dana parkcafegroup,0.8885000000000001
quality food,0.8871
insanely overpriced,0.8871
food delicious,0.887
overpriced great,0.8863
italy thank,0.8852
smoothy juice,0.8851
coveted outdoor,0.883
ok food,0.8788
lemonade brownie,0.8782
nice stuff,0.8777
loved sandwich,0.8766
fruit awesome,0.8754
eating cool,0.8753
deserve,0.8745
upgrade sandwich,0.8718
coffee drink,0.8716
viajero,0.8711
sandwich drink,0.8706
sarah,0.8701
ernesto,0.8692
great quick,0.8688
francisco picnic,0.8675
great espresso,0.8671
thanks shout,0.867
service slow,0.8644
better,0.8629
love cuban,0.8629
grab coffee,0.8616
cedric thank,0.8605
nothing,0.8601
favorite place,0.8593
park coffee,0.8586
greg,0.8585
espresso great,0.8583
excellent location,0.8575
julio star,0.8546
cobb salad,0.8543000000000001
cafe park,0.8529
espresso skip,0.8521
rusty thank,0.851
salad upgrade,0.8507
great music,0.8505
park pleasant,0.8502
feedback alaina,0.8491
paritosh,0.8488
fun,0.8483
frozen margarita,0.8481
happy holidays,0.8466
hey best,0.846
park food,0.8453
coffee bagel,0.8441
overpriced,0.8437
wonderful review,0.8415
okay food,0.8412
nice,0.8407
english muffin,0.8396000000000001
michael thank,0.8395
worst expresso,0.8393
cafe awesome,0.8388
ry,0.8382
perfect location,0.838
juan thank,0.8378
patient,0.8349
ako thank,0.8341
mint,0.8331
coffee disgusting,0.8316
green,0.8302
quick breakfast,0.828
review appreciate,0.8276000000000001
pastry nice,0.8276
atcha,0.8275
love staff,0.8275
order,0.8271
tasty smoothie,0.8254
price high,0.8249
huevos rancheros,0.8243
adam thank,0.8239
location good,0.8233
nice neighborhood,0.8226
kiyoung,0.8206
cool neighborhood,0.8186
location patio,0.8171
busy hot,0.8167
organic good,0.8163
sandwich awesome,0.8163
quick,0.816
know convenient,0.815
nicolas thank,0.8142
avoid weekend,0.8134
cafe love,0.8134
coffee xoxo,0.8132
good menu,0.8132
comes clutch,0.8096
elora thank,0.8093
patio,0.8081
crappy service,0.8077
ice coffee,0.8076
david star,0.8029
val best,0.8029
back,0.8026
apology,0.8024
food awesome,0.8021
breakfast lunch,0.8016
superstar word,0.801
good vegan,0.8009
perfect relax,0.8006
awesome welcoming,0.8004
hey thanks,0.8002
hot hour,0.7998
oatmeal fruit,0.7996
obsessed beet,0.7992
hey steve,0.7983
amazing review,0.7958
steve thanks,0.7957
cafe menu,0.7955
regunathan thank,0.7953
bit crowded,0.7933
impressed coffee,0.7925
food drink,0.7906
beer must,0.7904
service mediocre,0.7899
vanilla coffee,0.7898
austin great,0.7893
mocha,0.789
chaundel thank,0.7884
food quick,0.7876
pleasant,0.7875
victor love,0.7867
every time,0.7867
toast dream,0.7862
bologna sandwich,0.7847
sandra thank,0.7845
lorenzo thank,0.784
fantastic star,0.7836
easy find,0.7821
good lemonade,0.781
love love,0.7794
waitress best,0.7781
star xoxo,0.7771
get salad,0.7771
avocado bacon,0.777
stuff crowded,0.7767
margharitas,0.776
love review,0.7755
scenic view,0.7753
food funny,0.7748
brownie delicious,0.7745
star thanks,0.7739
sf thank,0.7733
spear thanks,0.7732
frill pleasant,0.7729
organic salmon,0.7723
good chicken,0.771
burrito smoothy,0.7703
much superstar,0.7698
lidia thank,0.7696
crowded,0.7671
yummy food,0.7653
beautiful,0.7652
review nicky,0.7641
year somewhat,0.7635
nicola,0.7633
sandwiches salad,0.7631
hi david,0.763
trying breakfast,0.762
comfortable coffee,0.762
delicious dining,0.7617
delicious location,0.7617
