keyword,weight
coffee,30.4157
sandwich,21.1887
thank,19.2257
food,18.5912
star,16.2773
cafe,15.3373
great,15.285
good food,14.0403
great food,13.3736
good,11.9892
thank star,11.9343
breakfast,11.8947
good coffee,11.534699999999999
nice,11.211
thanks,10.5269
great review,10.1775
park cafe,8.5024
great coffee,8.009
breakfast burrito,7.5971
place,7.5572
food coffee,7.222799999999999
thanks much,7.1457
much star,6.4482
brunch,6.0828
tasty,5.8656
breakfast sandwich,5.8182
star review,5.6305
neighborhood cafe,4.9245
best breakfast,4.755
breakfast lunch,4.7435
coffee nice,4.6123
friendly staff,4.6111
dining experience,4.5854
love,4.4867
food great,4.3795
review star,4.3367
smoothy,4.1454
cute,4.0776
thank great,3.9914
delicious,3.9593
thank much,3.8994
giving star,3.8532
star rating,3.7876
coffee great,3.7287999999999997
nice place,3.6896
ice cream,3.6217
time review,3.6079000000000003
coffee good,3.5895
lunch,3.4970999999999997
service,3.4762
thank taking,3.4272
coffee shop,3.3912
cute cafe,3.3631
memorable dining,3.1898999999999997
park,3.158
salad,3.1470000000000002
chicken salad,3.0909
egg sandwich,3.0793
vegan,2.9755000000000003
friendly,2.9736000000000002
great service,2.9367
outdoor seating,2.9042
valued guest,2.8727
little cafe,2.8063000000000002
nice cafe,2.7771
delicious food,2.7679
dog friendly,2.7102
great place,2.7074
food good,2.6789
tasty food,2.6281999999999996
turkey bacon,2.6275
star xo,2.6180000000000003
sandwich good,2.5601000000000003
food excellent,2.5594
sandwich salad,2.5471
slow,2.512
good breakfast,2.4798999999999998
tasty breakfast,2.4239
thank giving,2.4099
thank valued,2.3841
thanks star,2.3747
delicious dining,2.3514
coffee breakfast,2.327
coffee sandwich,2.3085
great breakfast,2.3031
kind thank,2.2617
avocado,2.2510000000000003
food option,2.2209
good sandwich,2.2118
cafe tasty,2.1993
enjoyed meal,2.1801
nice spot,2.1794000000000002
nice staff,2.1676
outside,2.1668
much great,2.1662
thanks great,2.1621
delicious sandwich,2.1546
english muffin,2.1119
star rock,2.098
curried chicken,2.0851
food nice,2.0492
grab coffee,2.0123
com thank,2.0087
great atmosphere,2.0
give star,1.9754
pizza,1.9692
toast,1.9561000000000002
lunch coffee,1.9540000000000002
cafe good,1.9522
good smoothy,1.917
fresh food,1.9111
pricey,1.9055
avocado shake,1.8753000000000002
dog park,1.8571
cup coffee,1.8155000000000001
charming cafe,1.8109
tasty smoothy,1.799
sandwich breakfast,1.7969
lovely staff,1.7869000000000002
vegan option,1.7706
pleasant,1.7567
taking time,1.7437
sunny,1.7274
staff delicious,1.7269
atmosphere,1.6892
awesome,1.673
food fantastic,1.6655
nicolas thank,1.662
breakfast brunch,1.6367
nice food,1.6332
thrilled enjoyed,1.6227
nice location,1.6222
cafe glad,1.6186
hosting near,1.6122
clean friendly,1.6104
delicious breakfast,1.6051
french toast,1.6032
expensive,1.5937999999999999
delicious coffee,1.5935000000000001
coffee food,1.5792
place brunch,1.5739999999999998
roast coffee,1.5699
thoughtful review,1.5577999999999999
chicken sandwich,1.549
coffee delicious,1.5368
thank thoughtful,1.5329
sandwich service,1.5279
free wifi,1.5233
sandwich nice,1.5225
healthy food,1.5141
great location,1.5057
cafe great,1.5004
star love,1.4938
review love,1.4891999999999999
coffee refill,1.487
awesome cafe,1.4759
perfect,1.4758
turkey sandwich,1.4485999999999999
baked good,1.4458
best,1.4453
curry chicken,1.4424000000000001
overpriced,1.432
favorite,1.4297
breakfast food,1.4241
spot,1.4184
pear smoothy,1.4116
excellent food,1.4105999999999999
coffee bagel,1.401
review xo,1.3942
spot coffee,1.3881000000000001
nice outdoor,1.3821
outside seating,1.3763
drink food,1.3688
pastry friendly,1.3681
cream,1.3589
sunny day,1.3580999999999999
curry sandwich,1.3561
ok food,1.3462
nice breakfast,1.3436
excellent coffee,1.339
wonderful review,1.3331
nice atmosphere,1.3238
enjoying cafe,1.3221
healthy,1.3155000000000001
appreciate taking,1.3037999999999998
david,1.2997
loved food,1.296
amazing food,1.2875
veggie sandwich,1.2825000000000002
lovely,1.2824
name thank,1.2772000000000001
time give,1.2685
good cafe,1.2629
cranberry curry,1.2602000000000002
bacon,1.2565
corner cafe,1.2471999999999999
dog,1.2345
sandwich delicious,1.2337
coffee friendly,1.2313
beer,1.223
tasty sandwich,1.2207
food super,1.2115
friendly neighborhood,1.2074
wifi,1.2
english,1.1961
local,1.196
muffin,1.1953
drink,1.1938
coffee pastry,1.1902
avocado toast,1.19
salad sandwich,1.1882000000000001
super cozy,1.1861
place breakfast,1.1844999999999999
customer service,1.1842
thank bringing,1.1824
tuna melt,1.1802000000000001
really,1.1791999999999998
iced coffee,1.1646999999999998
stellar review,1.1623999999999999
food ice,1.1599
lunch food,1.1561
ice,1.1531
coffee dined,1.1453
local cafe,1.1446999999999998
improvement thank,1.1397
cafe love,1.1385
food poisoning,1.1369
cafe breakfast,1.1365
flavor,1.1351
pear,1.1322999999999999
weekend,1.1305
room improvement,1.1192
cobb salad,1.112
cheese,1.1106
coffee strong,1.1104
tasted great,1.1101
coffee snack,1.0967
beer wine,1.0935
roasted coffee,1.0926
bread,1.0915
coffee decent,1.0882
