keyword,weight
good,4.7214
good service,4.4518
service,3.3494
coffee,3.2226
orange juice,2.6208
juice,2.4815
ice cream,1.8352
friendly,1.7685
food,1.5671
smoothy,1.5198
delicious,1.3942
natural orange,1.3345
thank feedback,1.3266
excellent coffee,1.246
sandwich,1.2239
hot dog,1.0013999999999998
clean place,1.0
best,1.0
delicious appetizing,1.0
nice,1.0
quiet,1.0
mmm,1.0
great smoothy,1.0
opens,1.0
warms soul,1.0
friendly people,1.0
well,1.0
excellent attention,1.0
clean,0.9806
spacious ample,0.9774
service friendly,0.973
ample space,0.963
cream cheese,0.9624
cheese,0.9598
good food,0.9526
excellent,0.9321
spacious,0.9266
heccelente good,0.921
coffee service,0.9127000000000001
warms,0.9014
fresh juice,0.9007
early great,0.8944
amazing pastry,0.8863
love dog,0.886
caramel vanilla,0.8839
ample,0.8739
best coffee,0.8728
juice smoothy,0.8702
service everything,0.864
open early,0.8582
rich coffee,0.8495
bagel coffee,0.8466
attention,0.8425
appetizing,0.8319
variety food,0.8291
food service,0.8274
great,0.8201
early,0.8072
juice freshly,0.8048
open,0.8029
coffee smoothie,0.7981
cream juice,0.7881
free coffee,0.7854
great price,0.7852
soul,0.7753
earlier noon,0.7715
coffee need,0.7587
noon expect,0.755
smoothie sandwich,0.7486
sandwich ice,0.7337
chicken beef,0.7292
juice fresh,0.7285
wayyyyyyyyyy earlier,0.7251
nice breakfast,0.7236
dog picture,0.7218
vanilla,0.7212
caramel,0.7206
cold morning,0.7181
treatment lady,0.7126
coffee shop,0.7101
put caramel,0.7097
service poor,0.7064
beef tamale,0.7016
cheese beagle,0.6986
good bagel,0.6897
meal coffee,0.6891
sell caffeine,0.6804
people,0.6791
place,0.6728
noon,0.6719
caffeine free,0.6703
loved orange,0.6661
close wayyyyyyyyyy,0.6622
saturday afternoon,0.6589
cozy cold,0.6577
smoothy ice,0.6547
lady morning,0.6506
dog,0.6505
ordered chicken,0.6493
free wifi,0.6455
delicious natural,0.6453
july apologize,0.6451
everything,0.6427
pastry drink,0.6423
heccelente,0.6412
morning cuz,0.6372
service badly,0.6356
provide good,0.6354
cream,0.6337
warm cozy,0.6321
coffee good,0.632
pastry excellent,0.628
sandwich lunch,0.6259
excellent free,0.6259
afternoon got,0.6245
free wi,0.6235
pastry,0.6212
wifi warm,0.6187
smoothy mission,0.6169
caffeine,0.6161
service variety,0.6152
pastry stale,0.614
fast wifi,0.6121
feedback love,0.604
breakfast place,0.6036
cheese sandwich,0.6034
freshly squeezed,0.6021
badly durty,0.5993
afternoon,0.5989
lady,0.5989
microwave taste,0.5985
service internet,0.5976
delicious blueberry,0.5949
surprise bagel,0.5904
starbucks,0.5894
breakfast lunching,0.5893
coffee many,0.587
poor,0.5867
restroom employes,0.5836
rich,0.5833
coffee god,0.5831
flavorful cofcee,0.5813
went saturday,0.5797
cream pastry,0.5783
experience morning,0.5729
coffee mexican,0.5705
fun pasteries,0.5696
homeless drug,0.5666
quick thank,0.5663
coffee breakfast,0.5642
service amazing,0.5636
every day,0.5634
rude customer,0.5627
taco bell,0.562
cup mexico,0.5614
morning leaf,0.5608
fresh carrot,0.5584
lot desired,0.5573
juice cake,0.5549
coffee smoothy,0.5527
starbucks go,0.5502
shop mission,0.5486
wi fi,0.5462
personally loved,0.5458
heated microwave,0.5436
bagel cafe,0.5433
pasteries fast,0.5425
counter lunchtime,0.541
lunching,0.5382
morning important,0.5363
blueberry smoothie,0.5361
internet,0.536
kick starbucks,0.5342
space,0.5342
july,0.5338
breakfast burrito,0.5309
lunching etc,0.5274
starting day,0.5214
week fresh,0.5211
beagle ham,0.5207
fresh orange,0.516
coffee bagel,0.5156
may soccer,0.5151
open every,0.5142
shrimp good,0.5142
peace samdog,0.5115
chocolate natural,0.5104
coffee cake,0.5091
hungry hoppo,0.5087
wifi great,0.506
enjoy meal,0.5056
pastry sandwich,0.5023
soccer world,0.4998
great service,0.498
tamales many,0.4957
stuffed cheese,0.4956
hello hungry,0.4939
free,0.493
lunchtime walk,0.4912
cake hot,0.491
beef,0.4878
punto open,0.4876
juice ice,0.4875
cashier hot,0.4869
coffee establishment,0.4862
daytime tv,0.4845
hot tea,0.484
nice food,0.4837
hot chocolate,0.4836
need introduction,0.4815
diaper changed,0.4807
buzzed cashier,0.4799
order breakfast,0.4799
tasty treat,0.4795
shop,0.474
cafetazo drink,0.4736
work tirelessly,0.4735
overall cleanliness,0.472
cofcee tasted,0.4711
tomato employee,0.4698
product worth,0.4684
cheese waste,0.4628
sandwich coffee,0.4626
strong coffee,0.4623
smile free,0.4602
ask cream,0.4573
piece shrimp,0.4552
world cup,0.4546
amazed coffee,0.4522
great job,0.4509
afternoon delicious,0.4472
francisco homeless,0.4408
needed diaper,0.4368
host tasty,0.4357
homeless,0.4351
try staff,0.4322
cheap price,0.4312
customer terribly,0.4294
make tamale,0.429
cheese onion,0.4269
lunchtime,0.4261
cheese bell,0.4246
good coffee,0.4242
sandwich would,0.4226
change thank,0.422
bagel bad,0.4213
bad food,0.4197
tamales,0.4175
bagel happy,0.4175
tamale sandwich,0.416
