keyword,weight
coffee,7.1741
sandwich,6.5907
food,6.171
good food,4.137
chicken sandwich,4.0962
cafe,3.8727
breakfast,3.227
food coffee,2.9332000000000003
tasty,2.6502
good,2.4239
love,2.418
chicken,2.1384
bagel sandwich,2.0008
great food,1.9523000000000001
friendly staff,1.9355
great cafe,1.7584
neighborhood cafe,1.5946
neighborhood,1.4871
food great,1.476
delicious,1.4545
sandwich delicious,1.3979
buffalo chicken,1.3422
local,1.3067000000000002
great,1.1987
cheese,1.1794
egg cheese,1.1631
coffee reasonable,1.1253
good coffee,1.1057000000000001
breakfast bagel,1.0546
great coffee,1.0229
love place,1.0
essentially,1.0
outstanding breakfast,1.0
amazing,1.0
delicious love,1.0
hella local,1.0
begrudgingly,1.0
neighborhood spot,1.0
beans,1.0
good pastry,1.0
ok,1.0
everything good,0.9824
love coffee,0.9719
excellent food,0.9595
pastrami sandwich,0.9588
food awesome,0.9568
food nice,0.9407
quick service,0.9378
menu price,0.9354
cute local,0.9221
friendly quick,0.9159
food positive,0.9017
hot chocolate,0.8974
hella,0.8928
coffee cold,0.8877
healthy food,0.8846
sandwich wow,0.8779
tasty dish,0.8773
coffee stay,0.8773
breakfast starts,0.8716
good italian,0.8702
horrible food,0.8686
goid coffee,0.8643
chai tea,0.8609
madamas tasty,0.858
nice people,0.8573
good like,0.8549
coffee acidic,0.8548
disrespectful staff,0.851
breakfast brunch,0.849
italian syrup,0.8486
grill chicken,0.8473
friendly,0.8467
variety breakfast,0.8453
food disrespectful,0.8414
coffee service,0.8347
tasty food,0.8254
coffee good,0.8237
tea,0.8194
coffee much,0.8177
dish hospitality,0.8143
grab coffee,0.8127
always wonderful,0.8113
chocolate chai,0.8083
reflect menu,0.807
everything,0.8039
menu,0.8026
awesome atmosphere,0.8022
coffee bakery,0.7977
service tasty,0.796
local hangout,0.7954
staff fresh,0.7952
pastry,0.7909
service amazing,0.7886
gourmet coffee,0.7822
spot,0.7794
wonderful customer,0.7785
coffee wonderful,0.7694
hospitality service,0.7684
food reasonable,0.7619
sandwich yummy,0.7607
awesome coffee,0.7591
love foul,0.7587
like much,0.7581
cheese sandwich,0.758
fresh ingredient,0.7576
spot breakfast,0.7502
amazing everything,0.7491
quick,0.7477
cold beverage,0.7451
cheese pretty,0.7373
foul madamas,0.7371
city high,0.7313
egg sandwich,0.7305
cute,0.727
loved staff,0.7227
high everything,0.7199
free wifi,0.7165
local cafe,0.7118
think coffee,0.7106
price reflect,0.7095
delicious food,0.7077
best coffee,0.7007
great sandwich,0.6969
italian,0.6948
style healthy,0.6935
great chicken,0.6933
bakery food,0.6929
place,0.6928
sandwich breakfast,0.6912
working laptop,0.6904
service,0.6855
good bagel,0.6848
awesome pastries,0.6841
love grill,0.6817
wonderful egg,0.6815
spacious tasty,0.6813
local neighborhood,0.6813
disrespectful,0.6774
nice,0.676
food free,0.6731
coffee excellent,0.6726
starts early,0.6711
positive energy,0.6651
coffee fresh,0.6613
basic coffee,0.6578
latte loved,0.6574
salad bagel,0.6571
price,0.6557
beer wine,0.6492
flavorful coffee,0.6461
pastries gourmet,0.6458
awesome,0.6444
healthy,0.6406
menu breakfast,0.6342
relaxing atmosphere,0.6339
cafe basic,0.6336
coffee breakfast,0.6323
seem high,0.6317
try chai,0.6315
high,0.6302
old chicken,0.6257
overpriced breakfast,0.6244
ingredient definitely,0.6243
tried always,0.6238
everything tried,0.6207
sandwich place,0.6198
brunch neighborhood,0.6196
coo local,0.6128
cafe great,0.6124
chilly inside,0.6113
laptop,0.6101
staff relaxing,0.6098
cream cheese,0.6089
good service,0.6077
perpetual soccer,0.6075
horrible,0.6049
early,0.6049
boardgames perpetual,0.6047
loved speaking,0.6009
acidic,0.6004
bagel cream,0.5989
good people,0.5982
garden burger,0.597
great staff,0.5947
coffee bagel,0.5934
great neighborhood,0.5902
syrup,0.5892
hangout,0.587
bagel egg,0.5866
home made,0.586
everything city,0.5823
city sandwich,0.5822
everyone comfortable,0.5816
morning sandwich,0.5809
salad potato,0.5802
coffee quiet,0.5802
brunch,0.577
beverage,0.5759
fresh,0.5738
strong coffee,0.5737
stomach ache,0.5723
madamas,0.5647
potato salad,0.5638
wonderful service,0.5637
salad chip,0.5633
macaroni potato,0.5627
starbucks mcdonalds,0.5626
stay,0.5603
visit cafe,0.5594
coffee lemon,0.5592
tasty good,0.5584
chilly outside,0.5582
