keyword,weight
coffee,3.6725
great coffee,1.7085
hot chocolate,1.5436
cup coffee,1.4764
caramel,1.0291000000000001
thank much,1.0
perfect coffee,0.9811
thank,0.9705
hour closed,0.9245
chocolate,0.913
money overpriced,0.908
hot cocoa,0.8689
coffee slow,0.8666
size allsizesmatter,0.8519
difficult finish,0.8338
big difficult,0.8192
much,0.8117
best caramel,0.7989
overpriced,0.7682
hour,0.7584
waste money,0.7517
open hour,0.7434
overpriced starbucks,0.7372
difficult,0.7271
tasting coffee,0.7241
size oz,0.7037
best coffee,0.698
closed,0.6962
iced tea,0.6895
iced latte,0.6889
cocoa,0.6864
enjoying mocha,0.6842
caramel macchiato,0.6817
caramel latte,0.6785
slow service,0.667
really big,0.6591
convenient location,0.6566
coffee bad,0.6477
decent cup,0.6461
asking size,0.6458
big,0.6401
picture perfect,0.6394
nice coffee,0.6336
allsizesmatter,0.6279
coffee lover,0.6202
coffee service,0.6192
friendly service,0.6139
starbucks certainly,0.61
soda sister,0.6043
ice coffee,0.5996
best tasting,0.5962
also convenient,0.5957
friendliest barista,0.5909
perfect,0.5899
nice iced,0.5872
coffee went,0.5868
bottled iced,0.5847
friendly,0.5749
thank enjoying,0.5713
approved hot,0.5707
service great,0.5688
chocolate decent,0.5677
waste,0.5612
close coffee,0.5576
oz like,0.5525
went,0.552
convenient,0.5516
consistent quality,0.5499
latte typical,0.5458
italian soda,0.5426
keep consistent,0.5362
coffee white,0.5349
friendly staff,0.5335
starbucks,0.5307
coffee area,0.5293
money,0.5283
tea offer,0.5264
charlie approved,0.5191
chocolate delightful,0.5093
enjoying,0.5032
tea,0.4938
open coffee,0.478
cup tap,0.4769
coffee ordered,0.4755
cream italian,0.4744
creation caramel,0.4715
tea latte,0.47
best latte,0.4539
mother enjoyed,0.4448
little overpriced,0.4265
book lover,0.4224
price tourist,0.4211
hot,0.4111
chai tea,0.4056
male barista,0.4045
sister mother,0.4039
lazy weekend,0.3987
iced,0.3986
chocolate amazing,0.3933
happy male,0.3884
wait customer,0.3848
menu look,0.3777
server,0.3763
mocha perfect,0.3737
friendly barista,0.3689
one server,0.3537
expected touristy,0.3498
perfect lazy,0.3453
early morning,0.3353
perfect stroll,0.334
server long,0.3272
picture,0.3187
sarcastic thank,0.3117
go three,0.3082
great pick,0.2927
thanks service,0.2204
drinks ok,0.1635
