keyword,weight
sandwich,24.351
coffee,23.9129
breakfast sandwich,22.3765
breakfast,16.086
vietnamese sandwich,8.6417
delicious,8.4685
vietnamese coffee,8.128
iced coffee,7.6974
good coffee,6.4322
great coffee,6.149
great food,5.8414
good food,5.7573
friendly,5.5857
mi sandwich,5.1108
sandwich coffee,4.952
chicken meatball,4.931
great,4.8172999999999995
food great,4.6559
mi,4.1988
bbq chicken,4.0324
tasty,3.9323
cafe,3.9313000000000002
best breakfast,3.9261
good,3.8243
bacon egg,3.6909
bacon,3.5017
coffee breakfast,3.458
food,3.3301
banh mi,3.2422
best,3.2273
bahn mi,3.2207
breakfast lunch,3.1990999999999996
sandwich good,3.1887
great breakfast,3.1338
super friendly,3.1192
bbq pork,3.0918
coffee sandwich,3.0901
food good,3.0523
chicken,3.0418000000000003
sandwich great,3.0293
egg cheese,2.8944
coffee shop,2.8782
good breakfast,2.8458
bahn,2.7949
friendly owner,2.6672000000000002
food coffee,2.6552000000000002
delicious food,2.5675
amazing,2.5347
cheap,2.5303
coffee friendly,2.4785
breakfast coffee,2.4685
fast friendly,2.396
reasonable price,2.3847
bacon avocado,2.3726000000000003
coffee great,2.3557
friendliest,2.3372
coffee best,2.3053
coffee good,2.3016
delicious breakfast,2.2686
great sandwich,2.2551
sandwich shop,2.2151
coffee delicious,2.209
lunch,2.2073
affordable price,2.1599
banh,2.144
meatball avocado,2.1398
viet sandwich,2.1216999999999997
coffee food,2.0855
vietnamese iced,2.0811
amazing breakfast,2.0169
great place,2.0
yum,2.0
excellent,2.0
breakfast croissant,1.9757
cheese bagel,1.9729
excellent breakfast,1.9724
vietnamese,1.9664000000000001
best banh,1.9522
fresh brew,1.9155
try chicken,1.8923
sandwich owner,1.8881000000000001
great bahn,1.8652
place breakfast,1.8618000000000001
friendly staff,1.8389
food delicious,1.8148
strong coffee,1.8128
sandwich ever,1.7992000000000001
sandwich perfect,1.774
breakfast bagel,1.7674
tasty food,1.7247
breakfast best,1.7128
cup coffee,1.6652
fast,1.6591
best sandwich,1.6442
pork,1.6362999999999999
meatball bahn,1.6298000000000001
reasonable,1.6263999999999998
cafe great,1.6178
amazing coffee,1.5964
delicious banh,1.5925
place,1.5884
closed wednesdays,1.5788
service great,1.5651000000000002
affordable breakfast,1.5433
bread crispy,1.524
quick breakfast,1.5179
cheap good,1.5072
amazing food,1.4994
bagel sandwich,1.4745
sandwich smoothy,1.4739
coffee nice,1.4722
favorite place,1.4665
friendliest owner,1.4664
boba tea,1.4638
style sandwich,1.4592
tasty coffee,1.4536
affordable,1.4476
great bread,1.442
mi breakfast,1.4359000000000002
iced vietnamese,1.4353
service good,1.4324
price,1.4316
great vietnamese,1.4297
best bahn,1.4222000000000001
coffee tasty,1.4198
sandwich friendly,1.4158
perfect breakfast,1.4154
coffee awesome,1.4115000000000002
service delicious,1.3856
good service,1.3761
coffee perfect,1.3393
good price,1.3377000000000001
ice coffee,1.3291
vietnam,1.3215
great customer,1.3178
bread,1.3003
sandwich bread,1.2892000000000001
green tea,1.2819
best coffee,1.2664
friendly people,1.2610999999999999
tasty breakfast,1.255
place delicious,1.2518
quality food,1.2517
food amazing,1.2448000000000001
fresh bread,1.2358
mi delicious,1.2357
pork sandwich,1.2265
best vietnamese,1.2257
one best,1.2182
cheese breakfast,1.2149
best bbq,1.1948
san francisco,1.1912
breakfast vietnamese,1.1873
good vietnamese,1.1832
always delicious,1.1618
chicken sandwich,1.157
breakfast city,1.1465
highly recommend,1.1446999999999998
food service,1.1444
bagel breakfast,1.1421000000000001
