keyword,weight
coffee,14.1197
good coffee,5.8047
sandwich,4.9604
cafe,4.478899999999999
great coffee,4.4429
breakfast sandwich,4.1837
avocado toast,4.1648
thanks,4.0235
avocado,3.269
breakfast,3.1446
salmon toast,3.0018
delicious coffee,2.9483
glad enjoyed,2.8651
thanks stopping,2.7668
good food,2.6995
good,2.6921
delicious,2.6575
mi sandwich,2.5487
coffee good,2.4044
great food,2.3281
friendly staff,2.3131
banana bread,2.3045999999999998
see soon,2.1471999999999998
sandwich good,2.0667999999999997
tea,2.056
new year,2.0052000000000003
coffee great,1.888
tasty food,1.863
food delicious,1.8059
bacon,1.7588
best,1.7297
food coffee,1.7158
coffee snack,1.7117
kind word,1.7019
thanks coming,1.6731
coffee shop,1.6341
coffee breakfast,1.6192
thank,1.5405
awesome coffee,1.4904000000000002
lunch,1.4661
food nice,1.4609999999999999
kind,1.4402
bagel,1.424
food,1.4239
coffee delicious,1.4101
coffee food,1.4083
coffee lovely,1.3934
friendly,1.3865
plenty seating,1.382
stopping glad,1.3675000000000002
food genuinely,1.3574
tea coffee,1.3536000000000001
favorite cafe,1.3528
coffee tea,1.3523
waffle delicious,1.327
vietnamese coffee,1.3119
happy new,1.3024
sweet,1.2862
egg avocado,1.2588
sweet food,1.2259
strawberry,1.2146
espresso,1.2116
nice neighborhood,1.1934
rich coffee,1.1915
nice coffee,1.1676
snack,1.1365
little cafe,1.1294
chagaccino,1.1254
neighborhood coffee,1.1052
great service,1.105
everything great,1.0994
visiting cafe,1.0786
vegetarian vegan,1.032
delicious pastry,1.0081
aight,1.0
best best,1.0
ewwwww,1.0
best polk,1.0
aww thanks,1.0
best coffee,0.9849000000000001
friendliest staff,0.9813000000000001
food drink,0.9803000000000001
great banh,0.9494
everything exceeded,0.9494
sandwich coffee,0.9426
food good,0.9351
stopping,0.9332
incredibly slow,0.9318
delicious sweet,0.9314
good espresso,0.9294
excellent bagel,0.9269
cafe good,0.9126
waffles good,0.9088
sweet people,0.9032
local quiet,0.9028
salmon,0.9019
joe like,0.8997
thanks joe,0.8997
loyal customer,0.8953
place breakfast,0.8919
thanks hanging,0.8899
amazingly delicious,0.8896
slow,0.8826
moldy taste,0.8793
quality tea,0.8751
liege waffles,0.8694
exceeded expectation,0.8678
enjoyed drink,0.8674
made quiche,0.8623
swinging glad,0.8586
good small,0.8561
quiet good,0.8527
banh mi,0.8495
enjoyed everything,0.8478
liked chagaccino,0.8429
house made,0.8416
small,0.8358
small portion,0.8347
best pomegranate,0.8344
coffee always,0.8317
everything fresh,0.8314
chagachino thanks,0.8283
everything,0.8244
pomegranate tea,0.8244
aww,0.8229
shubhit loyal,0.8208
thank kind,0.8192
cafe brew,0.8181
glad love,0.8151
exceeded,0.8124
banh,0.8123
decent coffee,0.8111
sorry hear,0.8109
thanks swinging,0.8044
address team,0.8036
hear address,0.8026
great,0.8021
good price,0.8011
enjoyed meal,0.801
quiet,0.8009
place sandwich,0.8007
sandwich tasty,0.8004
thank shubhit,0.8
joe,0.7998
bagel bit,0.7967
michael hope,0.7952
quality coffee,0.7948
good sandwich,0.7932
strawberry cream,0.7918
waffle amazing,0.7891
everyone sweet,0.7868
excellent sandwich,0.7859
deejay hope,0.7859
light lunch,0.7849
making home,0.783
house,0.783
thanks deejay,0.782
excellent cafe,0.7817
strawberry waffle,0.7815
bagel lox,0.7789
coming kind,0.7784
mi,0.7772
made love,0.7743
enjoyed strawberry,0.773
quiche,0.7715
delicious matcha,0.7705
thanks michael,0.7704
think cafe,0.7699
waffles,0.769
loyal,0.7665
quick coffee,0.766
polk,0.7649
always willing,0.7624
memorial day,0.7593
oat milk,0.7575000000000001
clean bathroom,0.7574
coffee ok,0.7572
away home,0.7566
sandwich amazing,0.7564
love quiche,0.7545
coffee patio,0.7543
home away,0.7537
menu cafe,0.7514
hope,0.7513
enjoyed avocado,0.7512
made,0.7503
coffee okay,0.7496
hope see,0.748
made banana,0.7435
meal thanks,0.7434
lunch great,0.7424
enjoyed coffee,0.7413
good service,0.7399
brew chai,0.7397
staff tasty,0.7392
white disappoint,0.7383
love,0.737
toast bacon,0.7364
food easy,0.7363
avocado croissant,0.7346
cafe also,0.734
bit moldy,0.7272
ok waffle,0.7271
coffee croissant,0.7269
great people,0.7259
phenomenal coffee,0.7251
good internet,0.7249
waffle sandwich,0.72
nice people,0.718
delicious salmon,0.7179
nice cafe,0.717
think bit,0.7167
hanging,0.7158
oatmeal avocado,0.7156
flat white,0.7135
enjoyed,0.7115
egg bacon,0.7103
perfect avocado,0.7103
patio enjoy,0.7094
coffee seating,0.7092
chocolate muffin,0.7066
cream waffle,0.7059
glad,0.7046
delicious chicken,0.7044
grab coffee,0.7042
food favorite,0.7041
excelent lunch,0.7032
food menu,0.703
fresh made,0.7029
light breakfast,0.7014
sandwich delicious,0.7007
menu glad,0.7006
best breakfast,0.6999
enjoyed cafe,0.6998
sorry,0.6985
home,0.6974
food mediocre,0.6968
enjoying cappuccino,0.694
love coffee,0.6938
expectation,0.6934
eats drink,0.6933
amazing herbal,0.6928
liked sandwich,0.6918
taste,0.6913
iced creamy,0.6907
fresh,0.6897
raspberry cinnamon,0.6895
address,0.6885
liked food,0.6883
customer favorite,0.6882
veggie cheese,0.6872
sandwich thanks,0.6864
moist banana,0.6859
bacon egg,0.6843
breakfast excellent,0.6826
soon happy,0.6826
holiday,0.682
wanted bacon,0.6813
food great,0.6798
happy tea,0.6795
day holiday,0.6779
sunrise waffle,0.6775
best chocolate,0.6774
taste salmon,0.6771
spending memorial,0.6761
favorite breakfast,0.6753
try eats,0.6745
staff,0.6722
seating limited,0.6681
family enjoyed,0.6675
glad liked,0.6665
chagaccino convert,0.6661
lovely coffee,0.6646
owner bathroom,0.6644
drink,0.6619
staff always,0.6618
coffee small,0.6605
dessert friendly,0.6599
soon,0.6585
deejay,0.6583
toast vietnamese,0.6571
love cook,0.6554
visit soon,0.6542
waffle bacon,0.654
local bakery,0.6538
coffee usually,0.6535
yummy dessert,0.6534
glad family,0.6532
free wifi,0.653
mediocre seating,0.6521
herbal tea,0.6519
coffee study,0.6512
tasty bahn,0.6505
nice brunch,0.6497
order wrong,0.6493
homey atmosphere,0.648
cheese quiche,0.648
shop cafe,0.6468
coffeeshop meal,0.6468
good vibe,0.6463
angela,0.6452
seasoned avocado,0.6446
warm oatmeal,0.6446
bread delicious,0.6431
snack service,0.6422
iced chagaccino,0.6413
waffle,0.6409
breakfast nice,0.6404
enjoyed talking,0.6396
delicious mushroom,0.6393
pomegranate,0.6382
sugar free,0.6379
waffle avocado,0.6365
excellent coffee,0.6361
cheaper many,0.6353
espresso coffee,0.635
decent bahn,0.6347
honey salmon,0.6339
thanks spending,0.6331
weather nice,0.6312
tasty mocha,0.6309
sandwich hit,0.6306
