keyword,weight
coffee,10.1689
beans,4.9706
best,2.25
roast,1.7294
espresso,1.3251
rich,0.9371999999999999
roasts,0.9077999999999999
roaster,0.6971
shop,0.5501
roasted,0.547
francisco,0.5019
roastery,0.4968
sweetest,0.4831
city,0.45899999999999996
roasters,0.4379
friends,0.4082
wife,0.4031
san,0.3827
outstanding,0.3672
cute,0.3661
sf,0.3655
company,0.365
amazing,0.3646
beach,0.3617
favorite,0.3471
rare,0.3426
owner,0.33449999999999996
years,0.32439999999999997
consistently,0.3124
tasted,0.3098
usa,0.2599
mediocre,0.2599
bay,0.2414
overrated,0.234
store,0.2227
institution,0.2193
pound,0.2163
mom,0.2153
flavors,0.2087
cigar,0.2083
drinks,0.2013
caffe,0.1909
flavor,0.18180000000000002
customer,0.1754
bitter,0.1471
love,0.14629999999999999
north,0.1381
buy,0.1283
good,0.1261
walked,0.1198
17,0.1112
flavorful,0.0929
buying,0.09129999999999999
african,0.0887
area,0.0837
sells,0.0805
local,0.0759
dark,0.0735
brewing,0.0726
texas,0.0726
better,0.0718
delicious,0.067
loyal,0.0659
treasure,0.0651
land,0.0619
40,0.0587
serve,0.0553
purchase,0.0532
everyday,0.0342
smells,0.0241
wonderful,0.0165
bean,0.007
drink,0.0063
mario,0.0062
connoisseur,-0.0046
20,-0.0243
ve,-0.07350000000000001
