keyword,weight
coffee,18.5634
great coffee,6.2187
best coffee,3.9317
espresso,3.646
coffee shop,2.813
friendly staff,2.5778
good coffee,2.37
best,2.0271999999999997
nice coffee,1.9148
tasty,1.8982
grand coffee,1.8298
cappuccino,1.7049999999999998
vibe,1.6834
best cappuccino,1.6833
iced coffee,1.6577
amazing coffee,1.5706
excellent coffee,1.547
delicious,1.5419
delicious coffee,1.5384
know,1.5356999999999998
coffee great,1.4379
favorite coffee,1.4014
cozy,1.3759000000000001
friendly,1.3692
coffee friendly,1.3641
coffee joint,1.359
coffee mission,1.3219
loved,1.3188
coffee every,1.2308
friendly barista,1.1981
chocolate,1.1699000000000002
little coffee,1.1476
latte,1.138
delicious cup,1.0838
milk option,1.0669
excellent,1.0
epic,1.0
chillll fark,1.0
grand experience,1.0
lovely,1.0
bestest,1.0
immaculate vibe,1.0
know espresso,1.0
know place,1.0
love coffe,1.0
coffee pastry,0.9863999999999999
place coffee,0.9859
cup coffee,0.9815
cute cafe,0.9766
solid americano,0.9713
nice vibe,0.966
immaculate,0.9623
sf coffee,0.9604999999999999
coming year,0.9469
love,0.9446
chillll,0.9397
loved mission,0.9323
grand,0.9305
fark,0.9244
great espresso,0.9113
spot friendly,0.9105
perfect coffee,0.8977
super tasty,0.888
polite helpful,0.8867
best latte,0.886
loved soy,0.8848
place,0.8822
attendant satisfied,0.8806
tasty friendly,0.8712
year point,0.8544
nice,0.8494
excellent espresso,0.847
coffee delicious,0.8467
good polite,0.8432
taste inattentive,0.8308
americano,0.8285
friendly cozy,0.8213
helpful attendant,0.8174
coffee nice,0.8173
awesome coffee,0.8169
polite,0.8164
fab coffee,0.8122
great little,0.812
vibe art,0.8118
chocolate cooky,0.8099
organic milk,0.8097
coffee community,0.8090999999999999
amazing chocolate,0.8081
tiny awesome,0.803
year,0.8029
mission real,0.8014
mission,0.8002
affordable coffee,0.7994
little spot,0.7991
bigger cafe,0.7957
soy cappuccino,0.7862
delicious roast,0.785
coffee served,0.7819
positive review,0.7802
nice baristas,0.7797
appreciate hope,0.7773
great barista,0.7679
really solid,0.7674
superior pastry,0.7649
delicious chilean,0.7576
experience,0.7505
little,0.7489
drinking coffee,0.747
coffee place,0.747
coffe,0.7394
inattentive staff,0.7383
coffee kind,0.731
solid,0.7299
awesome get,0.7283
coffee superior,0.7271
espresso drink,0.7194
cool people,0.7192
bitter taste,0.7156
average quality,0.7132
delicious bespoke,0.7124
staff tiny,0.7122
delicious cute,0.7112
coffee funky,0.7111
espresso self,0.7103
intimate venue,0.7081
coming,0.7064
wall coffee,0.7061
shot go,0.7034
spot espresso,0.7029
thanks positive,0.7018
better espresso,0.7005
barista great,0.6979
balanced milk,0.6938
coffee window,0.6933
see soon,0.6904
pastry friendly,0.6902
chocolate croissant,0.6868
served smile,0.6849
awesome,0.6836
amazing baristas,0.6831
walk coffee,0.681
art,0.681
pretty tasty,0.681
best value,0.6791
espresso friendly,0.6777
chilean pastry,0.6771
neighborhood coffee,0.6754
coffee though,0.6752
get shot,0.6748
favorite pastry,0.6725
huge coffee,0.6689
greatly appreciate,0.6679
coffee always,0.6653
venue great,0.6641
size tea,0.6604
cafe,0.6572
service rude,0.6558
great cappuccino,0.6549
real,0.6533
staff amazing,0.6528
drink charming,0.6527
coffee awesome,0.6514
espresso every,0.6481
latte town,0.6438
super tiny,0.6412
iced americano,0.6403
cozy place,0.6365
good conversation,0.6338
rude every,0.6332
intimate,0.6309
hipster coffee,0.6282
people great,0.6141
coffee tried,0.6132
specialty latte,0.6075
anywhere city,0.607
great organic,0.6039
hellloooo coffee,0.6033
bad service,0.5982
shop city,0.5953
taste bad,0.5944
soy,0.5918
coffee tasty,0.588
coffee strong,0.5874
coffee area,0.5847
baristas great,0.5844
tiny,0.5822
fat milk,0.582
cute,0.5734
point,0.5724
excellent drink,0.5674
tea option,0.5672
mean latte,0.5649
funky friendly,0.562
live chocolate,0.5616
quality coffee,0.5594
roast,0.5586
tried cappuccino,0.558
great affordable,0.5559
beverage pretty,0.5553
delicious balanced,0.5535
rude,0.5505
cream limeade,0.5458
coffee currently,0.5432
good,0.5414
value money,0.5408
barista,0.5407
window cash,0.5404
kind friendly,0.5397
really delicious,0.5391
coffee roaster,0.5369
good walk,0.5366
limeade iced,0.5348
talented coffee,0.5337
coffee best,0.5322
money anywhere,0.5295
really,0.5257
also friendly,0.5218
coffee amazing,0.5195
milk,0.5181
coffee fresh,0.5113
tasty street,0.5078
coffee bomb,0.5076
smile,0.5075
grab coffee,0.5071
cool,0.5052
artisan coffee,0.5048
place drinking,0.5045
awesome staff,0.5025
coffee milk,0.4993
great mexican,0.4965
tea,0.495
perfect,0.494
affordable,0.4923
cappuccino based,0.4917
kind warm,0.4909
drink,0.4895
barrel bean,0.4883
warm,0.4854
ritual coffee,0.4848
coffee neighborhood,0.4845
drink friendly,0.483
shop,0.4771
town,0.4731
cash duh,0.4728
caffeinate mission,0.4715
received kind,0.4712
favorite place,0.4704
great community,0.4668
chocolate bar,0.4635
regular coffee,0.4613
kyoto iced,0.4603
open bigger,0.4588
long layover,0.4569
coffee got,0.456
love grand,0.4552
bean great,0.4529
cafe eclectic,0.4507
every time,0.45
spot always,0.4494
sf delicious,0.4479
mexican art,0.4475
coffee fine,0.4439
coffee company,0.4413
neighborhood caffeine,0.4353
successful formula,0.4352
coffee even,0.432
small cafe,0.4316
roaster roasted,0.425
character happiness,0.4219
notch coffee,0.4217
quaint coffee,0.4209
caffeinate,0.4206
never disappointed,0.4186
service fab,0.4178
chilean,0.4137
shared iced,0.4132
every single,0.4086
community feel,0.4086
ordered cappuccino,0.4065
best city,0.4056
goodness four,0.4035
inspiring pastry,0.403
alamo draft,0.4025
always,0.3994
mexican,0.3978
great brew,0.3975
morning walking,0.3973
nice welcoming,0.3966
quieter spot,0.3959
serve favorite,0.3903
love shop,0.3896
morning cup,0.3853
coffee person,0.3844
coffee true,0.3844
formula success,0.3804
baristas hilarious,0.3706
little gym,0.3701
milk owner,0.367
spot coffee,0.3653
four barrel,0.363
brew love,0.3625
super cozy,0.3593
perfect drink,0.3573
cappuccino perfect,0.3486
chatting baristas,0.3484
well delicious,0.3446
man coffee,0.3441
seating nice,0.3433
pastry knead,0.3425
try coffee,0.3405
beloved commuter,0.3377
coffee good,0.3309
coffee team,0.3178
coffee bean,0.3156
pastry service,0.3045
amount coffee,0.303
personally favorite,0.3003
since coffee,0.2882
coffee forward,0.2798
random morning,0.2721
paper cup,0.2702
shots pulled,0.199
