keyword,weight
coffee,37.8344
great coffee,13.1234
great,5.9046
coffee great,4.7604
best coffee,4.6864
delicious coffee,4.428
good coffee,3.8415
delicious,3.7879
drip coffee,3.7469
pour coffee,3.235
north beach,2.8624
coffee good,2.649
love coffee,2.2916
barista,2.2135
favorite coffee,2.1561
pour over,1.8716
coffee service,1.8597000000000001
coffee shop,1.8431
awesome coffee,1.8378999999999999
coffee north,1.7732999999999999
weak coffee,1.7349
pour,1.7059
coconut,1.7033
coffee awesome,1.6769
awesome barista,1.6416
amazing coffee,1.5679
coffee nice,1.5569
fresh coconut,1.5279
excellent coffee,1.524
over,1.5203000000000002
coffee frill,1.5099
weak,1.4795
great barista,1.4734
delicious pour,1.3726
service delicious,1.3725999999999998
specialty coffee,1.3386
great service,1.3292000000000002
coffee best,1.3189000000000002
fast cheap,1.3134000000000001
blonde roast,1.2913000000000001
coconut cold,1.1407
coffee spot,1.1360999999999999
nice coffee,1.0939
cold brew,1.0793
sp,1.0
everything good,1.0
coffee bad,1.0
precious,1.0
great people,1.0
cup coffee,0.9894
coconut water,0.9744999999999999
great pour,0.9315
fast service,0.9302
got pour,0.9299
tasty yum,0.9164
would leave,0.9104
friendly tasty,0.9066
delicious pourovers,0.9025
good,0.8903
great fast,0.8855
coffee friendly,0.8803
coffee creative,0.864
around place,0.8633
place would,0.8611
around,0.8486
fast,0.8469
tasty,0.8456
leave,0.8403
passionate coffee,0.8393
liked red,0.8373
everything,0.8357
iced coffee,0.8173
cute coffee,0.8154
pour weak,0.8044
best,0.8007
city never,0.7997
weak service,0.7974
got,0.7853
bad,0.7834
coffee relaxing,0.7773
never open,0.7762
coffee disappointing,0.7754
service convenient,0.7718
coconut milk,0.7708
coffee community,0.7639
coffee loved,0.7607
great conversation,0.7581
great taste,0.7509
blonde coffee,0.7495
hyped coffee,0.7479
coffee drinking,0.7447
wall delicious,0.7446
coffee tasted,0.7443
coffee obviously,0.7431
easy service,0.742
closed weekend,0.7399
coffee middle,0.7392
love meeting,0.7379
guys text,0.7365
barista wonderful,0.7362
milk nice,0.7324
coffee bland,0.7312
fab coffee,0.7302
coffee nb,0.7271
stellar drip,0.7262
convenient location,0.7216
cold coffee,0.7215
legendary coffee,0.718
friendly,0.7153
literally coffee,0.7133
fresh coffee,0.7097
coffee love,0.7068
coffee fast,0.7004
employee fun,0.6985
coffee ecperience,0.6977
barista nick,0.6949
middle sf,0.6933
go coconut,0.689
sell starbucks,0.6878
coffee hip,0.687
coffee superb,0.6867
limited option,0.6784
barista limited,0.6784
coffee place,0.6702
coffee experience,0.6692
friendly service,0.6683
friendly baristas,0.6646
coffee conversation,0.6628
great employee,0.6622
service excellent,0.6621
never,0.662
great location,0.6608
enjoyed cup,0.6562
coffee mediocre,0.6523
cool customer,0.6491
great vibe,0.6482
city coffee,0.6459
yum factor,0.6441
proprietor closed,0.6424
friendly barista,0.642
coffee excellent,0.638
thank nick,0.6365
coffee gem,0.6364
local cool,0.6361
place barista,0.6303
coffee stand,0.6302
quick easy,0.629
sidewalk seating,0.628
break coffee,0.6272
roast great,0.627
brewed coffee,0.6266
taste,0.6255
starbucks,0.6248
coffee um,0.6242
place iced,0.6221
easy,0.6216
service fantastic,0.6186
wonderful coffee,0.6179
coffee taste,0.6153
enjoyed lot,0.6152
shyam sorry,0.6129
caffeine dispensary,0.6122
amazing coconut,0.612
coffee sunny,0.612
cheap,0.6116
ecperience enjoyed,0.609
welcoming great,0.6089
seating outside,0.6078
sf,0.6057
text order,0.6056
hours need,0.6054
really enjoyed,0.6036
coffee wall,0.6033
chap coffee,0.602
nice employee,0.6016
iced,0.6012
coffee truly,0.5996
limited,0.597
time love,0.5955
tasted great,0.5953
meeting neighbor,0.5942
cute place,0.5916
baristas good,0.5899
customer perfect,0.5875
place delicious,0.5871
tiny caffeine,0.5823
welcoming,0.5796
coffee lover,0.5749
excellent,0.5716
coffee available,0.57
hip atmosphere,0.5688
coffee visiting,0.5687
brew cold,0.5684
fun place,0.5674
bag coffee,0.5659
unique local,0.5654
coffee smell,0.5645
drinking frill,0.5635
interesting delicious,0.5623
great drip,0.5603
coffee weak,0.5579
coffee eclectic,0.5561
cute,0.5554
red head,0.5553
coffee near,0.5546
frill coffee,0.5533
short break,0.5522
wonderful pour,0.5505
order ahead,0.5505
coffee social,0.5504
coffee laundry,0.5495
coconut coffee,0.5491
liked,0.5489
head coffee,0.5478
neighborhood cafe,0.5461
hear poor,0.5441
seating delicious,0.5434
cup espresso,0.5428
brewed right,0.5426
wait coffee,0.5422
service,0.5416
coffee always,0.5414
husband love,0.54
wonderful tea,0.5395
tasty filter,0.5389
nice touch,0.5369
service fast,0.5363
owner nice,0.5358
perfect cup,0.5352
coffee line,0.534
weekend ill,0.5339
text,0.5339
brew,0.5339
bland sorry,0.5324
good vibe,0.5303
menu great,0.5295
wall great,0.5294
sorry hear,0.5291
least consistent,0.5257
good conversation,0.5237
super funny,0.5221
bought coffee,0.5218
relaxing part,0.5203
waiting brew,0.5197
drip,0.5189
coffee cold,0.5176
path gem,0.5172
coffee ok,0.5159
espresso love,0.5152
vibe great,0.5111
service recommend,0.5109
barista super,0.5109
chat ended,0.5102
cafe blend,0.5099
relaxing,0.5096
people,0.5083
beach roast,0.508
lucky spotted,0.5073
place sidewalk,0.5059
super friendly,0.5056
park feeling,0.5032
coffee pour,0.5028
lunch break,0.5028
beach espresso,0.5027
breakfast luck,0.5022
over coffee,0.5017
amazing,0.5009
coffee outside,0.5002
brunette highly,0.4997
creative,0.4969
good brew,0.4967
service slow,0.496
espresso rich,0.4957
pizza restaurant,0.4953
got coffee,0.4952
closed closed,0.4947
love,0.4906
day coffee,0.4904
google admin,0.4882
loved coco,0.4875
coffee served,0.4853
happened thank,0.4851
favorite,0.4848
importantly coffee,0.4843
need caffeine,0.4838
need updated,0.4833
awesome,0.4814
coffee offer,0.4814
poor delicious,0.4808
updated waste,0.4804
try coconut,0.4802
beach brewed,0.4794
coffee charm,0.479
guy fridays,0.4778
filter coffee,0.4771
coffee scientist,0.4769
friendly staff,0.4762
nice spot,0.4749
buy coffee,0.474
highly recommended,0.4738
coffee around,0.4729
next visit,0.4712
spot coffee,0.4707
service interesting,0.47
offered milk,0.4647
barista friendly,0.4644
ended waiting,0.4641
worth great,0.4615
place coffee,0.459
coffee little,0.4576
coffee bean,0.4573
poor blonde,0.4572
cheers coffee,0.457
euphemism coffee,0.4558
drinking,0.4554
mediocre overpriced,0.4528
find trustee,0.4521
visiting sf,0.4514
love blonde,0.4473
dripped coffee,0.4469
blend coffee,0.4467
drink hot,0.4414
fridays make,0.4399
nearby pizza,0.4386
company coffee,0.4385
brew lovely,0.4384
caffeine fix,0.4371
lovely staff,0.4359
north,0.4355
hours,0.435
coffee despite,0.4321
tea today,0.4315
liked redhead,0.4308
visit coffee,0.4307
bland,0.4298
lost tea,0.4289
quaint conversation,0.4284
coffee absolutely,0.4281
grab coffee,0.427
hole wall,0.4261
lunch time,0.4245
coffee highly,0.4243
coffee order,0.4226
baristas,0.4193
daily ritual,0.418
coffee nothing,0.4179
suggestion barista,0.4179
cafe,0.417
stellar,0.4165
menu stellar,0.4156
shop friendly,0.4151
selection coffee,0.4143
tea,0.4124
coffee drip,0.4114
redhead barista,0.4102
best bean,0.4092
excellent food,0.4089
hot day,0.4086
artisan coffee,0.4086
take lunch,0.4078
delicious trick,0.407
lunch,0.4037
brew amazing,0.3993
talk love,0.3991
dark brew,0.3964
enough fella,0.3952
record thanks,0.3948
roast bean,0.3938
dlls coffee,0.3934
phil closed,0.3928
scientist happy,0.3905
neighborhood coffee,0.389
coffee refreshing,0.3857
beach brew,0.3848
shop fantastic,0.3826
coffee concoction,0.3823
manage google,0.3823
coffee lid,0.3796
owner barista,0.3773
nb,0.377
around lunch,0.3736
naught coffee,0.3725
weekend cafe,0.371
want coffee,0.37
perfect neighborhood,0.3669
conversation bay,0.363
coffee often,0.3584
frill,0.3577
