keyword,weight
coffee,4.161
thank,3.5351
thank business,2.3057
vanilla latte,2.051
business,1.9748
great week,1.6120999999999999
vanilla,1.5832
coffee nice,1.5163
great,1.4714
week,1.2212
ritual coffee,1.1598
thank review,1.0462
cool,1.0
great latte,1.0
great space,1.0
business appreciate,0.9409
thank feedback,0.8763
success google,0.8736
feedback lindsey,0.8206
great coffee,0.8135
latte,0.8081
coffee spacious,0.799
business albertino,0.788
good coffee,0.7775
excellent coffee,0.7742
space,0.7723
thank much,0.7563
albertino,0.7544
business hank,0.7377
coffee counter,0.7217
feedback,0.7115
nice baristas,0.7104
friendly staff,0.7095
much business,0.7085
best vanilla,0.7024
everytime sf,0.6996
coffee also,0.6978
stop everytime,0.6965
hank,0.6929
friendly talking,0.6907
lindsey,0.6837
coffee coffee,0.6822
blueberry muffin,0.6742
food coffee,0.6728
review park,0.6696
coffee love,0.6694
iced coffee,0.6659
staff good,0.6635
grab coffee,0.6598
staff friendly,0.6575
park great,0.6456
lobby sit,0.6405
vanilla syrup,0.637
loved vanilla,0.628
everytime,0.6229
google,0.6165
homemade vanilla,0.6161
buddy congrats,0.6133
always list,0.6095
meetup plenty,0.6008
good service,0.6004
spacious coffee,0.598
lobby good,0.5938
great public,0.5919
beautiful lighting,0.5898
latte peaceful,0.587
latte blueberry,0.5813
latte spice,0.5806
congrats success,0.5769
wen great,0.5736
plenty open,0.5555
sour coffee,0.5374
park,0.5352
star thank,0.535
tea perfect,0.5208
best always,0.52
bright clean,0.5085
coffee easy,0.5069
coffee ritual,0.502
next drink,0.5007
good variety,0.5001
juice ginger,0.4938
congrats,0.4918
love lobby,0.4851
computer juice,0.4808
bakery emeryville,0.4786
review cyrus,0.4753
delicious pour,0.4597
peace phil,0.4553
starter bakery,0.4477
coffee break,0.4462
big open,0.4442
drink regardless,0.4431
thank taking,0.4428
black tea,0.4249
better earn,0.4242
pour coffee,0.4212
every juice,0.4168
pastry starter,0.4083
coffee good,0.4045
ritual pastry,0.4007
earn th,0.3984
delicious nitro,0.3952
offer pastry,0.3879
store clerk,0.3778
ginger love,0.369
pastry co,0.3068
