keyword,weight
coffee,7.3096
clean,5.0646
laundry,3.8278
cafe,3.4263
pizza,3.0852
great coffee,2.9342
free wifi,2.6348
laundry done,2.4535
best coffee,2.2927999999999997
friendly staff,2.2472
well maintained,2.2014
nice cafe,2.1149
good coffee,2.0907
best,2.0
decent,1.8424
wifi,1.7442
decent clean,1.574
great,1.5733000000000001
salmon bagel,1.5607
clean safe,1.5143
affordable price,1.5138
breakfast lunch,1.4738
place,1.4447999999999999
open late,1.4425999999999999
never,1.4331
excellent,1.4235
affordable,1.4014
coffee great,1.3853
good pricing,1.3561
safe,1.3405
friendly,1.3102
nice location,1.2951000000000001
coffee salmon,1.2651
pricing good,1.2246000000000001
nice,1.2212
friendly coffee,1.1892
clean machine,1.1877
lunch,1.1395
clean place,1.1246
cafe open,1.1028
breakfast,1.0724
laundromat nice,1.0611
get laundry,1.0527
nice laundry,1.0
loved,1.0
decent place,1.0
excellent attention,1.0
cozy,1.0
friendly owner,1.0
pizza good,1.0
cool idea,1.0
staff friendly,0.9889
safe neighborhood,0.9667
never come,0.9667
would never,0.9612
clean launderette,0.9579
pizza friendly,0.9573
little cafe,0.9461
coffee pastry,0.9442999999999999
cool,0.9418
good pizza,0.9311
place decent,0.9274
lack proper,0.9231
staff clean,0.9183
excellent cafe,0.9177
enough tenderloin,0.9146
fom home,0.9017
welcoming laundrymat,0.8725
home,0.8667
good cafe,0.8529
cup coffee,0.8438
attention,0.8425
sf special,0.8376
awesome coffee,0.8251
downtown laundry,0.825
nice clean,0.8094
cafe nice,0.8091
got laundry,0.8031
far enough,0.8021
close fom,0.8005
approachable secure,0.7953
tenderloin,0.7906
idea,0.7903
make sf,0.785
laundry clean,0.7809
clean well,0.7792
brilliant service,0.7778
lack,0.7762
clean convenient,0.769
close,0.7634
price friendly,0.7589
coffee cake,0.7557
secure location,0.7539
great cafe,0.7537
friendly approachable,0.7514
laundry excellent,0.7499
homework breakfast,0.7481
clean toilet,0.7423
enjoy cup,0.7406
lunch laundry,0.7365
coffee good,0.7355
owner friendly,0.735
sf,0.7312
far,0.7238
cafe environment,0.7196
