keyword,weight
coffee,12.5973
food,7.9774
delicious,6.5088
good coffee,6.2857
great food,5.6927
good food,5.5601
best,4.8581
great,3.9508
delicious crepe,3.4167
french toast,3.3675
amazing,3.1351
breakfast,3.0648
good,3.0086
amazing food,2.9134
best breakfast,2.883
great coffee,2.8585000000000003
coffee great,2.5574
crepe,2.5404
cafe,2.427
best crepe,2.4026
place,2.3377
food always,2.3183000000000002
food good,2.2987
crepe delicious,2.0055
awesome food,1.9891
great breakfast,1.9414
loved,1.771
coffee shop,1.7095
best omelette,1.6703999999999999
nice,1.6411
crepe coffee,1.5926
cute cafe,1.5849
excellent coffee,1.534
salsa crepe,1.5292
espresso,1.5177
potato salad,1.5156
relaxing,1.4909
food delicious,1.4895
delicious coffee,1.4432999999999998
awesome,1.3980000000000001
cafe great,1.3529
busy,1.3354
delicious food,1.3302
cozy,1.3192
food friendly,1.2791000000000001
coffee excellent,1.278
chicken delight,1.2555
friendly,1.1982
salad,1.1636
omelette,1.1171
croissant french,1.1146
cup coffee,1.1106
sandwich,1.1106
coffee really,1.0464
tasty,1.037
neighborhood eat,1.0355
great espresso,1.0
thanks,1.0
nice area,1.0
great place,1.0
gooooood,1.0
amazing everytime,1.0
simple chill,1.0
perfect,1.0
like place,1.0
breakfast lunch,0.9946999999999999
good stuff,0.9769
glad hear,0.9695
pretty good,0.958
pretty,0.9529
food great,0.9501
much glad,0.9422
food nice,0.9407
nice cozy,0.9385
great overall,0.9351
coffee friendly,0.935
like,0.934
thank much,0.9206
coffee stay,0.9179
glad,0.9169
best crepes,0.9167
cozy atmosphere,0.9157
busy wait,0.9156
thank,0.9106
pastry pleasant,0.899
relaxing atmosphere,0.8989
spot relax,0.8914
good cafe,0.8892
beautiful city,0.8838
bit overpriced,0.8811
simple,0.8793
delicious service,0.8791
best ever,0.8738
homey,0.8703
service relaxing,0.8685
overall everything,0.8682
loved place,0.8672
jealous wife,0.8646
chill,0.8638
coffee awesome,0.8594
nice people,0.8573
atmosphere love,0.8544
place homey,0.8544
cute spot,0.8521
relax,0.8496
favorite sunday,0.8487
cafe brunch,0.8438
good service,0.8427
everytime,0.8413
excellent espresso,0.8391
overpriced,0.8389
latte delicious,0.8374
food coffee,0.8368
light lemony,0.8334
coffee croissant,0.8327
favorite,0.8301000000000001
crepe best,0.8299
hardest working,0.829
one best,0.8274
cook italian,0.8266
everything,0.8222
italian food,0.8199
lazy sunday,0.8168
kitchen,0.8112
thing busy,0.81
shrimp,0.81
coffee salsa,0.8091
awesome casual,0.8082
enjoy coffee,0.8049
cafe friendly,0.8025
come coffee,0.7998
cute,0.797
loved cafe,0.7967
love,0.7959
hot chocolate,0.7953
delicious mocha,0.7951
bit rustic,0.7925
nice coffee,0.7903
breakfast sandwich,0.787
rustic,0.7818
place breakfast,0.781
good crepe,0.7768
wine salad,0.7736
wait,0.7723
huge delicious,0.7687
relaxing ambiance,0.7676
wait probably,0.766
canneloni favorite,0.7644
day beautiful,0.7584
crepe omelet,0.7578
delicious decor,0.7568
amazing treat,0.7565
tasty check,0.7538
friendly coffee,0.7535
love chicken,0.752
space best,0.749
friendly local,0.7486
little cafe,0.7477
stuff like,0.7474
food cool,0.7474
love cafe,0.7451
stay crepe,0.7445
local tasty,0.742
amazing crepe,0.7398
food close,0.7365
area,0.7342
bagel sandwich,0.7336
amazing experience,0.7335
coffee creamy,0.7319
best lazy,0.729
always fresh,0.7286
coffee family,0.7243
crepe option,0.715
sunday brunch,0.7124
great awesome,0.7123
great flavor,0.7118
best food,0.7109
like home,0.7098
service great,0.7075
absolute gem,0.7065
lemony,0.7052
pleasant cafe,0.7041
shop good,0.7033
cafe amazing,0.7031
bagel coffee,0.703
overall,0.7025
cozy cafe,0.7022
favorite crepe,0.6978
awesome decor,0.6945
fantastic coffee,0.694
omelette city,0.6934
loved bagel,0.6901
friendly helpful,0.6891
ambiance love,0.6861
fresh amazing,0.6845
nice eat,0.6842
crepe bit,0.6826
pastry,0.6824
warm friendly,0.6823
pleasant atmosphere,0.6811
savory kind,0.6803
always amazing,0.6789
casual crepe,0.6786
tasteful breakfast,0.6784
ambiance,0.6772
mocha generous,0.6767
food canneloni,0.6767
brunch chill,0.6761
crepes world,0.6758
breakfast spot,0.6746
savory lunch,0.6744
beautiful,0.6732
money great,0.6731
coffee good,0.6715
crepe omelette,0.6711
friendly staff,0.6698
coffee crepe,0.6683
coffee cash,0.6658
food diner,0.6639
small cute,0.6639
darn coffee,0.6637
croissant great,0.6624
friendly service,0.6622
plentiful money,0.6621
coffee well,0.6611
coffee better,0.6605
flavorful tomato,0.6598
city absolute,0.6589
small crowded,0.6585
espresso service,0.6582
borjia coffee,0.6579
crepe sf,0.656
glass wine,0.6556
kind sweet,0.6553
comfortable neighborhood,0.6552
simple coffee,0.653
sandwich cash,0.6522
sit enjoy,0.65
