keyword,weight
coffee,38.8166
great coffee,11.8686
avocado toast,11.396
birthday cake,9.7533
cake latte,8.9201
best coffee,8.4172
lavender latte,6.9116
good coffee,6.8623
vanilla latte,5.1621
delicious coffee,4.5041
cute coffee,4.4189
coffee shop,4.267
good,4.2286
avocado,4.0396
great,3.7837
friendly staff,3.7620999999999998
latte delicious,3.7103
latte,3.5930999999999997
coconut vanilla,3.3651999999999997
quality coffee,3.1556
coffee good,3.0127
tasty,2.9358
coffee really,2.8663
mochi muffin,2.8583
nice coffee,2.8518999999999997
best latte,2.6388
delicious,2.5561
cute,2.4383
espresso,2.4154
coffee friendly,2.3841
great latte,2.3414
latte art,2.3123
slow,2.2965
beautiful coffee,2.2294
red velvet,2.1508000000000003
friendly,2.0709
lavender,2.0606999999999998
loved coffee,2.058
kimchi avocado,2.0311
amazing latte,1.9595
cake,1.9384000000000001
coffee tasty,1.8614
vanilla,1.8575
caramel latte,1.838
tea,1.8042
cup coffee,1.7969
cookie monster,1.7757
great espresso,1.7143000000000002
cute latte,1.702
chocolate mint,1.6777
coffee amazing,1.6444999999999999
great tea,1.6377000000000002
breakfast,1.6103
culture bakery,1.6086
coffee cute,1.6085
coffee great,1.5906
chocolate croissant,1.5857
cookie,1.5851000000000002
coffee tea,1.5811
velvet latte,1.5787
coffee decent,1.541
place,1.5392000000000001
good place,1.5268000000000002
coffee san,1.5199
cold brew,1.5079
coffee must,1.494
really enjoyed,1.4601
coffee lover,1.4435
bakery,1.4287
chocolate,1.4261000000000001
coffee nice,1.4248
beautiful latte,1.4074
cappuccino,1.4016000000000002
starbucks,1.3729
enjoyed lavender,1.3657
home coffee,1.3316
best cappuccino,1.3226
nice,1.3093
favorite coffee,1.3056999999999999
sweet coffee,1.2977
best,1.287
staff nice,1.2628
coffee drink,1.2512
strong coffee,1.2421
best cafe,1.238
shop coffee,1.2309
taste,1.2304
excellent coffee,1.1938
efficient service,1.1883
cold,1.1553
mochi donut,1.1456
highly recommend,1.0874
food coffee,1.0855
coconut latte,1.0827
latte taste,1.0727
salt caramel,1.0644
cafe,1.0539
latte pretty,1.0181
oat milk,1.016
coffee well,1.0070999999999999
delicious ordered,1.0061
excellent cappuccino,1.0
clean nice,1.0
great place,1.0
delicious friendly,1.0
lavender coffee,1.0
pastry,0.9938
coffee toast,0.9921
latte chocolate,0.9791000000000001
latte pumpkin,0.9791000000000001
taste rainbow,0.976
bean coffee,0.9750000000000001
clean,0.9706
baked good,0.9702
coffee excellent,0.9693
good ballista,0.9519
coffee roasters,0.9438
bar hamster,0.9429
specialty latte,0.9247
tasty avocado,0.922
coffee super,0.9195
coffee delicious,0.9168
incredible place,0.9084
coffee place,0.9005
mediocre coffee,0.9003
got avocado,0.8991
best cookie,0.8976
hamster specie,0.8929
coffee mmmmm,0.8921
hot chocolate,0.891
fun coffee,0.8895
enjoyed,0.8833
tasty croissant,0.8822
cappuccino morning,0.8802
ballista sure,0.877
rainbow vanilla,0.873
coffee clean,0.8697
coffee sweet,0.8648
muffin worth,0.8588
latte great,0.8504
fried egg,0.8495
totally recommended,0.8455
coffee lavander,0.8449
baristas friendly,0.8438
toffee coffee,0.8436
odeko app,0.8404
latte friendly,0.8396
incredible,0.8342
love cafe,0.831
slow terrible,0.8285
cream breakfast,0.8277
hamster,0.8257
delicious pastry,0.8231
place work,0.8173
good attention,0.8103
simple cappuccino,0.8101
awesome art,0.8007
ice cream,0.8007
work,0.7979
portion expensive,0.7961
tasting cold,0.7948
rainbow,0.7898
cafe baristas,0.7862
based coffee,0.7843
sourdough avocado,0.7842
coffee incredibly,0.7807
app,0.7782
decent coffee,0.7764
bad service,0.7763
coffee part,0.7754
coffee inventive,0.7752
extremely slow,0.7733
talented baristas,0.7702
drip coffee,0.7698
like taste,0.7685
coffee us,0.7675
expensive,0.7674
notch coffee,0.7645
creative coffee,0.7641
better cup,0.7638
savory pastry,0.7636
fine coffee,0.7627
ordered via,0.7566
croissant delicious,0.7486
milk cappuccino,0.7451
smooth coffee,0.7445
pour coffee,0.7419
adorable latte,0.7415
delcious coffee,0.7413
good pastry,0.7394
cup milk,0.7382
muffin delicious,0.7371
amazing drink,0.7368
ballista,0.7354
breakfast great,0.7348
loved one,0.7343
great ac,0.7295
coffee breakfast,0.7291
new coffee,0.7278
clean coffee,0.7243
good espresso,0.724
impeccable cute,0.7215
great esthetic,0.719
perfect roast,0.718
latte tasty,0.7166
bar,0.7132
tasty could,0.7125
via odeko,0.7119
great tasting,0.7117
coffee please,0.7116
morning,0.7108
milk delicious,0.7073
affordable avocado,0.7067
inventive coffee,0.7055
art delicious,0.7049
independent coffee,0.7044
latte ever,0.7043
muffin,0.7041
baristas latte,0.7039
coffee awesome,0.7023
attention environment,0.7018
ac turned,0.7008
art impeccable,0.6983
great food,0.698
friendly coffee,0.6968
coffee artist,0.6958
environment totally,0.6955
terrible layout,0.6928
must stop,0.6922
cozy cafe,0.6915
coffee unassuming,0.6895
delicious cup,0.689
food great,0.6889
delicious gourmet,0.6881
flavor friendly,0.6872
cafe pretty,0.6857
breakfast every,0.6842
iced tea,0.6824
amazing coffee,0.6817
honey lavender,0.6809
speciality coffee,0.6784
espresso creative,0.6783
worth try,0.678
good flavor,0.676
tea tasty,0.6753
breakfast toast,0.6752
latte red,0.6719
roast coffee,0.6711
fast efficient,0.6693
delicious bathroom,0.6686
coffeeshop dessert,0.6663
clean spacious,0.6654
friendly people,0.6641
slowest coffee,0.6625
buttery croissant,0.6622
sweet savory,0.662
latte must,0.6617
cute almond,0.6615
cute definitely,0.6607
white milky,0.6607
heavenly coffee,0.6599
gourmet sweet,0.6593
nice indoor,0.6591
coffee available,0.6589
croissant warm,0.6586
consistent cup,0.658
delicious smooth,0.6573
coffee art,0.6568
pastry fine,0.6555
inventive flavor,0.6552
velvet best,0.6551
place really,0.6549
recommend awesome,0.6544
clean friendly,0.6542
really cute,0.654
hip coffee,0.654
adorable coffee,0.6532
iced caramel,0.6531
location coffee,0.653
ac,0.6529
design mediocre,0.6529
coffee wonderful,0.6521
impeccable,0.6516
odeko,0.6515
good latte,0.6504
lovely coffee,0.6503
coffee cool,0.6499
bathroom stylish,0.6498
art coffee,0.6494
bad,0.6483
birthday coffee,0.6481
beautiful baristas,0.6479
pour specialty,0.6463
cool atmosphere,0.6462
flavor reasonable,0.6462
best espresso,0.6462
