keyword,weight
coffee,3.8547
fast,1.4018
nice,1.0
fast inexpensive,1.0
high quality,1.0
coffee excellent,0.9328
great coffee,0.926
high,0.9017
food coffee,0.8908
inexpensive,0.8851
fast service,0.8636
tasty fast,0.8563
brew unforgivable,0.8442
cold brew,0.8382
quality,0.8168
cold,0.7981
coffee clean,0.7908
meha tasty,0.7874
unforgivable,0.7798
tasty,0.7664
coffee ok,0.7649
iced coffee,0.6847
au chocolat,0.6758
good food,0.6679
coffee shop,0.6629
cup coffee,0.6571
brewed coffee,0.6403
coffee pot,0.6346
chocolat,0.6344
excellent service,0.6341
vietnamese iced,0.6098
recommend pain,0.6058
clean comfortable,0.5749
food,0.5663
mainly hyatt,0.5634
coffee die,0.562
comfortable outdoor,0.5469
great,0.4683
good,0.4434
brew,0.4369
vietnamese,0.4341
