keyword,weight
coffee,33.0678
great coffee,21.2951
breakfast,13.3507
good coffee,10.9749
good food,10.019
good,9.0165
nice,8.1713
great,8.1163
food,8.0664
delicious,7.8898
baked good,7.0332
avocado toast,5.9924
bakery,5.9763
sandwich,5.7707999999999995
great food,5.6957
coffee delicious,5.2311
food great,5.1419
place,4.914
cafe,4.6188
best,4.0919
best coffee,3.9644
bread,3.9379
pastry,3.9299999999999997
coffee good,3.9052
coffee shop,3.8419
coffee great,3.7237999999999998
excellent coffee,3.6771
nice place,3.6452
vegan,3.6418
great breakfast,3.641
good bread,3.6399
good breakfast,3.432
egg sandwich,3.3573
nice cafe,3.0871
avocado,2.8644
good sandwich,2.8365
tea,2.4881
salad sandwich,2.4183
coffee pastry,2.3706
best bread,2.3399
amazing food,2.2615
coffee nice,2.2231
great bakery,2.0516
nothing,2.0442
bread pastry,2.0302
favorite,1.9626000000000001
butter banana,1.9487
delicious food,1.9386999999999999
avocado mash,1.8611
menu breakfast,1.8452000000000002
banana toast,1.8278
tasty,1.8134000000000001
chicken salad,1.7871000000000001
bad,1.7802
perfect breakfast,1.7549
delicious cooky,1.7505
healthy,1.7346
sausage biscuit,1.7159
bakery cafe,1.6903000000000001
favorite coffee,1.6465
little bakery,1.6202999999999999
delicious baked,1.6194000000000002
stumptown coffee,1.6036
bakery eatery,1.5651000000000002
coffe,1.5574
french toast,1.5244
salmon,1.5213999999999999
excellent breakfast,1.5056
latte great,1.5044
breakfast spot,1.4954
fantastic coffee,1.4859
one favorite,1.4821
green tea,1.4781
place coffee,1.4747
excellent avocado,1.4641
healthy food,1.4627
vegan dish,1.4559
espresso,1.4523
fantastic,1.44
fresh food,1.4272
great place,1.4140000000000001
nitro,1.4083
awesome,1.405
best avocado,1.4029
amazing coffee,1.3900000000000001
great pastry,1.3848
bread sandwich,1.3835000000000002
food good,1.3798
toast,1.3723
pastry breakfast,1.3572
brunch,1.3566
cozy,1.3526
friendly,1.3479
vegan gluten,1.3469
friendly staff,1.3465
bread amazing,1.3338
best croissant,1.327
always delicious,1.3262
smoked salmon,1.323
excellent food,1.319
cooky,1.3031000000000001
great sandwich,1.2930000000000001
