keyword,weight
coffee,26.7168
good coffee,11.9943
breakfast sandwich,10.7922
sandwich,10.5362
great coffee,7.9399999999999995
shaved ice,6.1576
green tea,5.5832
breakfast,5.1834
sweet potato,5.1205
ice cream,5.095
tasty,5.0154000000000005
potato latte,4.6138
good,4.3378
hot chocolate,3.8296
chocolate,3.8165
food,3.6233
bulgogi sandwich,3.4675000000000002
great,3.3267
tea,3.3033
place,3.2174
nice,3.1235999999999997
cafe,3.0907999999999998
best coffee,3.0678
wifi,2.9981999999999998
dessert,2.8861
tea latte,2.7077
delicious,2.5328999999999997
love,2.5001
good wifi,2.4396
nice place,2.4248000000000003
friendly staff,2.3078
small,2.1001
friendly,2.0674
coffee good,2.0671
ice,2.0019
spicy chicken,1.9852
sandwich delicious,1.9783
good sandwich,1.8183
cute cafe,1.8121
tasty sandwich,1.7919999999999998
best breakfast,1.7906
tasty breakfast,1.7905
coffee tasty,1.7149
sandwich coffee,1.6827
coffee sweet,1.586
honey bread,1.5255
quaint place,1.5236999999999998
cappuccino,1.5042
coffee place,1.4887000000000001
open,1.4747
good cappuccino,1.471
open late,1.4683
delicious coffee,1.4535
great breakfast,1.4409
cream latte,1.4184999999999999
food delicious,1.4173
caramel latte,1.4100000000000001
sweet,1.3988
coffee cake,1.3949
coffee shop,1.3931
loved coffee,1.3859
excellent coffee,1.3765
coffee great,1.3724
small portion,1.3694
delicious sandwich,1.3633000000000002
waffle,1.3397000000000001
cheesecake,1.3309000000000002
coffee snack,1.323
nice atmosphere,1.3155000000000001
ham cheese,1.3054
nice coffee,1.274
fast wifi,1.2603
cheese croissant,1.2331
red bean,1.2317
tea good,1.2122000000000002
chicken sandwich,1.2109999999999999
love place,1.2102
strawberry shaved,1.199
place coffee,1.1955
korean,1.188
dessert joy,1.1665999999999999
coffee pastry,1.1143
wi fi,1.111
potato,1.109
relaxed cozy,1.1001
back coffee,1.0912000000000002
espresso,1.0905
hot waffle,1.0735
sandwich served,1.0728
cup coffee,1.0662
nice cafe,1.0644
expensive,1.0512000000000001
ice dessert,1.0259
walking,1.0204
okay memorable,1.0
comfortable place,1.0
got closed,1.0
kinda mediocre,1.0
good dessert,1.0
desert delicious,1.0
amazing sandwiches,1.0
pm open,1.0
love matcha,1.0
soo good,1.0
horrible service,1.0
mediocre,0.9815
memorable,0.9809
comfortable,0.979
little cafe,0.9783
tasty huge,0.9765
strawberry,0.974
nice quaint,0.9715
place enjoyed,0.9615
closed,0.9569
pretty yummy,0.9526
place relax,0.9445
good people,0.9409
quaint,0.9399
food great,0.9338
tuna melt,0.9320999999999999
love nutella,0.9293
coffee keep,0.9276
horrible,0.9231
enjoyed,0.9191
macarons,0.9176
tasty easy,0.9163
get coffee,0.9160999999999999
sandwich bomb,0.9137
great caramel,0.9129
cafe coffee,0.904
waffle average,0.9023
relax,0.9018
rude male,0.9017
fine food,0.9014
coffee amazing,0.8953
late,0.8923
best espresso,0.8916
yummy,0.8886
work coffee,0.8882
chocolate delicious,0.8854
nicely cappuccino,0.8851
cream good,0.8848
slow service,0.8804
huge,0.8799
ice coffee,0.8785
affogato pretty,0.8768
remodeling best,0.8759
asian dessert,0.8756999999999999
sandwich amazing,0.8746
clean cute,0.8738
cute decor,0.872
coffee bad,0.8718
soo,0.8716
huge portion,0.8711
ice cheesecake,0.8662
free wifi,0.8605
place friendly,0.8601
great service,0.8599
table dirty,0.8588
hype waffle,0.8576
people great,0.853
organic coffee,0.8484
okay,0.8439
easy place,0.8426
warm place,0.8423
coffee walking,0.8415
portion coffee,0.8372
real chocolate,0.8368
bean shaved,0.8351999999999999
vietnamese sandwich,0.834
food coffee,0.8338
yummy clean,0.8331
excellent breakfast,0.8329
expensive small,0.8267
love peaceful,0.8257
sandwich soooo,0.8222
banging breakfast,0.821
cheesecake great,0.8193
power laptop,0.8188
better remodeling,0.8185
coffee nice,0.8181
nutella cruffle,0.8154
pretty,0.815
desert,0.8131
popular cafe,0.8129
pm,0.8102
food good,0.8101
easy,0.8084
cappuccino wi,0.8071
peaceful beautiful,0.8057
great honey,0.8056
eating nice,0.8056
nice cheescake,0.8024
wifi nice,0.799
ice cake,0.7989
stuffy inside,0.7936
caramel,0.7934
warm,0.7931
cozy friendly,0.7914
breakfast relaxed,0.7904
excellent food,0.7893
weak wifi,0.7875
chocolate moose,0.7854
fantastic coffee,0.7853
tea coffee,0.7849
beautiful music,0.7831
size option,0.7812
spacious homey,0.779
coffee macarons,0.7781
amazing,0.778
sandwiches,0.776
wifi late,0.7708
tasty rude,0.7708
sandwich good,0.767
small portions,0.7667
slow,0.7664
espresso martini,0.7655
homey inviting,0.7651
dessert friendly,0.7622
coffee chilli,0.7595
friendly service,0.7592
interior spacious,0.7587
soundtrack peaceful,0.7586
cute organic,0.7577
excellent service,0.7493
cheese sandwich,0.7489
best cafe,0.7468
want wifi,0.7447
one size,0.7444
see korean,0.7436
chicken spicy,0.743
coffee block,0.7427
excellent,0.7416
bring outlet,0.739
pastry delicious,0.7377
good cheesecake,0.7372
coffee strong,0.7361
coffee post,0.7357
cheesecake good,0.7345
little coffee,0.734
pricey size,0.733
play relaxing,0.7326
good food,0.7326
cream magical,0.7305
sandwich fresh,0.7305
tea dessert,0.7291
honey toast,0.7283
cafe comfortable,0.7259
laptop really,0.7257
tasty macarons,0.7242
bubble tea,0.724
matcha,0.7237
hungry walking,0.7213
fresh avocado,0.7206
coffee service,0.7206
expensive dessert,0.7194
bread,0.7172
love vietnamese,0.7156
got,0.7147
cafe good,0.7108
quite stuffy,0.7096
cake good,0.7069
laptop good,0.7068
refined korean,0.7068
breakfast burger,0.7062
food table,0.7056
clean,0.7049
service food,0.7022
coffee shaved,0.7022
bread coffee,0.7019
waffle ice,0.7007
honey,0.6996
coffee quiet,0.6993
relaxing,0.6992
cute,0.6965
clean cafe,0.6962
pleasant music,0.6956
nutella,0.6947
service breakfast,0.6937
ice cozy,0.6932
cappuccino affogato,0.6918
pizza nice,0.6907
tasty coffee,0.6904
hot,0.6896
sandwich great,0.6884
cake coffee,0.6884
stuffy,0.6883
rude,0.6879
good service,0.6877
cheese bread,0.6871
raspberry cream,0.6863
quick dessert,0.6854
good shaved,0.6839
korean breakfast,0.6839
awake homework,0.6833
korean cafe,0.6825
work night,0.6812
enjoyable dessert,0.6806
people love,0.6774
decent dessert,0.6754
spacious,0.6738
good tea,0.6734
coffee super,0.6725
market street,0.6719
delicious tuna,0.6717
cheesecake dessert,0.6715
grilled cheese,0.6712
comfortable chair,0.6708
food munch,0.6707
white friendly,0.6698
amazing food,0.6698
croissant waffle,0.669
laptop,0.6676
coffee work,0.6664
coffee sure,0.6658
love joy,0.665
cheap breakfast,0.6648
friendly relaxed,0.6646
coffee wi,0.6625
late night,0.6611
cafe always,0.6605
spot coffee,0.6604
midnight thank,0.6602
latte fantastic,0.659
outlets wifi,0.6581
full cheese,0.6571
best service,0.6564
spoonful nutella,0.6562
great people,0.6549
inviting,0.6549
cocoa delicious,0.6541
coffee excellent,0.6538
peanut butter,0.6536
great unfortunately,0.6533
friendly tasty,0.6502
great cup,0.6475
menu option,0.6469
new coffee,0.6454
coffee sandwich,0.6437
latte delightfully,0.6428
coffee sugary,0.6427
chair ample,0.6426
sandwich fragrant,0.6416
perfect place,0.6382
cozy cafe,0.6381
dirty,0.6379
cheesecake actually,0.6377
outlet purpose,0.6372
tasty shaved,0.6348
tasty mocha,0.6346
lot menu,0.6332
nice quiet,0.6326
decent expensive,0.6318
bland cheesecake,0.6317
open think,0.6314
dessert delicious,0.6314
