keyword,weight
coffee,14.5518
thank,8.4874
great,3.8229
beans,2.4105
delicious,1.3444
friendly,1.317
overpriced,1.1455
chocolate,1.0048
excellent,1.0
best,0.9837999999999999
experience,0.943
youuuuu,0.8905
cutest,0.8718
indescribable,0.8518
underwhelming,0.8444
email,0.8116
ladyfalconcoffeeclub,0.7963
walking,0.7454
tea,0.7178
stopping,0.6695
vehicles,0.6692
truck,0.6692
vanilla,0.6683
gold,0.6625
adorable,0.6463
donuts,0.6353
sf,0.6121
alamo,0.5879
beautiful,0.5764
cafe,0.5689
cortados,0.5666
amazing,0.546
perfect,0.5404
stars,0.5347
people,0.5257
pathway,0.519
hug,0.5152
mexican,0.4892
block,0.4865
spot,0.4506
hot,0.44789999999999996
service,0.4349
views,0.4338
good,0.43310000000000004
courteous,0.4262
sunny,0.4148
google,0.4098
little,0.4077
refund,0.4037
saturdays,0.4023
apology,0.4007
quality,0.3987
cortado,0.396
sorry,0.3883
morning,0.3849
california,0.3827
flavor,0.375
upbeat,0.373
iced,0.36829999999999996
city,0.3397
love,0.3337
forgot,0.3273
roasted,0.3254
stand,0.325
estimated,0.3227
pastries,0.3199
cup,0.31910000000000005
priced,0.3159
square,0.3154
park,0.3131
warm,0.3089
sundays,0.3023
nice,0.302
milk,0.2799
buffy,0.2768
ladies,0.2747
friendliest,0.2631
cold,0.25529999999999997
spices,0.253
taxes,0.2525
dessert,0.2525
new,0.2519
tasty,0.2438
allergic,0.2427
competition,0.2419
fantastic,0.2382
excelent,0.2299
buying,0.2281
8am,0.2263
poor,0.21860000000000002
location,0.2169
tastes,0.2156
fun,0.2145
bustling,0.2083
valuable,0.2019
cool,0.197
outstanding,0.1968
taste,0.19290000000000002
upstart,0.1907
refused,0.1904
hours,0.1834
chocolates,0.179
fransisco,0.177
happy,0.1765
com,0.1692
cream,0.1659
horrible,0.1573
mocha,0.1568
goal,0.1545
espresso,0.1521
sipped,0.1512
super,0.15
awesome,0.1439
tennis,0.1417
nicest,0.1397
dollars,0.1386
updated,0.1364
sippy,0.1347
restaurant,0.1298
unacceptable,0.1199
coffees,0.1181
van,0.1172
outrageous,0.1154
drink,0.1109
star,0.1024
servers,0.0983
brew,0.09509999999999999
strong,0.0881
middle,0.0869
puppy,0.0849
yummy,0.0833
falcon,0.0818
place,0.0774
pricey,0.0732
boost,0.0693
menu,0.0689
baristas,0.0663
mask,0.0654
prevent,0.0634
shop,0.0573
latte,0.055999999999999994
trash,0.0548
tourists,0.0539
hard,0.0527
teas,0.0489
drinks,0.0304
business,0.0301
waiting,0.0201
tip,0.0183
screen,0.0111
bad,0.01
like,0.0041
bob,-0.0012
clear,-0.0028
free,-0.0122
friday,-0.0301
month,-0.0351
later,-0.039
wait,-0.0562
excited,-0.0816
5lb,-0.0852
car,-0.0895
tools,-0.0949
