keyword,weight
food,8.4521
good food,7.0521
breakfast,5.0558
diner,4.8044
good,4.6954
great food,3.7661
love,3.4605
food good,3.3037
great,2.7386
greasy spoon,2.355
coffee,2.3374
home cooked,2.2151
good service,2.1892
cheap,2.0759
food daily,1.9082
diner food,1.8621
dinner,1.6639
lunch,1.6115
daily special,1.5907
service food,1.5777
service,1.5563
service good,1.5135999999999998
great place,1.4866000000000001
cooked meal,1.4048
neighborhood diner,1.4009999999999998
good cheap,1.3837
dinner breakfast,1.3813
good breakfast,1.3258
breakfast special,1.3216
food reasonably,1.3064
nice,1.3056999999999999
best,1.2886
tasty,1.2832
food service,1.2802
meal surprisingly,1.2388
reasonably priced,1.2114
cafe,1.2037
steak,1.1579
place,1.1176
home cooking,1.1169
food expect,1.0713
good place,1.0695000000000001
bacon egg,1.0394999999999999
prime rib,1.0183
mashed potato,1.0072
food great,1.0023
may still,1.0
loved,1.0
nostalgia,1.0
love place,1.0
comfortable,1.0
rude clean,1.0
love lafayette,1.0
pioneer stars,1.0
best tl,1.0
good budget,1.0
best cafe,1.0
simply excellent,1.0
excellent,0.9731
primerib wonderful,0.9694
speedy friedly,0.9607
place good,0.9563
love owner,0.95
place breakfast,0.9411
take breakfast,0.9406
good portion,0.9388
eating,0.9298
amazing support,0.929
hearty meal,0.9284
food nice,0.9234
breakfast start,0.9135
thank amazing,0.912
lunch thanksgiving,0.8976
great dinner,0.8943
cooking,0.8786
tasty diner,0.8757
rich coffee,0.8675
work lunch,0.8619
food reasonable,0.8571
simply,0.8549
cheap staff,0.8537
still,0.8535
thank,0.8522
casual tasty,0.8508
rude,0.8463
lady friendly,0.8361
food everytime,0.8351
good greasy,0.8341
great love,0.833
coffee pastry,0.83
foods average,0.8292
stars,0.829
dinner food,0.8279
nice speedy,0.8245
great coffee,0.8174
yummy coffee,0.8121
complimentary coffee,0.8084
may,0.806
speedy,0.8055
nice price,0.8038
always quick,0.8032
love cheap,0.8019
comfortable diner,0.7987
tasty food,0.7923
enthusiastic recommend,0.7911
lafayette,0.7875
pioneer,0.7864
rib better,0.7857
wonderful,0.784
favorite place,0.7828999999999999
support,0.7792
food fast,0.7775
start day,0.7773
yum primerib,0.7743
price rarely,0.774
meat,0.7709
spoon cuisine,0.7706
staff friendly,0.7651
diner inexpensive,0.7617
amazing,0.7599
nice enthusiastic,0.7592
clean,0.7571
lafayette coffee,0.7567
good cooking,0.7555
hot american,0.7503
tl,0.7477
worth dennys,0.7476
eat great,0.7455
salmon steak,0.7427
friendly maybe,0.7416
food friendly,0.7414
cheap decent,0.7412
cheap owner,0.7398
hotcakes sausage,0.737
coffee food,0.7354
slow price,0.735
friedly,0.7335
fine breakfast,0.7333
coffee pleasant,0.7321
decent always,0.7316
food shady,0.7308
price reasonable,0.728
shady customer,0.7267
great eating,0.7264
chicken tender,0.7263
cashier rude,0.7255
hearty,0.7243
lumberjack breakfast,0.7196
cheap lunch,0.7178
corn beef,0.7166
steak egg,0.7164
low cost,0.7127
steak dinner,0.7046
primerib,0.7044
enthusiastic,0.7026
liver onion,0.6983
proprietress nice,0.6966
maybe color,0.6946
day,0.6936
beef liver,0.6905
food quality,0.689
average service,0.6885
got steak,0.6867
american omlettes,0.6858
breakfast well,0.6841
picture hotcakes,0.6833
reasonable price,0.6817
good price,0.6757
friendly enough,0.6754
chinese food,0.6748
friendly,0.672
color graham,0.6699
better average,0.6692
budget,0.6684
thanksgiving,0.6678
spot good,0.6666
satisfying dinner,0.6642
local tourist,0.664
stanley chef,0.6622
good home,0.6614
service diner,0.6611
local restaurant,0.6608
yum,0.6606
rarely seen,0.6573
love breakfast,0.6559
style food,0.6535
old school,0.6525
cooking diner,0.6505
food smelled,0.6502
breakfast dinner,0.6499
rarely,0.6487
quick service,0.6461
affordable meal,0.6461
chef cooking,0.6448
omlettes sixninety,0.6415
lot food,0.6405
thanksgiving dinner,0.6381
greasy,0.638
average,0.6363
soup salad,0.6361
diner atmosphere,0.6361
meatloaf good,0.6354
diner family,0.6342
bit slow,0.6339
pastry visit,0.6328
food complimentary,0.6325
spoon,0.6294
opening hour,0.6244
fast service,0.6244
surprisingly good,0.6221
hotcakes,0.622
sixninety got,0.6205
everytime,0.6188
got love,0.6175
large pancake,0.6156
american,0.6145
cooking die,0.6134
food generous,0.6132
food inexpensive,0.6074
cooked diner,0.6069
breakfast pancake,0.6067
eating establishment,0.605
casual,0.6048
food large,0.6047
serve beef,0.6042
great pancake,0.6035
eats breakfast,0.6034
meat eating,0.6015
bell pepper,0.601
gets job,0.6001
restaurant local,0.5988
eating takeout,0.5984
everytime around,0.5961
slow,0.5951
chef,0.5939
portion dinner,0.5934
foods,0.5911
amount food,0.5907
soso food,0.5906
pancake big,0.5905
new spot,0.5904
slice bacon,0.5897
hot,0.5895
salad dinner,0.5889
quality food,0.5882
job done,0.588
pastry,0.5851
forever,0.585
good deal,0.5845
straight breakfast,0.5831
best food,0.583
fancy diner,0.5824
spaghetti meat,0.5821
coffee denver,0.5788
best breakfast,0.5778
white table,0.5774
pleasant breakfast,0.5774
tender juicy,0.5766
better,0.576
portion hot,0.5729
salad everyday,0.5719
daily,0.5716
food momma,0.571
food portion,0.5702
sold meat,0.5701
fantastic pancake,0.5696
tourist please,0.5676
cooking even,0.5668
may salad,0.5643
typical chinese,0.5633
owner,0.5616
