keyword,weight
coffee,20.1318
cafe,15.7181
french toast,9.6949
good coffee,9.5311
avocado toast,6.102
food,5.8571
great food,5.6426
neighborhood cafe,5.625
great coffee,5.1655
place,4.5762
good food,4.5203
favorite cafe,4.5164
good,4.3941
sandwich,4.3781
salad,4.3606
great,4.2492
friendly staff,4.2023
nice,4.0769
cafe good,3.672
lovely,3.5881
french,3.5393
breakfast,3.5037000000000003
pastry,3.4265
tasty,3.2264999999999997
coffee good,2.9724
food coffee,2.9572
best cafe,2.8312
great place,2.7674
food nice,2.7436
wine,2.7233
love,2.706
cafe nice,2.6653000000000002
delicious pastry,2.5517000000000003
cozy,2.5238
almond croissant,2.5228
great staff,2.5082
great french,2.5039
pastry coffee,2.5004999999999997
free wifi,2.4995000000000003
neighborhood,2.4879
croissant,2.444
favorite coffee,2.3475
delicious food,2.3405
friendly,2.3061
french pastry,2.292
favorite,2.2752
coffee shop,2.2513
love place,2.2196
good croissant,2.2135
service,2.0846
staff good,2.0408
french cafe,2.0397
food great,2.0048
love cafe,1.9818
sunny,1.9788999999999999
coffee great,1.9140000000000001
food good,1.8805
nice people,1.8573
corner cafe,1.8264
spot,1.8113000000000001
happy back,1.8111000000000002
beer wine,1.8093000000000001
spot coffee,1.7469000000000001
toast,1.7088999999999999
soup,1.7051
coffee nice,1.6683000000000001
avocado,1.6609
like,1.6359
good breakfast,1.6216
pizza,1.609
onion soup,1.6063
great service,1.6052
baked good,1.5905
good place,1.5832000000000002
wonderful cafe,1.5806
great cafe,1.5554000000000001
great ambiance,1.5236
nice place,1.5106
food friendly,1.5082
outdoor seating,1.4891
great outdoor,1.4863
coffee macarons,1.4836
croissants best,1.4771999999999998
equator coffee,1.4741
best brunch,1.457
seating sun,1.4479
delicious salad,1.4449
service good,1.4417
coffee delicious,1.4369999999999998
lunch nice,1.427
wonderful,1.4006
pastry good,1.397
nice coffee,1.3938000000000001
macaroon,1.3859
croissant coffee,1.3777
glass wine,1.3719999999999999
trout salad,1.3643
amazing food,1.3538000000000001
coffee friendly,1.3485
soup day,1.3475000000000001
neighbourhood cafe,1.3434
iced coffee,1.3392
amazing coffee,1.3349
place sunday,1.3268
almond,1.3234
coffee drink,1.3138
french style,1.298
coffee wine,1.2783
cool,1.2776999999999998
style cafe,1.2602
delicious coffee,1.2587000000000002
friendly service,1.2585000000000002
working cafe,1.2571
toast delicious,1.2448000000000001
espresso,1.2447
toast amazing,1.2209
food best,1.21
coffee beer,1.2001
coffee food,1.1943
coffee french,1.1817
delicious,1.1688999999999998
face sandwich,1.1661
staff perfect,1.1606999999999998
food drink,1.1517
macarons,1.1515
sunny day,1.1423
location,1.1356
best,1.1334
want coffee,1.1319
jazz,1.1302
pastry beer,1.1082
coffee pastry,1.1068
cafe open,1.102
style pastry,1.1008
cup coffee,1.1
local cafe,1.0961
wifi,1.0895000000000001
nice atmosphere,1.0822
nice neighborhood,1.0613000000000001
faced sandwich,1.0144
serve beer,1.0075
neat,1.0
mencanta su,1.0
place lovely,1.0
ok pricey,1.0
lovely place,1.0
awesome coffee,1.0
go,1.0
lovely ambience,1.0
good macaroon,1.0
family,1.0
cozy place,1.0
excellent food,1.0
sunny love,1.0
kind staff,1.0
liked cozy,0.9677
ambiance productive,0.9646
neighborhood spot,0.9633
cafe light,0.9629
cool breakfast,0.9581
like neighborhood,0.956
ambience,0.9495
space friendly,0.9489
soon tv,0.9435
nice tasty,0.9426
mencanta,0.9404
cafe food,0.9403
french food,0.933
best expresso,0.9296
soup salad,0.9264
sweet cafe,0.926
cozy coffee,0.9236
lovely location,0.923
cafe yummy,0.9229
weekend,0.9196
open sandwich,0.919
lemonade good,0.9163
good lemonade,0.9158
glad place,0.9139
absolutely love,0.9084
glad,0.9068
ambiance,0.906
cozy atmosphere,0.9027
tasty lunch,0.9013
salmon sandwich,0.9011
sunday morning,0.8991
cafe city,0.8945
atmosphere food,0.888
great snack,0.8855
warm inviting,0.8848
croissant good,0.876
great almond,0.875
wine beer,0.8747
productive,0.8732
restaurant salmon,0.8729
great space,0.8694
yummy avocado,0.868
super nice,0.8675
instragramable food,0.8673
salad delicious,0.8656
closing hour,0.8649
clean bathroom,0.8635
cafe vegetarian,0.86
music sun,0.8565
socialize convenient,0.8565
bread pudding,0.8563000000000001
breakfast start,0.8553
include breakfast,0.8551
omg french,0.8543
weekend brunch,0.8467
vegetarian sandwich,0.8448
sandwich vibe,0.8444
sunday,0.8417
yummy food,0.8405
location coffee,0.8404
folk trio,0.8403
cafe offer,0.8399
coffee yum,0.8398
sunny cafe,0.8384
sadly coffee,0.8334
tasty food,0.8333
lemonade,0.8321
pricey,0.8298
favorite salad,0.8269
place back,0.8247
su,0.8235
lively folk,0.8179
