keyword,weight
coffee,40.3798
good coffee,12.7456
espresso,9.3143
best coffee,9.0311
great coffee,8.730599999999999
glad enjoyed,8.531
glad,5.3933
amazing coffee,4.9374
best,4.1081
delicious coffee,4.0991
coffee great,3.9843
good,3.642
waffle,3.6081000000000003
positive feedback,3.5813
best espresso,3.2472000000000003
coffee good,3.2247
coffee pastry,3.2245
feedback glad,3.1479999999999997
enjoyed,3.0042
good espresso,2.8459
latte,2.7024
cup coffee,2.6004
coffee nice,2.582
coffee shop,2.5431999999999997
glad hear,2.4731
hear enjoyed,2.4370000000000003
coffee sf,2.4165
friendly staff,2.3165
delicious,2.2202
coffee espresso,2.1584
pastry,2.1273
great,2.0524
quality coffee,1.9882
milk,1.8405
friendly,1.8073
coffee delicious,1.7316
best latte,1.722
thanks glad,1.7199
milk latte,1.6337000000000002
place,1.6155
sunny,1.6108
coffee san,1.6069
coffee bean,1.5682999999999998
coffee friendly,1.5682
sf,1.5459
cappuccino,1.5381999999999998
great waffle,1.5072999999999999
best cappuccino,1.5022
oat milk,1.4943
excellent,1.4201
delicious waffle,1.3721
seating great,1.3627
shop coffee,1.3486
nice cozy,1.322
morning coffee,1.3157999999999999
good baristas,1.2689
great espresso,1.2621
positive review,1.2602
enjoyed linea,1.2530000000000001
espresso drink,1.2128
coffee spot,1.1939
coffee amazing,1.184
simple,1.17
winning coffee,1.1623999999999999
cute,1.1383
coffee table,1.1349999999999998
baristas,1.1269
coffee always,1.1266
cafe,1.1219
coffee ever,1.0813000000000001
sunny day,1.0332
coffee tasting,1.0282
drip coffee,1.028
specialty coffee,1.008
great latte,1.0
killer cut,1.0
expensive,1.0
cortado class,1.0
fantastic matcha,1.0
waffles son,1.0
gooooood cappuccino,0.9844
strong coffee,0.98
really good,0.9773000000000001
pricey,0.9768000000000001
san francisco,0.9722999999999999
delicious espresso,0.9572
josh glad,0.9528
caleb glad,0.9487
molly glad,0.9482
linea coffee,0.9430000000000001
coffee efficient,0.9388
great taste,0.936
lewis glad,0.9299
friend visit,0.9184
cappuccino like,0.9079
incredible coffee,0.9056
coffee worth,0.9007
cozy cafe,0.8983
dana glad,0.8977
kind people,0.8949
minimalistic coffee,0.8942
cortado,0.8909
thoughtful creation,0.8897
friendly community,0.8846
brandon thanks,0.8836
waffle stylish,0.8827
thank molly,0.8775
decent coffee,0.8697
pascual thanks,0.8678
fresh roast,0.8664
excellent espresso,0.866
make coffee,0.8638
friend,0.8611
best place,0.8606
thanks josh,0.8603
killer,0.8512
amazing tea,0.8494
thanks caleb,0.8456
thank lewis,0.8421
perfect sun,0.8377
best oatmilk,0.8336
people friendly,0.8321
coffee decent,0.8302
coffee everytime,0.8296
matcha,0.8295
coffee fine,0.8233
thanks vicky,0.8212
espresso floral,0.82
excellent cup,0.8192
best waffle,0.8164
pastry sunny,0.8155
visit presume,0.8109
class,0.8102
little coffee,0.8102
fantastic,0.8082
amazing steaks,0.8059
coffee incredible,0.8042
coffee mission,0.7982
wonderful coffee,0.7974
espresso city,0.797
thanks kind,0.7953
espresso good,0.7935
outdoor seating,0.7894
city,0.7888
phone arrive,0.7887
thoughtful,0.7867
made sad,0.7847
shot espresso,0.7832
kind word,0.7828
visit,0.7796
presume okay,0.7752
coffee courteous,0.7747
cut,0.7745
average coffee,0.7702
great service,0.7665
stylish space,0.7652
vicky positive,0.7649
tasty pastry,0.7641
coffee best,0.7617
waffles,0.7616
espresso best,0.76
iced coffee,0.7586
cell phone,0.7579
taste,0.7567
roast coffee,0.7567
food coffee,0.756
hall outdoor,0.7556
milk best,0.7547
cozy hole,0.7541
seating rainy,0.7518
pleasure serving,0.749
espresso lovely,0.7478
prices high,0.7464
superb salads,0.7444
thanks positive,0.7442
coffee would,0.7435
joseph glad,0.7428
efficient service,0.7422
cappuccino city,0.7402
solid coffee,0.7367
nothing great,0.7364
enjoyed pleasure,0.7341
sad,0.7337
coffee town,0.7334
sun drenched,0.7299
favorite coffee,0.7298
friendly people,0.7279
coffee taste,0.7275
pricey indoor,0.727
accepting cash,0.724
